PhraseID,old_file,new_file,status
285,0130_estis_senzorge_de_mia_flanko.wav,0130_mi_agis_senzorge.wav,moved_to:0130_estis_senzorge_de_mia_flanko.wav
388,0233_felicxan_divalion.wav,0233_felicxan_divalon.wav,moved_to:0233_felicxan_divalion.wav
449,0294_mi_havas_akcenton.wav,0294_mi_havas_akcxenton.wav,moved_to:0294_mi_havas_akcenton.wav
457,0302_vi_ne_havas_akcenton.wav,0302_vi_ne_havas_akcxenton.wav,moved_to:0302_vi_ne_havas_akcenton.wav
532,0377_cxu_vi_povas_rekomendi_hostelon.wav,0377_cxu_vi_povas_rekomendi_junulargastejon.wav,moved_to:0377_cxu_vi_povas_rekomendi_hostelon.wav
551,0396_cxu_vi_trovas_teatron_aux_operon_pli_interesa.wav,0396_kion_vi_trovas_pli_interesa_teatron_aux_operon.wav,moved_to:0396_cxu_vi_trovas_teatron_aux_operon_pli_interesa.wav
632,0477_cxu_vi_estus_tiel_afabla_klarigi_tion_denove.wav,0477_cxu_vi_estus_tiel_afabla_kaj_klarigus_tion_denove.wav,moved_to:0477_cxu_vi_estus_tiel_afabla_klarigi_tion_denove.wav
641,0486_cxu_vi_gxenus_doni_al_mi_la_tekkomputilon.wav,0486_cxu_gxenus_vin_doni_al_mi_la_tekkomputilon.wav,moved_to:0486_cxu_vi_gxenus_doni_al_mi_la_tekkomputilon.wav
701,0546_estu_singardema.wav,0546_estu_singarda.wav,moved_to:0546_estu_singardema.wav
766,0611_mi_distordis_mian_maleolon.wav,0611_mi_tordis_al_mi_la_maleolon.wav,moved_to:0611_mi_distordis_mian_maleolon.wav
803,0648_oni_enrompis_mian_auxton.wav,0648_oni_enrompis_en_mian_auxton.wav,moved_to:0648_oni_enrompis_mian_auxton.wav
826,0671_ni_penos_fari_lian_fantombildon.wav,0671_ni_penos_fari_lian_fotoroboton.wav,moved_to:0671_ni_penos_fari_lian_fantombildon.wav
827,0672_cxu_vi_turnigxis_al_la_oficejo_pri_perditaj_ajxoj.wav,0672_cxu_vi_turnis_vin_al_la_oficejo_pri_perditaj_ajxoj.wav,moved_to:0672_cxu_vi_turnigxis_al_la_oficejo_pri_perditaj_ajxoj.wav
853,0698_cxu_mi_povas_prezentigxi.wav,0698_cxu_mi_povas_prezenti_min.wav,moved_to:0698_cxu_mi_povas_prezentigxi.wav
854,0699_mi_sxatus_prezenti_vin_al_alico.wav,0699_mi_sxatus_prezenti_alicon_al_vi.wav,moved_to:0699_mi_sxatus_prezenti_vin_al_alico.wav
888,0733_kiu_estas_via_adreso.wav,0733_kio_estas_via_adreso.wav,moved_to:0733_kiu_estas_via_adreso.wav
935,0780_mi_estas_amerikano.wav,0780_mi_estas_usonano.wav,moved_to:0780_mi_estas_amerikano.wav
952,0797_kia_estas_via_religio.wav,0797_al_kiu_religio_vi_apartenas.wav,moved_to:0797_kia_estas_via_religio.wav
954,0799_mi_estas_musulmanino.wav,0799_mi_estas_islamanino.wav,moved_to:0799_mi_estas_musulmanino.wav
984,0829_mi_estas_edzigxinta.wav,0829_mi_estas_edzinigxinta.wav,moved_to:0829_mi_estas_edzigxinta.wav
991,0836_ne_mi_estas_sola.wav,0836_ne_mi_estas_frauxla.wav,moved_to:0836_ne_mi_estas_sola.wav
1018,0863_ne_mi_estas_sola_infano.wav,0863_ne_mi_estas_solinfano.wav,moved_to:0863_ne_mi_estas_sola_infano.wav
1064,0909_mi_amas_klubumi.wav,0909_mi_amas_iri_al_noktokluboj.wav,moved_to:0909_mi_amas_klubumi.wav
1086,0931_kion_vi_pensas_pri_teruraj_filmoj.wav,0931_kion_vi_pensas_pri_hororaj_filmoj.wav,moved_to:0931_kion_vi_pensas_pri_teruraj_filmoj.wav
1206,1051_kiel_pri_hodiaux.wav,1051_kio_pri_hodiaux.wav,moved_to:1051_kiel_pri_hodiaux.wav
1254,1099_lasu_min_trankvilan.wav,1099_lasu_min_trankvila.wav,moved_to:1099_lasu_min_trankvilan.wav
1260,1105_mi_amas_vin_per_mia_tuta_koro.wav,1105_mi_amas_vin_el_mia_tuta_koro.wav,moved_to:1105_mi_amas_vin_per_mia_tuta_koro.wav
1273,1118_mi_sxatas_vian_vestaron.wav,1118_mi_sxatas_vian_veston.wav,moved_to:1118_mi_sxatas_vian_vestaron.wav
1304,1149_mi_esperas_ke_vi_faros_unu_la_alian_ege_felicxaj.wav,1149_mi_esperas_ke_vi_ege_felicxigos_unu_la_alian.wav,moved_to:1149_mi_esperas_ke_vi_faros_unu_la_alian_ege_felicxaj.wav
1356,1201_neniu_rajtas_forlasi_la_klason_nun.wav,1201_neniu_rajtas_forlasi_la_klascxambron_nun.wav,moved_to:1201_neniu_rajtas_forlasi_la_klason_nun.wav
1378,1223_mi_studas_la_hindan.wav,1223_mi_studas_la_hindian.wav,moved_to:1223_mi_studas_la_hindan.wav
1386,1231_mi_prenas_pauxzjaron.wav,1231_mi_prenas_liberan_jaron.wav,moved_to:1231_mi_prenas_pauxzjaron.wav
1444,1289_li_fiaskis_en_la_ekzameno_pri_filozofio.wav,1289_li_malsukcesis_en_la_ekzameno_pri_filozofio.wav,moved_to:1289_li_fiaskis_en_la_ekzameno_pri_filozofio.wav
1486,1331_rugxa_kaj_verda_faras_brunan.wav,1331_rugxo_kaj_verdo_faras_brunon.wav,moved_to:1331_rugxa_kaj_verda_faras_brunan.wav
1503,1348_flava_kaj_rugxa_faras_orangxan.wav,1348_flavo_kaj_rugxo_faras_orangxan_koloron.wav,moved_to:1348_flava_kaj_rugxa_faras_orangxan.wav
1504,1349_verda_kaj_flava_faras_helverdan.wav,1349_verdo_kaj_flavo_faras_helverdan_koloron.wav,moved_to:1349_verda_kaj_flava_faras_helverdan.wav
1600,1445_oni_maldungis_min_antaux_du_monatoj.wav,1445_mi_estis_maldungita_pro_redukto_de_laborfortoj_antaux_du_monatoj.wav,moved_to:1445_oni_maldungis_min_antaux_du_monatoj.wav
1650,1495_la_limtempo_por_liveri_la_varojn_eksvalidigxas.wav,1495_la_limtempo_por_liveri_la_varojn_finigxas.wav,moved_to:1495_la_limtempo_por_liveri_la_varojn_eksvalidigxas.wav
1664,1509_mi_ofte_faras_laborvojagxojn.wav,1509_mi_ofte_faras_afervojagxojn.wav,moved_to:1509_mi_ofte_faras_laborvojagxojn.wav
1686,1531_cxu_vi_havas_modelon_de_vivresumo.wav,1531_cxu_vi_havas_formularon_por_vivresumo.wav,moved_to:1531_cxu_vi_havas_modelon_de_vivresumo.wav
1713,1558_cxi_tio_estas_via_laborokontrakto.wav,1558_cxi_tio_estas_via_laborkontrakto.wav,moved_to:1558_cxi_tio_estas_via_laborokontrakto.wav
