Batch	PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	Русский язык	Column	Old	New	Decision	Reason
2	287	Basic Sentences	Apologies	Pardonu, sed ĝi estas la lasta	Извините, но это последний.	한국어	죄송하지만, 이번이 마지막입니다.	죄송하지만, 이게 마지막이에요.	FIX	EO/RU indicate the last remaining item; old KO phrasing implied "last time/occasion" instead of "last one".
4	456	General Conversation	Making Yourself Understood	Parolu kun mi en la mandarena ĉina lingvo	Говорите со мной на мандаринском диалекте китайского.	日本語	中国語で話してください。	標準中国語（マンダリン）で話してください。	FIX	EO/RU explicitly specify Mandarin Chinese; old JA/ZH/KO generalized it to "Chinese" and lost dialect/language specificity.
4	456	General Conversation	Making Yourself Understood	Parolu kun mi en la mandarena ĉina lingvo	Говорите со мной на мандаринском диалекте китайского.	中文	请用中文和我交流。	请用普通话和我交流。	FIX	EO/RU explicitly specify Mandarin Chinese; old JA/ZH/KO generalized it to "Chinese" and lost dialect/language specificity.
4	456	General Conversation	Making Yourself Understood	Parolu kun mi en la mandarena ĉina lingvo	Говорите со мной на мандаринском диалекте китайского.	한국어	저와 중국어로 대화해 주세요.	저와 표준 중국어(만다린)로 대화해 주세요.	FIX	EO/RU explicitly specify Mandarin Chinese; old JA/ZH/KO generalized it to "Chinese" and lost dialect/language specificity.
5	582	General Conversation	Expressing Feelings	Mi malamas vin	Я тебя ненавижу.	한국어	당신이 싫어요.	당신을 미워해요.	FIX	EO/RU express strong "hate"; old KO wording corresponded to weaker "dislike" and under-translated intensity.
5	630	General Conversation	Help & Advice	Bonvolu teni la pordon malfermitan por mi	Пожалуйста, придержите дверь открытой для меня.	中文	请帮我把门打开。	请帮我把门扶着开着。	FIX	EO/RU ask to keep the door open (hold it); old ZH wording only meant opening the door.
6	661	General Conversation	Opinions	Vi malpravas	Ты не прав.	日本語	違います。	あなたは間違っています。	FIX	EO/RU explicitly target the listener (you are wrong); old JA wording was generic/elliptic and could be read as simply 'No/That's different', weakening person-directed meaning.
7	803	Emergencies	At the Police Station	Oni enrompis mian aŭton	Мою машину вскрыли.	한국어	제 차에 도난이 발생했어요.	제 차에 누가 침입했어요.	FIX	EO/RU mean break-in to the car; old KO wording only conveyed theft occurrence and could miss the break-in action.
7	821	Emergencies	At the Police Station	Vi devus turni vin al la perditaĵejo	Вам следовало бы обратиться в бюро находок.	한국어	분실물 보관함을 확인해 보세요.	분실물 보관소를 확인해 보세요.	FIX	EO/RU refer to the lost-property office/service point; old KO '보관함' means locker/box and shifted location meaning.
7	827	Emergencies	At the Police Station	Ĉu vi turniĝis al la perditaĵejo?	Вы обращались в бюро находок?	한국어	분실물 보관함을 확인해 보셨나요?	분실물 보관소를 확인해 보셨나요?	FIX	EO/RU ask about contacting/checking lost-property office; old KO used 'locker/box' and narrowed meaning.
