Rule	PhraseID	Decision	Action	Reason	Esperanto	English	日本語	中文	한국어	Русский язык
ru_show_vs_recommend_ja	1792	ALLOW_CONTEXT	NO_CHANGE	Directions context: montri la vojon can naturally map to 教える/告诉/알려주다 (give directions).	Ĉu vi montros al mi la vojon al la poŝtoficejo?	Will you show me the way to the post office?	郵便局までの道を教えていただけますか？	你能告诉我去邮局怎么走吗？	우체국 가는 길을 알려주실 수 있나요?	Вы покажете мне дорогу к почте?
ru_show_vs_recommend_ko	1792	ALLOW_CONTEXT	NO_CHANGE	Directions context: montri la vojon can naturally map to 教える/告诉/알려주다 (give directions).	Ĉu vi montros al mi la vojon al la poŝtoficejo?	Will you show me the way to the post office?	郵便局までの道を教えていただけますか？	你能告诉我去邮局怎么走吗？	우체국 가는 길을 알려주실 수 있나요?	Вы покажете мне дорогу к почте?
ru_show_vs_recommend_zh	1792	ALLOW_CONTEXT	NO_CHANGE	Directions context: montri la vojon can naturally map to 教える/告诉/알려주다 (give directions).	Ĉu vi montros al mi la vojon al la poŝtoficejo?	Will you show me the way to the post office?	郵便局までの道を教えていただけますか？	你能告诉我去邮局怎么走吗？	우체국 가는 길을 알려주실 수 있나요?	Вы покажете мне дорогу к почте?
ru_show_vs_recommend_ja	1793	ALLOW_CONTEXT	NO_CHANGE	Map-pointing request: JA uses 教える on map; semantic intent preserved.	Ĉu vi povus montri al mi sur la mapo?	Could you show me on the map?	地図で教えていただけますか？	你能在地图上给我指一下吗？	지도에서 보여주실 수 있나요?	Вы можете показать мне на карте?
ru_show_vs_recommend_ja	1813	ALLOW_CONTEXT	NO_CHANGE	"Map-location pointing: CJK ""tell/indicate"" is acceptable equivalent of showing location."	Bonvolu montri sur ĉi tiu mapo, kie mi nun troviĝas	Please point out where I am on this map.	この地図の中で私がいる場所を教えてください。	请帮我指出我在这张地图上的位置。	이 지도에서 제가 어디에 있는지 알려주세요.	Пожалуйста, покажите на карте, где я сейчас нахожусь.
ru_show_vs_recommend_ko	1813	ALLOW_CONTEXT	NO_CHANGE	"Map-location pointing: CJK ""tell/indicate"" is acceptable equivalent of showing location."	Bonvolu montri sur ĉi tiu mapo, kie mi nun troviĝas	Please point out where I am on this map.	この地図の中で私がいる場所を教えてください。	请帮我指出我在这张地图上的位置。	이 지도에서 제가 어디에 있는지 알려주세요.	Пожалуйста, покажите на карте, где я сейчас нахожусь.
ru_show_vs_recommend_ja	2117	ALLOW_CONTEXT	NO_CHANGE	Procedure explanation context: show how to fill form == explain/tell how to fill.	Bonvolu montri al mi, kiel plenigi ĉi tiun formularon	Please show me how to fill in this form.	この用紙の記入方法を教えてください。	请告诉我如何填写这份表格。	이 양식을 어떻게 작성하는지 보여주세요.	Покажите мне, пожалуйста, как заполнять этот бланк.
ru_show_vs_recommend_zh	2117	ALLOW_CONTEXT	NO_CHANGE	Procedure explanation context: show how to fill form == explain/tell how to fill.	Bonvolu montri al mi, kiel plenigi ĉi tiun formularon	Please show me how to fill in this form.	この用紙の記入方法を教えてください。	请告诉我如何填写这份表格。	이 양식을 어떻게 작성하는지 보여주세요.	Покажите мне, пожалуйста, как заполнять этот бланк.
ru_show_vs_recommend_ko	2215	ALLOW_CONTEXT	NO_CHANGE	Service speech: Korean 알려드릴게요 (I will guide/explain) keeps operational-show intent.	Mi montros al vi la regilojn	I'll show you the controls.	操作方法をご案内します。	我来给你演示一下操作方法。	조작 방법을 알려드릴게요.	Я покажу вам систему управления.
ru_show_vs_recommend_ja	2277	ALLOW_CONTEXT	NO_CHANGE	Map location request; all languages preserve request to indicate current position.	Ĉu vi povus montri al mi sur la mapo, kie mi estas?	Could you show me where I am on the map?	地図で私がどこにいるか教えていただけますか？	你能帮我在地图上指一下我现在的位置吗？	지도에서 제 위치가 어디인지 보여주실 수 있나요?	Не могли бы вы показать мне на карте, где я нахожусь?
