PhraseID	Column	Before	After	Reason
350	日本語	これでもくらえ！	これを受け取ってください！	neutral handover meaning
350	中文	接招吧！	拿着这个！	neutral handover meaning
444	한국어	제가 말씀하신 내용을 이해했나요?	제가 말한 내용을 이해하셨나요?	subject direction corrected
610	한국어	도와드릴 수 있을까요?	도와주실 수 있을까요?	speaker/listener direction corrected
618	日本語	どうされたいですか？	何か提案はありますか？	proposal meaning restored
1046	中文	我还得吃饭呢。	我有嘴巴可以吃东西。	literal meaning restored
1055	한국어	당신은 제 여동생(누나/언니)과 닮으셨어요.	당신은 제 여동생을 닮았어요.	unnatural parenthetical form removed
1087	中文	我其实不太喜欢他们。	我其实不太喜欢恐怖片。	object referent restored
1087	한국어	저는 그들을 별로 좋아하지 않아요.	저는 공포 영화를 별로 좋아하지 않아요.	object referent restored
1136	日本語	覚えておいてくれる？	私に思い出させてくれる？	remind meaning restored
1341	日本語	16歳で学校を辞めました。	16歳で学校を卒業しました。	graduation meaning restored
1341	中文	我十六岁时就辍学了。	我十六岁时就毕业了。	graduation meaning restored
1341	한국어	저는 열여섯 살에 학교를 그만뒀어요.	저는 열여섯 살에 학교를 졸업했어요.	graduation meaning restored
1487	日本語	1020304050	十、二十、三十、四十、五十。	numeric/lexical correction
1488	日本語	212223	二十一、二十二、二十三。	numeric/lexical correction
1489	한국어	스물네 살, 스물다섯 살, 스물여섯 살.	스물넷, 스물다섯, 스물여섯.	numeric/lexical correction
1495	한국어	마흔넷, 마흔다섯, 마흔다섯.	마흔넷, 마흔다섯, 마흔여섯.	numeric/lexical correction
1511	한국어	일흔네, 일흔다섯, 일흔다섯.	일흔넷, 일흔다섯, 일흔여섯.	numeric/lexical correction
1525	日本語	百万円	百万。	numeric/lexical correction
1622	한국어	복사할 자료가 좀 필요해요.	복사를 좀 해야 해요.	action meaning restored (make copies)
1864	中文	附近有旅馆吗？	附近有汽车旅馆吗？	motel meaning restored
1871	日本語	美術館はどこですか？	博物館はどこですか？	general museum meaning restored
1999	中文	请问在哪里办理入住手续？	请问在哪里办理值机手续？	airport check-in meaning restored
2000	中文	我在哪里上车？	我在哪里登机？	boarding meaning restored (air travel context)
2061	中文	我办理入住时没有收到行李牌。	我办理值机时没有收到行李牌。	airport check-in wording restored
2088	日本語	こちらが私の宣言です。	こちらが私の申告書です。	customs declaration form meaning restored
2088	中文	这是我的声明。	这是我的申报单。	customs declaration form meaning restored
2088	한국어	여기에 제 선언문을 제출합니다.	여기 제 신고서입니다.	customs declaration form meaning restored
2157	한국어	터키어로 번역해 드릴까요?	터키어로 번역해 주시겠어요?	request direction restored
2197	日本語	照明はどこですか？	ヘッドライトはどこで点けますか？	headlight operation meaning restored
2197	中文	灯在哪里？	车灯怎么打开？	headlight operation meaning restored
2197	한국어	조명은 어디에 있나요?	전조등은 어디에서 켜나요?	headlight operation meaning restored
2214	日本語	指標はどこにありますか？	ウインカーはどこで点けますか？	turn-signal meaning restored
2214	中文	指标在哪里？	转向灯怎么打开？	turn-signal meaning restored
2214	한국어	지표는 어디에 있나요?	방향지시등은 어디에서 켜나요?	turn-signal meaning restored
2221	日本語	もう少し細かいお金はありますか？	もう少し小さい車はありますか？	smaller-car context restored
2221	中文	你有零钱吗？	你们有更小一点的车吗？	smaller-car context restored
2221	한국어	더 작은 거 있으신가요?	더 작은 차가 있나요?	smaller-car context restored
23	2357	Car	Road Signs	Malrapidiĝu	Снизьте скорость	日本語	ゆっくりして	速度を落としてください	FIX	Road-sign imperative means slow down/reduce speed; previous JA meant take it easy.
23	2386	Other Transport	At the Bus Station	Kiom kostas la biletoj?	Сколько стоят билеты?	中文	门票多少钱？	车票多少钱？	FIX	Bus-station context requires transport-ticket wording, not admission-ticket wording.
23	2448	Other Transport	At the Train Station	Kie estas la atendejo?	Где зал ожидания?	中文	请问候诊室在哪里？	请问候车室在哪里？	FIX	Train-station waiting room should be 候车室; 候诊室 is clinic waiting room.
24	2464	Other Transport	At the Train Station	Mi ŝatus meti 10 funtojn sur ĝin	Я бы хотел положить на него 10 фунтов.	日本語/中文/한국어	それに10ポンド賭けたいです。 / 我想押10英镑。 / 거기에 10파운드를 걸고 싶어요.	そのカードに10ポンドチャージしたいです。 / 我想往卡里充10英镑。 / 그 카드에 10파운드를 충전하고 싶어요.	FIX	Station/travel-card context requires top-up meaning; previous JA/ZH/KO used gambling wording.
24	2486	Other Transport	On the Bus or Train	Mi havas elektronikan bileton	У меня электронный билет.	한국어	저는 전자 항공권을 가지고 있어요.	저는 전자 티켓을 가지고 있어요.	FIX	Bus/train context; previous KO narrowed to airline e-ticket.
24	2521	Other Transport	Taxi	Ĉu vi estas libera?	Вы свободны?	日本語/中文/한국어	今お時間ありますか？ / 你有空吗？ / 시간 괜찮으세요?	空車ですか？ / 空车吗？ / 빈차인가요?	FIX	Taxi context asks cab vacancy/availability, not personal free-time.
24	2528	Other Transport	Taxi	La aŭto estas survoje	Машина в пути.	日本語	ただいま配送中です。	車は向かっています。	FIX	Taxi dispatch context means the car is on the way; previous JA meant parcel delivery.
24	2534	Other Transport	Taxi	Jen la trinkmono	Вот чаевые.	日本語	こちらがアドバイスです。	こちらがチップです。	FIX	trinkmono means tip/gratuity, not advice.
25	2572	Other Transport	Ship	Ĉu mi povas rezervi kajuton?	Я могу забронировать каюту?	中文	我可以预订一个小木屋吗？	我可以预订一间客舱吗？	FIX	Ship context requires cabin/berth meaning; previous ZH shifted to wooden hut.
25	2574	Other Transport	Ship	Je kioma horo ni enŝipiĝos?	Во сколько мы сядем на корабль?	中文	我们什么时候登机？	我们什么时候登船？	FIX	Ship boarding context; previous ZH used airplane boarding verb.
25	2590	Other Transport	Ship	Ĉu vin naŭzas vojaĝado?	Тебя укачивает?	中文/한국어	你晕车吗？ / 차 멀미를 하시나요?	你会晕船吗？ / 배멀미를 하시나요?	FIX	Ship section context; previous ZH/KO narrowed to car-sickness.
25	2596	Other Transport	Ship	Je kioma horo mi devas registriĝi?	Во сколько мне нужно зарегистрироваться?	中文	我需要几点办理入住手续？	我需要几点办理登船手续？	FIX	Ship check-in context; previous ZH used hotel check-in wording.
26	2714	Hotel	During Your Stay	Ne ĝenu	Не беспокоить	日本語	お手を触れないでください	起こさないでください	FIX	Hotel-room sign context requires Do not disturb meaning, not Do not touch.
27	2781	Hotel	Checking out	Ne, ni ne uzis	Нет, не пользовались.	日本語/中文/한국어	いいえ、まだしていません。 / 没有，我们还没有。 / 아니요, 아직 하지 않았어요.	いいえ、使っていません。 / 没有，我们没有使用。 / 아니요, 이용하지 않았어요.	FIX	Checkout/minibar context requires explicit non-use; previous JA/ZH/KO leaned to not-yet nuance.
