audio_key	duration_sec	size_bytes
e	0.36	17324
a	0.38	18284
o	0.38	18284
ol	0.405	19484
i	0.415	19964
u	0.42	20204
ar	0.43	20684
er	0.435	20924
de	0.46	22124
ad	0.46	22124
al	0.46	22124
do	0.46	22124
ve	0.465	22364
el	0.465	22364
ge	0.47	22604
ul	0.47	22604
n	0.47	22604
da	0.47	22604
je	0.47	22604
on	0.475	22844
re	0.475	22844
bo	0.475	22844
vi	0.475	22844
aux	0.48	23084
mi	0.48	23084
j	0.48	23084
eg	0.48	23084
ja	0.485	23324
ajx	0.49	23564
it	0.49	23564
id	0.495	23804
il	0.495	23804
la	0.495	23804
ne	0.495	23804
an	0.5	24044
du	0.5	24044
en	0.505	24284
in	0.505	24284
ig	0.51	24524
em	0.51	24524
op	0.515	24764
ek	0.515	24764
ke	0.515	24764
ok	0.515	24764
po	0.52	25004
ju	0.52	25004
at	0.53	25484
li	0.53	25484
uj	0.535	25724
por	0.535	25724
et	0.535	25724
nu	0.535	25724
ot	0.535	25724
ni	0.535	25724
ej	0.54	25964
cxj	0.54	25964
ebl	0.54	25964
se	0.545	26204
um	0.545	26204
cxe	0.545	26204
he	0.545	26204
igx	0.545	26204
tre	0.545	26204
acx	0.55	26444
mil	0.55	26444
fi	0.55	26444
mal	0.555	26684
ho	0.555	26684
pro	0.555	26684
gxi	0.555	26684
ecx	0.555	26684
ha	0.56	26924
ie	0.56	26924
ind	0.56	26924
pra	0.56	26924
tro	0.56	26924
ing	0.565	27164
for	0.565	27164
tra	0.565	27164
obl	0.565	27164
io	0.57	27404
ec	0.57	27404
ia	0.575	27644
end	0.575	27644
ami	0.585	28124
per	0.585	28124
nul	0.585	28124
nur	0.585	28124
cxar	0.59	28364
cxu	0.59	28364
sxi	0.595	28604
si	0.595	28604
pri	0.595	28604
laux	0.595	28604
ino	0.595	28604
oro	0.595	28604
cxi	0.6	28844
tri	0.6	28844
naux	0.6	28844
adi	0.605	29084
is	0.605	29084
ulo	0.61	29324
aro	0.61	29324
pli	0.61	29324
plu	0.61	29324
iu	0.61	29324
jam	0.61	29324
us	0.61	29324
agi	0.615	29564
dek	0.615	29564
ido	0.615	29564
iri	0.615	29564
jen	0.615	29564
nun	0.625	30044
ema	0.625	30044
dum	0.625	30044
ujo	0.63	30284
ovo	0.63	30284
mem	0.63	30284
ilo	0.635	30524
kaj	0.635	30524
zoo	0.64	30764
ado	0.64	30764
ist	0.64	30764
as	0.645	31004
viro	0.645	31004
ial	0.645	31004
kvar	0.645	31004
avo	0.645	31004
sur	0.645	31004
dio	0.645	31004
sed	0.65	31244
muro	0.65	31244
ajn	0.65	31244
ano	0.65	31244
teo	0.65	31244
os	0.65	31244
nek	0.65	31244
int	0.655	31484
iel	0.655	31484
