file	channels	sample_rate	sample_width_bytes	frames	duration_sec	size_bytes
a.wav	1	24000	2	9120	0.38	18284
abelo.wav	1	24000	2	21360	0.89	42764
abio.wav	1	24000	2	18360	0.765	36764
abomeni.wav	1	24000	2	25920	1.08	51884
abomeno.wav	1	24000	2	24360	1.015	48764
aboni.wav	1	24000	2	23400	0.975	46844
abrikoto.wav	1	24000	2	28680	1.195	57404
abrupta.wav	1	24000	2	24240	1.01	48524
absoluta.wav	1	24000	2	27720	1.155	55484
abstini.wav	1	24000	2	27240	1.135	54524
abstrakta.wav	1	24000	2	30360	1.265	60764
absurda.wav	1	24000	2	25560	1.065	51164
abunda.wav	1	24000	2	20520	0.855	41084
acida.wav	1	24000	2	23160	0.965	46364
acido.wav	1	24000	2	22920	0.955	45884
acx.wav	1	24000	2	13200	0.55	26444
acxeti.wav	1	24000	2	23760	0.99	47564
ad.wav	1	24000	2	11040	0.46	22124
adapti.wav	1	24000	2	24360	1.015	48764
adi.wav	1	24000	2	14520	0.605	29084
adiaux.wav	1	24000	2	19920	0.83	39884
adicii.wav	1	24000	2	27000	1.125	54044
adjektivo.wav	1	24000	2	28200	1.175	56444
administri.wav	1	24000	2	31080	1.295	62204
admiri.wav	1	24000	2	20760	0.865	41564
admoni.wav	1	24000	2	23040	0.96	46124
ado.wav	1	24000	2	15360	0.64	30764
adopti.wav	1	24000	2	24480	1.02	49004
adori.wav	1	24000	2	21480	0.895	43004
adreso.wav	1	24000	2	22320	0.93	44684
adverbo.wav	1	24000	2	22080	0.92	44204
advokato.wav	1	24000	2	28920	1.205	57884
aero.wav	1	24000	2	18360	0.765	36764
afabla.wav	1	24000	2	23520	0.98	47084
afero.wav	1	24000	2	21960	0.915	43964
afisxo.wav	1	24000	2	22320	0.93	44684
aflikti.wav	1	24000	2	25800	1.075	51644
afranki.wav	1	24000	2	27120	1.13	54284
afriko.wav	1	24000	2	22320	0.93	44684
agento.wav	1	24000	2	23640	0.985	47324
agi.wav	1	24000	2	14760	0.615	29564
agiti.wav	1	24000	2	20520	0.855	41084
aglo.wav	1	24000	2	17160	0.715	34364
agordi.wav	1	24000	2	22920	0.955	45884
agordo.wav	1	24000	2	21960	0.915	43964
agrabla.wav	1	24000	2	23520	0.98	47084
agxo.wav	1	24000	2	16440	0.685	32924
ajlo.wav	1	24000	2	17760	0.74	35564
ajn.wav	1	24000	2	15600	0.65	31244
ajx.wav	1	24000	2	11760	0.49	23564
ajxo.wav	1	24000	2	16560	0.69	33164
akademio.wav	1	24000	2	27960	1.165	55964
akceli.wav	1	24000	2	25560	1.065	51164
akcento.wav	1	24000	2	28200	1.175	56444
akcepti.wav	1	24000	2	28920	1.205	57884
akcidento.wav	1	24000	2	32400	1.35	64844
akcio.wav	1	24000	2	25440	1.06	50924
akiri.wav	1	24000	2	20640	0.86	41324
akno.wav	1	24000	2	19200	0.8	38444
akompani.wav	1	24000	2	31080	1.295	62204
akordo.wav	1	24000	2	22560	0.94	45164
akra.wav	1	24000	2	17160	0.715	34364
akrido.wav	1	24000	2	21120	0.88	42284
akso.wav	1	24000	2	18720	0.78	37484
aktiva.wav	1	24000	2	22320	0.93	44684
akto.wav	1	24000	2	19320	0.805	38684
aktoro.wav	1	24000	2	22440	0.935	44924
aktuala.wav	1	24000	2	27960	1.165	55964
akurata.wav	1	24000	2	26880	1.12	53804
akusxi.wav	1	24000	2	22440	0.935	44924
akuzativo.wav	1	24000	2	30480	1.27	61004
akuzi.wav	1	24000	2	22800	0.95	45644
akvo.wav	1	24000	2	18240	0.76	36524
al.wav	1	24000	2	11040	0.46	22124
alarmi.wav	1	24000	2	21960	0.915	43964
alarmo.wav	1	24000	2	21960	0.915	43964
alauxdo.wav	1	24000	2	23400	0.975	46844
albumo.wav	1	24000	2	21360	0.89	42764
aleo.wav	1	24000	2	18840	0.785	37724
alfabeto.wav	1	24000	2	30360	1.265	60764
algo.wav	1	24000	2	18120	0.755	36284
alia.wav	1	24000	2	18600	0.775	37244
alkoholo.wav	1	24000	2	28680	1.195	57404
almenaux.wav	1	24000	2	23880	0.995	47804
almozo.wav	1	24000	2	23400	0.975	46844
alta.wav	1	24000	2	19680	0.82	39404
alternativo.wav	1	24000	2	34200	1.425	68444
alterni.wav	1	24000	2	25800	1.075	51644
aludi.wav	1	24000	2	21120	0.88	42284
alumeto.wav	1	24000	2	26520	1.105	53084
aluminio.wav	1	24000	2	28440	1.185	56924
amara.wav	1	24000	2	21480	0.895	43004
amaso.wav	1	24000	2	24120	1.005	48284
amatoro.wav	1	24000	2	26520	1.105	53084
ambasado.wav	1	24000	2	28920	1.205	57884
ambasadoro.wav	1	24000	2	31320	1.305	62684
ambaux.wav	1	24000	2	19560	0.815	39164
ambicio.wav	1	24000	2	27240	1.135	54524
ameriko.wav	1	24000	2	23880	0.995	47804
ami.wav	1	24000	2	14040	0.585	28124
amiko.wav	1	24000	2	19920	0.83	39884
amoro.wav	1	24000	2	21000	0.875	42044
amplekso.wav	1	24000	2	26760	1.115	53564
