idx	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
2000	-ig-	{Ｂ}［接尾辞］（他動詞・使役動詞を作る）, >>fal〜i, >>sci〜i	[后缀] 使动，使变成	…하게 하다
2001	-il-	{Ｂ}［接尾辞］（道具・機械・薬剤などを示す）, >>tajp〜o, >>digestig〜o	[后缀] 表示工具、器具	도구, 기구, 장치, 약제를 나타내는 접미사
2002	-in-	{Ｂ}［接尾辞］（女性・雌を示す）, >>patr〜o, >>kok〜o	[后缀] 表示女性、雌性	여성·암컷을 나타내는 접미사
2003	-ind-	{Ｂ}［接尾辞］（～される価値がある）, >>am〜a, >>laŭd〜a	[后缀] 值得...	…할 가치가 있는, …할 만한
2004	-ism-	{Ｂ}［接尾辞］（主義・教義・学説などを示す）, >>marks〜o, >>budh〜o	[后缀] 表示主义、学说	주의·학설을 나타내는 접미사
2005	-ist-	{Ｂ}［接尾辞］（職業的従事者・主義者・信奉者を示す）, >>kurac〜o, >>marks〜o	[后缀] 表示从事某种职业或信仰某种主义的人	직업·신봉자를 나타내는 접미사
2006	-iĝ-	{Ｂ}［接尾辞］（自動詞を作る）, >>mov〜i, >>ŝton〜i	[后缀] 自动，变成	접미사, 자동사로 되다·변하다
2007	-obl-	{Ｂ}［接尾辞］倍数を示す	[后缀] 表示倍数	배수, 몇 배
2008	-on-	{Ｂ}［接尾辞］（分数を示す）, >>〜o	[后缀] 表示分数	분수를 나타내는 접미사
2009	-uj-	{Ｂ}［接尾辞］（容器・樹木・国名を示す）, >>mon〜o, >>roz〜o, >>Japan〜o	[后缀] 表示容器、树木、国家	용기, 나무, 나라를 나타내는 접미사
2010	-ul-	{Ｂ}［接尾辞］（人・動物を示す）, >>jun〜o, >>vertebr〜o	[后缀] 表示具有某种特征的人或物	특정 성질을 가진 사람·동물을 나타내는 접미사
2011	Biblio	{Ｏ}【キ】聖書	[专] 圣经	성서
2012	Budho	{Ｂ}【仏】仏陀（ぶっだ）, 釈迦牟尼（しゃかむに）, >>Ŝakjamunio	[专] 佛陀，释迦牟尼	부처, 석가모니
2013	Islamo	{Ｏ}【宗】イスラム教	[专] 伊斯兰教	이슬람교
2014	Kristo	{Ｏ}【キ】キリスト; 救世主	[专] 基督；救世主	그리스도, 구세주
2015	Oceanio	{Ｏ}【地名】オセアニア（＝大洋州）	[地名] 大洋洲	오세아니아(대양주) 지역
2016	abomeni	{Ｏ}［他］忌み嫌う, 嫌悪する	厌恶，憎恨	몹시 싫어하다
2017	abstrakta	{Ｏ}抽象的な, ><〜; 観念的な; 【美】抽象派の	抽象的	추상적인
2018	acido	{Ｂ}【化】酸	[化] 酸	산, 신맛
2019	agordi	{Ｏ}［他］【楽】調律する, 音を合わせる; 【通】同調させる; 【情】設定する, セットアップする; 《転》（人を～な）気分にさせる	[乐] 调音；[无线] 调谐；[计] 设置；使产生某种心情	조율하다; (무선) 동조하다; (컴퓨터) 설정하다
2020	akuzativo	{Ｏ}【Ｇ】対格	[语] 宾格	목적격
2021	akuŝi	{Ｏ}［他］出産する, 分娩する, >>〜	分娩，生产	아이를 낳다, 분만하다
2022	alarmi	{Ｏ}［他］警報を伝える	报警，发警报	경보를 알리다
2023	alternativo	{Ｏ}二者択一; （従来のものに代わる）もう一つのもの, 代案	二者择一；替代方案	대신 선택할 수 있는 다른 방안
2024	ambicio	{Ｏ}野心, 大望	野心，雄心	야망, 야심
2025	amoro	{Ｂ}性愛, 色恋	性爱，恋爱	성적인 사랑, 색정
2026	analizi	{Ｏ}［他］分析する	分析	분석하다
2027	antarkta	{Ｂ}【地理】南極の, =sudpolusa, ><〜	[地] 南极的	남극의
2028	antikva	{Ｏ}古代の, 大昔の	古代的，古老的	고대의, 옛것의
2029	antologio	{Ｏ}文学選集	选集	문학 선집
2030	ardi	{Ｂ}［自］白熱している; 《転》（感情などが）火のように燃えている	炽热，白热；（感情）燃烧	빨갛게 달아오르다, 백열하다
2031	aresti	{Ｏ}［他］逮捕する	逮捕	체포하다
2032	arkta	{Ｂ}【地理】北極の, =nordpolusa, ><ant〜	[地] 北极的	북극 지방의, 북극 근방의
2033	aroganta	{Ｏ}横柄な, 尊大な, 思い上がった	傲慢的，自大的	거만하고 오만한
2034	asimili	{Ｏ}［他］同化する	同化	동화하다
2035	astro	{Ｏ}天体	天体	천체
2036	astronomio	{Ｏ}天文学	天文学	천문학
2037	atmosfero	{Ｏ}大気; 雰囲気; 【理】気圧（気圧の単位，atm）	大气；气氛；[理] 大气压	지구를 둘러싼 대기
2038	aviado	{Ｏ}航空, 飛行; 航空術, 飛行術	航空，飞行	항공, 비행
2039	aŭdaci	{Ｂ}［自］果敢に～する, ずうずうしくも～する	敢于，胆敢	감히 행동하다
2040	aŭroro	{Ｂ}曙（あけぼの）, 夜明け; 曙光（しょこう）; 【気】=polusa lumo（極光）	黎明，曙光；极光	새벽, 여명; 오로라
2041	baleno	{Ｏ}【動】クジラ（鯨類全般）	[动] 鲸	고래
2042	baleto	{Ｏ}バレエ（舞踊）	芭蕾舞	발레
2043	banala	{Ｏ}平凡な, ありふれた, >>triviala, >>〜	平庸的，陈腐的	진부하고 평범한
2044	baterio	{Ｏ}【電】バッテリー, 電池; 【軍】砲兵中隊	[电] 电池；[军] 炮兵连	전지, 배터리
2045	biologio	{Ｏ}生物学	生物学	생물학
