row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
100	anekdoto	{Ｂ}逸話, ゴシップ, 奇聞; 小話	轶事，趣闻，小故事	재미있는 짧은 일화
101	angulo	{Ｂ}角（かど）, すみ; 【数】角（かく）	角；角落	모서리, 구석
102	animalo	{Ｂ}動物, ><〜	动物	동물
103	animo	{Ｂ}魂, 心; 生気; 【宗】霊	灵魂，精神	영혼, 마음
104	ankaŭ	{Ｂ}［副］～もまた	也	또한, …도
105	ankoraŭ	{Ｂ}［副］まだ; もっと	还，仍	아직, 여전히
106	anonci	{Ｂ}［他］予告する; 公告する	宣布，通告，公告	공식적으로 알리다
107	anstataŭ	{Ｂ}［前］～の代わりに / {Ｂ}［接］～する代わりに	代替（介词/连词）	대신, 대체하여（전치사/접속사）
108	antaŭ	{Ｂ}［前］（時間的・空間的に）～の前に	在…前面，在…以前	공간·시간상 앞에
109	anĝelo	{Ｂ}天使	安琪儿，天使	천사
110	aparato	{Ｂ}装置, 機械一式; 【解】器官; 【政】機関; 【情】装置, デバイス	一套装置，仪器；（解）器官；（政）机关	장치, 기계；（해부） 기관；（정치） 기구
111	aparta	{Ｂ}別の, 別々の; 特別の	单独的，个别的，分开的；特别的	별개의, 특별한
112	apartamento	{Ｂ}アパートメント, フラット（集合住宅内の一区画）	成套房间	아파트 한 세대
113	aparteni	{Ｂ}［自］～のものである; ～に所属する	属，属于	어떤 사람이나 단체에 속하다
114	apenaŭ	{Ｂ}［副］やっと, かろうじて; ほとんど～ない / {Ｂ}［接］～するや否や	至多；几乎不；刚…就…	겨우, 간신히
115	aperi	{Ｂ}［自］現われる, （刊行物が）出る	出现	나타나다, 출현하다
116	apetito	{Ｂ}食欲	食欲	식욕
117	aplaŭdi	{Ｂ}［他］拍手喝采（かっさい）する; 《転》称賛する	鼓掌，拍手称赞；赞同	손뼉쳐 칭찬하거나 환호하다
118	apliki	{Ｂ}［他］応用する, 適用する; 【理】（力を）作用させる	应用，实际运用；使用，采用	응용하다, 적용하다
119	apogi	{Ｂ}［他］支える, もたせかける; 《転》支持する	支撑着	지탱하다, 받쳐주다
120	apoteko	{Ｂ}薬局	药店，药房	약국
121	aprilo	{Ｂ}４月	四月	사월
122	aprobi	{Ｂ}［他］賛成する, 同意する; 是認する, 認可する	赞成，认可	찬성하고인정하며승인하다
123	apud	{Ｂ}［前］～のそばに	在…近旁	옆에, 가까이에
124	araneo	{Ｂ}【動】クモ（蜘蛛）	蜘蛛属动物	거미
125	aranĝi	{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する	整理，布置；安排；（乐）编曲；（剧）改编	정리·배열하다; 준비하다; (음악) 편곡하다; (극) 각색하다
126	arbitra	{Ｂ}任意の, 勝手気ままな	任性，专横	제멋대로의
127	arbo	{Ｂ}木, 樹木; 【植】高木	树	나무, 수목
128	arko	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，拱形物；弓；[物] 电弧	활, 활 모양; (수학) 호; (건축) 아치; (물리) 전호
129	armeo	{Ｂ}軍隊; ～軍; 《転》大群	军队	국가의 조직된 군대
130	armi	{Ｂ}［他］武装させる; 装甲する	武装，加固	무장시키다
131	artikolo	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	기사; 조항; (문법) 관사
132	arto	{Ｂ}技術, ～術; 芸術; （自然に対して）人工	技艺；艺术	예술
133	arĝento	{Ｂ}銀; 【遊】（将棋の）銀将	银	은(金속)
134	asekuri	{Ｂ}［他］保険をかける	保险；担保，保障	보험에 들다
135	aserti	{Ｂ}［他］断言する, 主張する	断言，断定	단언·주장하다
136	asocio	{Ｂ}協会, 結社; 結合, 連合	协会，联合会，社团	협회
137	aspekti	{Ｂ}［自］見える	像是，貌似，显得	처럼 보이다
138	ataki	{Ｂ}［他］攻撃する; 襲う	进攻，袭击	공격하다, 습격하다
139	atendi	{Ｂ}［他］待つ; 期待する	等待；预料；期待	기다리다
140	atenta	{Ｂ}注意深い	注意的，留心的	주의깊은
141	atesti	{Ｂ}［他］証言する, 証明する	证明，证实，作证	증언하다
142	atingi	{Ｂ}［他］着く, 届く, 到達する	到达，达到；做到	어떤 지점에 도달하다
143	atomo	{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵	原子；（哲）原子（不可分实体）；（转）微粒	물질을 이루는 최소 단위, 원자
144	avara	{Ｂ}欲の深い, けちな	吝啬，贪婪	인색한, 욕심 많은
145	aventuro	{Ｂ}冒険; 不意の出来事	奇遇；冒险	모험, 뜻밖의 사건
146	avenuo	{Ｂ}並木道, アベニュー; 大通り	林荫大道	가로수 늘어선 큰길
147	averti	{Ｂ}［他］警告する, 注意を促す, 予告する	警告，提醒，劝阻	위험을 미리 알려 경고하다
148	avida	{Ｂ}渇望している; むさぼるような	渴望，热望	탐욕스러운, 갈망하는
149	avo	{Ｂ}祖父; おじいさん	（外）祖父	할아버지
150	azeno	{Ｂ}【動】ロバ; 《転》愚か者	驴	당나귀
151	aĉeti	{Ｂ}［他］買う, 購入する; =〜（買収する）	买	사다, 구입하다
152	aĝo	{Ｂ}年齢, 歳	年龄；时代，时期	나이, 연령
153	aŭ	{Ｂ}［接］または, あるいは	或者，还是	또는, 혹은
154	aŭdi	{Ｂ}［他］聞く; 聞こえる	听见	소리를 듣다
155	aŭgusto	{Ｂ}８月	八月	팔월
156	aŭskulti	{Ｂ}［他］聴く, 耳を傾ける, 傾聴する	听	주의해서 듣다, 경청하다
157	aŭto	{Ｂ}自動車, =〜mobilo	汽车	자동차
158	aŭtobuso	{Ｂ}バス	公共汽车	버스
159	aŭtomato	{Ｂ}自動装置, 自動機械; 自動人形, ロボット	自动装置，自动机	자동장치, 자동기계
160	aŭtomobilo	{Ｂ}自動車（乗用車）, =〜	同〜（汽车）	자동차
161	aŭtoritato	{Ｂ}権威, 権限	威望；权威；当局	권위
162	aŭtoro	{Ｂ}著者, 作者	作者，著者	저자, 작가
163	aŭtuno	{Ｂ}秋	秋天	가을
164	babili	{Ｂ}［自］雑談する, おしゃべりする	聊天，闲谈	잡담하다, 수다 떨다
165	bagatelo	{Ｂ}つまらないこと, ささいなこと	小事，琐事	사소한 일
166	baki	{Ｂ}［他］（パン，肉などを）焼く, （煉瓦，陶器などを）焼き固める	烘，焙；（烤箱里）烤	빵·고기·벽돌 등을 굽다
167	balai	{Ｂ}［他］掃く; 【理】走査する	扫除，扫掉，打扫干净	빗자루로쓸어청소하다
168	balanci	{Ｂ}［他］上下に揺らす	上下簸动，上下摆动	아래위로 흔들다
169	balbuti	{Ｂ}［自］どもる	口吃，结巴	말을 더듬다
