row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
800	kombi	{Ｂ}［他］（くしで）すく, くしけずる	梳，梳头	머리카락을 빗다
801	kombini	{Ｂ}［他］組み合わせる, 結合する; 組み立てる, 案配する; 【化】化合させる	组合，结合，配合；（化）化合	결합하거나 조합하여 하나로 만들다
802	komedio	{Ｂ}喜劇, コメディー, ><〜; 《転》茶番, 見せかけの芝居, >>farso	喜剧；《转》闹剧，做作	희극, 《전》어처구니없는 짓
803	komenci	{Ｂ}［他］始める, 開始する, 着手する, 取りかかる	开始	시작하다
804	komerci	{Ｂ}［自］商売をする, 商取引をする	经商，做买卖	장사하거나 거래하다
805	komforta	{Ｂ}快適な, 心地よい, 安楽な	舒服，安逸	편안한, 쾌적한
806	komika	{Ｂ}こっけいな, おかしな, おどけた, おもしろい	可笑，滑稽	우스운, 익살스러운
807	komisii	{Ｂ}［他］委託する, 委任する	委托，委任；托付	위임하거나 맡기다
808	komisiono	{Ｂ}（調査・審議する）委員会	（处理专门或临时事物的）委员会	특정 업무를 맡은 위원회
809	komitato	{Ｂ}（実行）委員会	委员会	위원회
810	komo	{Ｂ}コンマ, 読点; 【数】小数点; 【情】コンマ（，）	逗号；（数）小数点	콤마, 쉼표；（수학） 소수점
811	kompanio	{Ｂ}会社; （集合的に）仲間, 一同, （同伴者）一行	合股，合伙；公司；结伴	회사; (집합적으로) 동료, 일행
812	kompari	{Ｂ}［他］比較する, 比べる; たとえる	比较，对比	둘 이상의 대상을 비교하다
813	kompati	{Ｂ}［他］哀れむ, 同情する, 気の毒に思う	怜悯，同情	불쌍히 여기다, 동정하다
814	kompetenta	{Ｂ}適任の, 有能な, 資格のある; 権限のある, 所管の, 管轄の	有能力的，能胜任的；有权限的，主管的	유능하고 자격을 갖춘
815	kompleta	{Ｂ}全部の, 完備した; 完全な	全，齐全，完备	필요한 것을 다 갖춘
816	kompliki	{Ｂ}［他］複雑にする, 込み入らせる, ややこしくする	使复杂，使麻烦	복잡하게 하다
817	komponi	{Ｂ}［他］（芸術作品を）構成する, 創作する; 【楽】作曲する	组成，构成；创作；作曲	예술 작품을 짓다, 특히 작곡하다
818	kompreni	{Ｂ}［他］理解する, わかる; 了解する, 納得する; 精通している	理解	이해하다
819	komuna	{Ｂ}共通の, 共有の, 共同の; 一般の, 普通の	公共，共同	공통의, 공동의
820	komuniki	{Ｂ}［他］伝える, 伝達する, 知らせる	沟通，传达，通知；（房间等）相通	전달하다, 소통하다
821	koncepto	{Ｂ}【哲】概念	概念	추상적 개념
822	koncerni	{Ｂ}［他］（物事が）～に関係がある, ～にかかわる	涉及，关系到	관련되다, 관계가 있다
823	koncerto	{Ｂ}【楽】コンサート, 演奏会, 音楽会; 《転》協調, 協力	音乐会；（转）协同，协作	콘서트, 음악회, 연주회
824	kondamni	{Ｂ}［他］【法】刑を宣告する, 有罪とする; 非難する, とがめる	宣判（有罪）；谴责，非难	유죄 판결을 내리다
825	kondiĉo	{Ｂ}条件; 約定; 状態, 環境	条件；条款；状态，环境	조건, 필요한 요건
826	konduki	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti	带领，引导；驾驶；导致	이끌다, 안내하다; 운전하다; (결과를) 초래하다
827	konduti	{Ｂ}［自］ふるまう, 態度をとる	行为表现，待人接物	행동하다, 처신하다
828	konferenco	{Ｂ}（公的機関が主催する）会議, 協議会, 会談	讨论会，协商会	공적 기관이 여는 회의, 회담
829	konfesi	{Ｂ}［他］告白する, 打ち明ける; 白状する; （信仰を）告白する; 【キ】告解する, ざんげする	公开表明；直言不讳；承认错误；忏悔	고백하다, 자백하다
830	konfidenco	{Ｂ}（内密の）打ち明け話, 内緒話	知心话，悄悄话，隐情	비밀스러운 속내 말
831	konfidi	{Ｂ}［他］信頼する（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける	信任，信赖，委托，吐露	신뢰하다
832	konfirmi	{Ｂ}［他］確認する, 立証する; 認める, 追認する; =〜acii	确认，证实；批准，认可	사실이나 내용을 확인하다
833	konfuzi	{Ｂ}［他］混乱させる, かき乱す; 取り違える, 混同する; まごつかせる, 困惑させる	使混乱，搅乱；混淆	정돈된 것을 흐트러뜨려 혼란하게 하다
834	kongreso	{Ｂ}大会, 会議; 【政】（米の）国会, 連邦議会, （仏国会の）両院合同会議	大会，会议；（政）国会	대표들이 모이는 큰 대회나 회의
835	koni	{Ｂ}［他］（体験して）知っている; 知り合いである, 面識がある; 精通している; 経験する	知道，认识	사람이나 사물을 경험으로 알고 있다
836	konjekti	{Ｂ}［他］推測する, 推定する, 憶測する	推测，猜想，揣度	추측하다, 짐작하다
837	konkludi	{Ｂ}［他］結論する, 結論を下す; 締めくくる	得出结论，推断出	결론을 내리다
838	konkuri	{Ｂ}［自］競争する, 競う, 張り合う	竞争	경쟁하다, 겨루다
839	konkurso	{Ｂ}競技; 競技会, コンクール; 選抜試験	竞赛，比赛	시합, 경기, 콩쿠르
840	konscienco	{Ｂ}良心, 道義心	良心，道德心	양심, 도덕심
841	konscii	{Ｂ}［自］意識している, 自覚している（「〜について」または節を補語に取る）	意识到，自觉到	의식하다, 자각하다
842	konsekvenco	{Ｂ}（論理的）帰結, （当然の）結果, 成り行き	（逻辑）归结；结果，后果	논리적 귀결, 결과
843	konsenti	{Ｂ}［自］同意見である, 意見が一致している; ［他］承諾する, 容認する	同意	동의하다
844	konservi	{Ｂ}［他］保存する, 保管する, 貯蔵する; 保つ, 保持する, 維持する	保存，保持	보존하다, 보관하다, 유지하다
845	konsideri	{Ｂ}［他］考慮する, 考察する; 考慮に入れる; （～と）見なす	考虑；把…看作…	고려하다
846	konsili	{Ｂ}［他］助言する, 勧める, 忠告する	劝告（应做某事）	조언하다
847	konsisti	{Ｂ}［自］～から成り立つ, ～でできている; （本質・要点が）～にある	由…组成，包含	…으로 이루어지다, 구성되다
