row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
0	-a	{Ｂ}［形容詞語尾］	[词尾]形容词词尾，表示“……的”“第……”的意思	형용사 어미, '…의'를 나타냄
1	-ant-	{Ｂ}［分詞接尾辞］（能動・継続）	主动现在分词（进行体）	능동 현재 분사 접미사
2	-as	{Ｂ}［動詞語尾］（直説法現在形）	[词尾]直陈式现在时	동사 현재 직설법 어미
3	-at-	{Ｂ}［分詞接尾辞］（受動・継続）	被动现在分词（进行体）	수동 현재분사 접미사
4	-aĉ-	{Ｂ}［接尾辞］（粗悪・下品を示す）, >>dom〜o, >>knab〜o	表示无价值，无用，不好，劣	형편없거나 질 낮음을 나타내는 접미사
5	-e	{Ｂ}［副詞語尾］	[词尾]副词	부사 어미
6	-eg-	{Ｂ}［接尾辞］（強大を示す）, >>arb〜o, >>varm〜a	表示“大、强烈（增大义）”的后缀	뜻을 매우 크고 강하게 만드는 접미사
7	-end-	{Ｂ}［接尾辞］（必須・受動的義務を示す）, >>far〜a, >>pag〜a	必须被，应该被	수동적 의무, '…되어야 할' 뜻의 접미사
8	-er-	{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajr〜o, >>mon〜o	某物的构成分子	작은 입자·요소를 나타내는 접미사
9	-et-	{Ｂ}［接尾辞］（弱小を示す）, >>lag〜o, >>varm〜a	表示“小、弱（缩小义）”的后缀	작음·약함을 나타내는 접미사
10	-i	{Ｂ}［動詞語尾］（不定法を示す）	[词尾]动词不定式	동사 원형 어미
11	-ing-	{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandel〜o, >>glav〜o	表示插物的器具	한쪽 끝에 물건을 꽂아 쓰는 도구
12	-int-	{Ｂ}［分詞接尾辞］（能動・完了）	主动过去分词（完成体）	능동 과거분사 접미사
13	-is	{Ｂ}［動詞語尾］（直説法過去形）	[词尾]直陈式过去时	동사의 과거 어미
14	-it-	{Ｂ}［分詞接尾辞］（受動・完了）	被动过去分词（完成体）	수동 완료 분사 접미사
15	-j	{Ｂ}［複数語尾］	[词尾]复数	복수어미
16	-n	{Ｂ}［対格語尾］	[词尾]宾格	대격 어미
17	-nj-	{Ｂ}［接尾辞］（女子の愛称を示す）, >>pa〜o	构成对女子的爱称	여성 이름에 붙는 애칭 접미사
18	-o	{Ｂ}［名詞語尾］	[词尾]名词	명사 어미
19	-ont-	{Ｂ}［分詞接尾辞］（能動・将然）	主动将来分词（表将要）	능동태 미래분사 접미사
20	-op-	{Ｂ}［接尾辞］（集合を示す）, >>〜e	构成集合数	접미:여럿이함께함
21	-os	{Ｂ}［動詞語尾］（未来形）	[词尾]直陈式将来时	동사 미래시제 어미
22	-ot-	{Ｂ}［分詞接尾辞］受動・将然	被动将来分词（表将要）	수동·미래 분사
23	-u	{Ｂ}［動詞語尾］（意志法を示す）	[词尾]动词命令式	동사 명령·의지법 어미
24	-um-	{Ｂ}［接尾辞］（特定の意味を持たない）, >>gust〜i, >>man〜o	（含义不定）	관습적으로 쓰이는 다의적 접미사
25	-us	{Ｂ}［動詞語尾］（条件法を示す）	[词尾]动词虚拟式	동사의 조건법 어미
26	-ĉj-	{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vil〜o, >>pa〜o	构成对男子的爱称	남자 이름·호칭에 붙는 애칭 접미사
27	Afriko	{Ｂ}【地名】アフリカ	非洲	아프리카 대륙
28	Ameriko	{Ｂ}【地名】アメリカ（大陸）	美洲	아메리카 대륙
29	Atlantiko	{Ｂ}【地名】大西洋, =〜a Oceano	大西洋	대서양
30	Azio	{Ｂ}【地名】アジア	亚洲	아시아 대륙
31	Aŭstralio	{Ｂ}【国名】オーストラリア（大洋州）	澳大利亚	오스트레일리아, 호주
32	Esperanto	{Ｂ}エスペラント（1887年ザメンホフが発表した国際語）	世界语	중립적 국제어, 인공 언어
