row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1300	petoli	{Ｂ}［自］跳ね回る, じゃれる, はしゃぎ回る; たわむれる, いたずらをする, ふざける, 浮かれ騒ぐ; いちゃつく	玩耍，淘气	까불며 장난치다, 즐겁게 떠들며 놀다
1301	petrolo	{Ｂ}石油; 原油/灯油など（自動車用燃料は通常ガソリン）	石油	석유, 원유·등유를 포함한 기름
1302	peza	{Ｂ}重い; 重さがある; 《転》重苦しい; 重々しい	重；沉重；（转）压抑、沉重	무거운; (비유) 무겁고 답답한
1303	pia	{Ｂ}信心深い, 敬虔（けいけん）な	虔诚，虔敬	독실하고 경건한
1304	piano	{Ｂ}【楽】ピアノ	钢琴	피아노
1305	piedo	{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚	足（脚踝以下）；（物体）底部、脚部；（诗）音步	발(발목 아래); 다리; (사물의) 받침·밑부분; (운문) 음보
1306	piki	{Ｂ}［他］刺す, 突く, 突き刺す; （感覚・感情を）刺激する, 害する, しみる	刺，戳，叮	찌르다, 쏘다; (감정·감각을) 자극하다, 쓰라리게 하다
1307	pilko	{Ｂ}【遊】ボール, 球（たま）, まり; （スポイトなどの）ゴム球	球	공, 둥근 공 모양 물건
1308	pilo	{Ｂ}【電】電池, パイル	电池	전지
1309	pinglo	{Ｂ}ピン, 留め針; 【植】針葉	大头针，别针；（植）针叶	핀, 고정침; (식물) 침엽
1310	pino	{Ｂ}【植】マツ（松）（属）	松属植物	소나무
1311	pinto	{Ｂ}（とがった）先, 先端; 頂上, 頂点	尖，尖端，顶端	뾰족한 끝; 정상, 정점
1312	pinĉi	{Ｂ}［他］（指などで）つまむ, はさむ, つねる; （動物が草を）はむ; （芽などを）摘む; 【楽】（琴などを）つま弾く	捏，夹，掐，拧，啃，弹，拨	손가락 등으로 집다, 꼬집다; (악기 줄을) 뜯다
1313	pioniro	{Ｂ}開拓者, パイオニア; 先駆者, 草分け; 【軍】工兵; （旧ソ連の）ピオネール	工兵；拓荒者；先锋；创始者	선구자, 개척자
1314	pipro	{Ｂ}【料】こしょう（胡椒）	胡椒粒，胡椒粉	후추, 후춧가루
1315	piro	{Ｂ}【果】ナシ（梨）, 洋ナシ	梨	배, 서양배
1316	pizo	{Ｂ}【植】エンドウ（豌豆）（属）; 《般》えんどう豆	豌豆；（植）豌豆属植物	완두, 완두콩
1317	placo	{Ｂ}広場; 空き地	广场，空地	광장, 빈터
1318	plado	{Ｂ}大皿, 皿, >>〜; （皿に盛った）料理	大菜盘，一道菜	큰 접시, 접시; (접시에 담긴) 요리
1319	plafono	{Ｂ}天井; 【気】雲高; 【空】上昇限度; 《転》最高限度, 上限	天花板；（转）上限	천장; (비유) 상한, 최고 한도
1320	planedo	{Ｂ}【天】惑星	行星	행성
1321	planko	{Ｂ}床（ゆか）, 床面; 橋床	地板	방의 마루, 바닥
1322	plano	{Ｂ}計画, 設計, 立案, 構想; 設計図, 見取り図; （絵画・写真での）景, 遠近; 【映】ショット, カット	平面图；计划；景深；镜头	계획, 설계, 구상; 설계도; (회화·사진) 원근·경; (영화) 쇼트·컷
1323	planti	{Ｂ}［他］植える, 植え付ける; （地面に差し込んで）立てる	栽种，种植	식물을 심다
1324	plasto	{Ｂ}【化】プラスチック; 可塑性物質	塑料	플라스틱, 가소성 물질
1325	plata	{Ｂ}平たい, 薄い, 厚みのない; 平らな, 平坦な, 起伏のない; 《転》平板な	扁；平，平坦	평평한, 납작한
1326	plaĉi	{Ｂ}［自］気に入る, 好かれる	使…喜欢；讨…欢心	마음에 들다, 호감을 주다
1327	plej	{Ｂ}［副］もっとも, 一番, 最～（比較最上級）	最	가장, 최고로
1328	plekti	{Ｂ}［他］（細長いものを）編む, 組む, 撚る; 編んで作る	编，编织，编结	짜다, 엮다
1329	plena	{Ｂ}いっぱいの, 満ちた; 十分な, 完全な, 全部の	满，完全	가득 찬; 충분한, 완전한
1330	plendi	{Ｂ}［自］苦痛を訴える; 不満を訴える, 文句を言う, 苦情を申し立てる; 【法】（民事上の）訴訟を起こす	诉苦，抱怨，发牢骚；（法）提起民事诉讼	불평하다, 불만을 호소하다; (법) 민사소송을 제기하다
1331	plezuro	{Ｂ}喜び, 楽しみ, 快楽, 快感	愉快，快乐	기쁨, 즐거움, 쾌락
1332	pli	{Ｂ}［副］より, もっと	更加，更	더, 더욱
1333	plori	{Ｂ}［自］泣く, 涙を流す	哭	울다, 눈물을 흘리다
1334	plu	{Ｂ}［副］さらに, もっと, 引き続き	继续，更进一步	더, 더욱; 계속해서
1335	plugi	{Ｂ}［他］耕す, すく; 《転》畝をつくる, しわを寄せる	耕，犁，锄	땅을 갈다, 경작하다
1336	plumbo	{Ｂ}【鉱】鉛; 【化】鉛（原子番号82）	铅	납, 금속 원소
1337	plumo	{Ｂ}羽根, 羽毛, >>lanugo; 鵞ペン, 羽根ペン; ペン, ペン先	羽毛，钢笔（尖）	깃털, 우모; 펜, 펜촉
1338	pluraj	{Ｂ}複数の; （１ではない）幾人かの, いくつかの, >>kelkaj	好几个，不止一个	여럿인, 둘 이상인
1339	plus	{Ｂ}［接］【数】プラス（足し算・正数）; 《般》～を足して, ><〜	加，正	더하기, 플러스; 양수를 나타내는 기호
1340	pluvo	{Ｂ}雨; 《転》降り注ぐもの	雨；（转）如雨般落下之物	비; (비유) 빗발치듯 쏟아지는 것
1341	po	{Ｂ}［前］～ずつ / {Ｏ}［文字名］ポー（文字P，pの名称）	各；（字母名）P	각각에게, 일정 비율로；（문자 이름） 포（P）
1342	poemo	{Ｂ}詩（作品）, （特に）長編詩, >>poeziaĵo	诗	시(詩) 작품
1343	poeto	{Ｂ}詩人	诗人	시인
1344	poezio	{Ｂ}（ジャンルとしての）詩, 詩歌, 韻文; 詩情, 詩趣	诗，诗歌，韵文；诗情，诗趣	시, 운문이라는 문학 장르
1345	polico	{Ｂ}警察	公安、警察部门；其人员总称	경찰 조직, 기관
1346	politiko	{Ｂ}政治; 政策	政治，政治学；政策	정치; 정책
1347	polvo	{Ｂ}ほこり（埃）, ちり（塵）, 微粒, 粉末; 【環】粉じん	灰尘，尘土；粉末，微粒	먼지, 티끌; 분말, 미세 입자
1348	pomo	{Ｂ}【果】リンゴ（林檎）; 《転》リンゴ形の物	苹果；（转）苹果形的东西	사과; (비유) 사과 모양의 것
1349	ponto	{Ｂ}橋; 【海】船橋, ブリッジ; 【楽】（弦を支える）駒（こま）; 《転》懸け橋, 橋渡し	桥；【海】驾驶台；【乐】琴马；（转）桥梁，纽带	다리; 【해운】선교; 【음악】줄받침; (비유) 가교
1350	popolo	{Ｂ}人民; 国民; 民衆, 庶民	人民，国民；民众，平民	인민, 국민; 민중, 서민
1351	populara	{Ｂ}人気のある, ポピュラーな; 大衆的な, 通俗的な, 平易な	普及的，通俗；大众的；流行；风行	인기 있는, 대중적인
1352	por	{Ｂ}［前］～のために（目的・用途）; ～に対して（対応・対価）; ～に賛成して	为，为了；给；对/对于；赞成	…을 위해; …에 대해/대응하여; …에 찬성하여
1353	porcio	{Ｂ}分け前, 割当て, 配給量; （料理の）一人前	一份；分配额；（餐）一人份	몫, 할당량; (음식) 1인분
1354	pordo	{Ｂ}戸口, 入り口; 戸（と）, 扉（とびら）, ドア	门	집이나 방의 문
1355	porko	{Ｂ}【動】ブタ（豚）	猪	돼지
1356	porti	{Ｂ}［他］持っている（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く	拿着，携带；搬运，运送；穿戴；承担（责任）；怀有（感情）	운반하다, 지니다; 입고/착용하다; (책임 등을) 지다; (마음에) 품다
1357	portreto	{Ｂ}肖像, 肖像画, 肖像写真; 人物描写	肖像，画像；人物描写	초상, 초상화
1358	posedi	{Ｂ}［他］所有する, 占有する; 持っている; 精通する	拥有，占有；掌握	소유하다, 점유하다; 가지고 있다; 정통하다
