row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
2500	daŭr/igi	{Ｂ}［他］続けさせる, 継続する	使继续，使持续	계속하게 하다, 지속시키다
2501	daŭro	{Ｂ}継続（期間）	持续，持续期间	지속, 지속 기간
2502	de/pendi	{Ｂ}［自］依存する, 頼る; 次第である	依赖，依靠；取决于；从属于	의존하다, 기대다; …에 달려 있다
2503	de/teni (sin)	{Ｂ}［自］控える, 我慢する	克制，忍住，抑制（自己）	자제하다, 참고 견디다
2504	debeto	{Ｂ}【経】借方, 負債	负债，欠帐；帐簿的借方	부채, 빚; (회계) 차변
2505	deliri	{Ｂ}［自］うわごとを言う, 精神錯乱する; 夢中になる	谵妄，说胡话，精神错乱；（比喻）着迷，陷入狂热	정신 착란으로 헛소리를 하다; (비유) 열광하다, 넋을 잃다
2506	denunci	{Ｂ}［他］密告する, 告発する	告发，揭发	밀고하다, 고발하다
2507	deserto	{Ｂ}【料】デザート	餐后点心	후식, 디저트
2508	detalo	{Ｂ}詳細, 細部	细节，细目	세부, 상세
2509	dev/ont/igi	{Ｂ}［他］義務を負わせる	使（某人）承担义务，使（某人）有责任；约束；（使）作出承诺	남에게 의무를 지우다
2510	diablo	{Ｂ}【宗】悪魔（ディアブロ）	魔鬼	악마, 마귀
2511	dianto	{Ｂ}【植】ナデシコ（撫子）（属）; カーネーション	石竹属植物；康乃馨	석죽속 식물; 카네이션
2512	dieto	{Ｂ}規定食, 食事療法, ダイエット	（限制的）食谱；（给病人规定的）饮食	식이요법, 규정식
2513	dikti	{Ｂ}［他］口述する, 書き取らせる; 指図する	口述，口授，使听写；强加，指令；授意，指使	말로 불러 주어 받아쓰게 하다; 지시하다
2514	dio,Dio	{Ｂ}【宗】神（唯一神）	神，上帝	신, 하느님
2515	domaĝi	{Ｂ}［他］惜しむ, もったいながる	吝惜，爱惜	아까워하다, 주기를 꺼리다
2516	dorloti	{Ｂ}［他］甘やかす, 溺愛する	宠爱，溺爱	지나치게 귀여워하다
2517	doto	{Ｂ}持参金	嫁妆	지참금
2518	drapo	{Ｂ}ラシャ（羅紗）	呢绒，毛料子	라샤, 모직물
2519	dresi	{Ｂ}［他］（動物を）調教する, 仕込む	驯兽	동물을 조련하다
2520	efekto	{Ｂ}効果, 効き目; 印象	印象，作用，影响，效果	효과, 효력; 인상
2521	egoisto	{Ｂ}利己主義者, エゴイスト	利己主义者	이기주의자
2522	ekspedi	{Ｂ}［他］発送する, 送る	发送，寄发；发货	발송하다, 보내다
2523	ekvatoro	{Ｂ}【地理】赤道	赤道	적도
2524	ekzekuti	{Ｂ}［他］処刑する, 死刑を執行する	执行死刑，正法	처형하다, 사형을 집행하다
2525	el/doni	{Ｂ}［他］出版する, 発行する; 引き渡す	出版，发行；交出，交付	출판·발행하다; 건네주다
2526	el/turn/iĝi	{Ｂ}［自］うまく切り抜ける, 言い逃れる	设法摆脱，设法脱身	요령껏 빠져나가다, 벗어나다
2527	elasta	{Ｂ}弾力のある, 伸縮自在の; 融通のきく	有弹力的，有弹性的；（比喻）灵活的，可变通的	탄력 있고 신축성 있는; (비유) 융통성 있는
2528	elektroniko	{Ｂ}電子工学, エレクトロニクス	电子工学，电子技术	전자공학, 일렉트로닉스
2529	emajlo	{Ｂ}エナメル, 琺瑯（ほうろう）; 【解】（歯の）エナメル質	珐琅，搪瓷；（解）牙釉质	법랑, 에나멜; (해부) 치아의 법랑질
2530	emocio	{Ｂ}感情, 情動; 感動	感情，情动；感动，激动	감정, 정서; 감동, 동요
2531	enketi	{Ｂ}［自］調査する	调查，查问	조사하다
2532	epidemio	{Ｂ}【病】流行病, 疫病	流行病，瘟疫	유행병, 전염병
2533	eskapi	{Ｂ}［自］逃げる（脱出する）	逃脱；逃避	도망가다, 탈출하다
2534	est/igi	{Ｂ}［他］生じさせる, 引き起こす	使产生，使发生	생기게 하다, 발생시키다
2535	etapo	{Ｂ}（軍隊の）宿営地; 行程; 段階	旅站，宿营地；一站路；阶段	여정의 한 구간; 단계; (군사) 숙영지
2536	etato	{Ｂ}明細書, 一覧表; 予算表	一览表，详表，明细表	명세서, 일람표; 예산표
2537	ezoko	{Ｂ}【魚】カワカマス（属）	狗鱼属鱼类	민물꼬치고기류
2538	faco	{Ｂ}面, 表面; 【数】面	面，表面；（数）面	면, 표면; (수학) 면
2539	fago	{Ｂ}【植】ブナ（橅）（属）	壳斗属或山毛榉属植物	너도밤나무
2540	fajenco	{Ｂ}ファイアンス陶器（錫釉陶器）	彩釉陶器，法昂斯陶	파이앙스 도기（주석유약 도기）
2541	faldo	{Ｂ}ひだ, 折り目	折痕，折皱，褶子	주름 접힌 자국
2542	falsa	{Ｂ}偽の, 偽造の	假，伪	거짓의, 가짜의
2543	falĉi	{Ｂ}［他］（鎌で）刈る	（用镰刀）收割，刈割	낫으로 베다, 수확하다
2544	fasado	{Ｂ}【建】正面（建築のファサード）, ファサード	（建筑）正面，立面	건물의 정면, 외관
2545	fasono	{Ｂ}（服の）仕立て, 裁断; 形, スタイル	（服装）式样	옷의 재단과 모양, 스타일
2546	fasti	{Ｂ}［自］断食する, 精進する	斋戒；断食	단식하다, 금식하다
2547	fazeolo	{Ｂ}【植】インゲンマメ（隠元豆）（属）	菜豆属植物（菜豆、绿豆等）；菜豆粒，菜豆角	강낭콩속 식물
2548	felto	{Ｂ}フェルト	毡	펠트, 모전
2549	fendo	{Ｂ}割れ目, 裂け目	缝，裂缝，隙	갈라진 틈, 균열
2550	feo	{Ｂ}妖精	妖精	요정
2551	feĉo	{Ｂ}おり, かす; 《転》くず	沉渣；糟粕	찌꺼기, 앙금
2552	fi!	{Ｂ}［間］チェッ！（ふん！）	呸！（表示嫌恶，不满，轻蔑）	에이!, 쳇!
2553	figo	{Ｂ}【果】イチジク（無花果）	无花果	무화과
2554	fiksa	{Ｂ}固定した, 定着した	固定的，不变的	고정된, 불변의
2555	flagri	{Ｂ}［自］（炎が）揺らめく; きらめく	闪烁；抖动，忽闪	불꽃이 너울거리다, 반짝이다
2556	flati	{Ｂ}［他］お世辞を言う, へつらう	阿谀奉承；使人满意	아첨하거나 알랑거리다
2557	fluido	{Ｂ}流体, 流動体	流体	유체(액체·기체)
2558	fojno	{Ｂ}干し草	干草	건초
2559	fonografo	{Ｂ}蓄音機	筒式留声机	축음기
2560	fontano	{Ｂ}噴水; 泉	喷泉；泉	분수; 샘
2561	for/esti	{Ｂ}［自］不在である, 欠席している	缺席，不在	부재하다, 결석하다
2562	formiko	{Ｂ}【虫】アリ（蟻）	蚂蚁	개미
2563	foso	{Ｂ}穴（掘った穴）, 堀	坑，壕沟	구덩이; 도랑, 해자
2564	fotelo	{Ｂ}肘掛け椅子	扶手椅，安乐椅	팔걸이 의자
2565	fotografi	{Ｂ}［他］写真に撮る	摄影，照相	사진을 찍다
2566	frako	{Ｂ}【服】燕尾服	燕尾服	연미복
2567	frambo	{Ｂ}【果】キイチゴ（木苺）, ラズベリー	覆盆子	나무딸기, 라즈베리
