Batch	StartID	EndID	RowCount	Reviewed	Findings	Fixes	Notes
1	156	255	100	DONE_PASS11_BATCH01_MANUAL	0	0	no clear semantic mismatch found in pass11(batch01 manual re-audit); context-allowable variants retained
2	256	355	100	DONE_PASS11_BATCH02_MANUAL	3	4	clear semantic mismatches fixed across pass8/pass11; new in pass11(batch02 manual): PhraseID 322 ZH plain-negation wording, 324 KO content-question wording
3	356	455	100	DONE_PASS11_BATCH03_MANUAL	3	3	clear semantic mismatches fixed across pass8/pass11; new in pass11(batch03 manual): PhraseID 362 JA certainty wording, 392 ZH newborn-gender wording
4	456	555	100	DONE_PASS11_BATCH04_MANUAL	1	1	clear semantic mismatch fixed in pass11(batch04 manual): PhraseID 387 KO Mothers-Day wording
5	556	655	100	DONE_PASS11_BATCH05_MANUAL	3	3	clear semantic mismatches fixed across pass8/pass11; pass8: PhraseID 610 KO direction, 618 JA intent; new in pass11(batch05 manual): PhraseID 598 KO emotional-lost wording
6	656	755	100	DONE_PASS11_BATCH06_MANUAL	0	0	no clear semantic mismatch found in pass11(batch06 manual re-audit); context-allowable variants retained
7	756	855	100	DONE_PASS11_BATCH07_MANUAL	0	0	no clear semantic mismatch found in pass11(batch07 manual re-audit); context-allowable variants retained
8	856	955	100	DONE_PASS11_BATCH08_MANUAL	0	0	no clear semantic mismatch found in pass11(batch08 manual re-audit); context-allowable variants retained
9	956	1055	100	DONE_PASS11_BATCH09_MANUAL	3	4	clear semantic mismatches fixed across pass8/pass11; pass8: PhraseID 1046 ZH literal meaning, 1055 KO normalization; new in pass11(batch09 manual): PhraseID 965 JA/ZH brother-age wording
10	1056	1155	100	DONE_PASS11_BATCH10_MANUAL	2	3	clear semantic mismatches fixed across pass8/pass11; pass8: PhraseID 1087 ZH/KO referent, 1136 JA remind; no additional clear mismatch in pass11(batch10 manual)
11	1156	1255	100	DONE_PASS11_BATCH11_MANUAL	1	2	"clear semantic mismatches fixed across pass8/pass11; new/refined in pass11(batch11 manual): PhraseID 1235 JA ""in love/fell in love"" precision"
12	1256	1355	100	DONE_PASS11_BATCH12_MANUAL	1	3	clear semantic mismatches fixed across pass8/pass11; pass8: PhraseID 1341 graduation vs dropout nuance; no additional clear mismatch in pass11(batch12 manual)
13	1356	1455	100	DONE_PASS11_BATCH13_MANUAL	1	3	clear semantic mismatches fixed across pass8/pass11; new in pass11(batch13 manual): PhraseID 1431 JA/ZH/KO library-form wording
