Batch	PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	Русский язык	Column	Old	New	Decision	Reason
2	283	Basic Sentences	Apologies	Mi scias, ke vi estas ĉagrenita	Я знаю, ты расстроен.	한국어	당신이 화가 난 걸 알아요.	당신이 속상해하는 걸 알아요.	FIX	EO ĉagrenita + RU расстроен mean upset/distressed; old KO translated as angry (화가 난), which shifts emotional valence.
9	986	Making Friends	Family & Relationships	Tio estas mia frato	Это мой брат.	한국어	이 사람은 제 남동생이에요.	이 사람은 제 형제예요.	FIX	EO frato + RU брат are age-neutral brother; old KO fixed to younger brother (남동생), causing clear semantic narrowing/mismatch.
10	1059	Making Friends	Describing People	Mia frato ankaŭ estas tre kuraĝa	Мой брат тоже очень смелый.	한국어	제 남동생도 매우 용감해요.	제 형제도 매우 용감해요.	FIX	EO frato + RU брат are age-neutral brother; old KO fixed to younger brother (남동생), which created a clear semantic narrowing and JA/ZH/KO inconsistency.
10	1104	Making Friends	Things You Like & Dislike	Mi ne pensas, ke piedirado estas agrabla	Я не думаю, что пешие прогулки приятны.	한국어	저는 등산이 즐겁다고 생각하지 않아요.	저는 걷는 것이 즐겁다고 생각하지 않아요.	FIX	EO piedirado + RU пешие прогулки mean walking/on-foot strolls; old KO 등산 means mountain climbing, a clear semantic mismatch.
21	2224	Car	Car Hire	Kie oni ŝaltas la viŝilojn?	Где включаются дворники?	日本語	ワイパーはどこにありますか？	ワイパーはどこで作動させますか？	FIX	EO ŝaltas + RU включаются ask how/where to turn on; old JA asked where wipers are located, causing clear meaning shift.
21	2224	Car	Car Hire	Kie oni ŝaltas la viŝilojn?	Где включаются дворники?	中文	雨刷在哪里？	雨刷怎么打开？	FIX	EO ŝaltas + RU включаются indicate activation/operation; old ZH asked physical location of wipers.
21	2224	Car	Car Hire	Kie oni ŝaltas la viŝilojn?	Где включаются дворники?	한국어	와이퍼는 어디에 있나요?	와이퍼는 어디에서 켜나요?	FIX	EO ŝaltas + RU включаются refer to turning on controls; old KO asked where the wipers are, not how to operate them.
22	2320	Car	Mechanical Problems	Mia aŭto ne volas starti	Моя машина не заводится.	日本語	車がエンジンをかけても動きません。	車のエンジンがかかりません。	FIX	EO ne volas starti + RU не заводится mean the engine does not start; old JA implied the engine starts but the car does not move, which is a clear semantic shift.
38	3955	Leisure Time	At the Nightclub	Ĉi tie estas iom malplene	Здесь пустовато.	日本語	少し物足りないですね。	ここは少し空いていますね。	FIX	EO malplene + RU пустовато indicate that the place feels somewhat empty; old JA conveyed psychological dissatisfaction (物足りない), causing a clear semantic shift.
39	4049	Leisure Time	Sport	Ne, mi ne estas aparte sportema	Нет, я не особо спортивный.	日本語	いいえ、特にスポーツが得意というわけではありません。	いいえ、特にスポーツ好きというわけではありません。	FIX	EO sportema + RU не особо спортивный indicate being not particularly sporty; old JA shifted to ability (得意), causing a clear semantic mismatch.
