PhraseID	Column	Old	New
160	日本語	大丈夫です、ありがとうございます。	元気です、ありがとうございます。
234	日本語	大丈夫です、ありがとうございます。	元気です、ありがとうございます。
241	日本語	こちらこそ、どうぞよろしくお願いします。	どういたしまして。
241	中文	很高兴。	不客气。
241	한국어	기쁩니다.	별말씀을요.
279	Esperanto	Ĉu mi povas vin momenton ĝeni?	Ĉu mi povas ĝeni vin momenton?
349	English	Who are you?	What is your profession?
349	日本語	どなたですか？	ご職業は何ですか？
349	中文	你是谁？	你的职业是什么？
349	한국어	저는 인공지능 기반 한국어 번역가입니다.	직업이 무엇인가요?
419	한국어	요즘 좀 손이 많이 풀렸어요.	조금 감이 떨어졌어요.
433	日本語	理解しました。	わかりますか？
433	한국어	이해했습니다.	이해하시나요?
497	日本語	テレビってコマーシャルが多すぎるよね。	テレビってコマーシャルが多すぎるよね？
557	日本語	どうしてそれに気づかなかったんだろう。	どうしてそれに気づかなかったんだろう？
581	日本語	恥ずかしいです。	本当に恥ずかしいです。
594	日本語	恥ずかしいです。	気恥ずかしいです。
623	日本語	お願いがあるのですが。	お願いを聞いていただけますか？
637	한국어	제가 당신이라면 어떻게 할지 고민해 볼 것 같아요.	당신이 제 입장이라면 어떻게 하시겠어요?
683	日本語	素敵な車ですね。	とても素敵な車ですね。
952	한국어	저는 종교가 없습니다.	종교가 무엇인가요?
1018	한국어	아니요, 저 혼자예요.	아니요, 저는 외동이에요.
1033	한국어	저는 인공지능이기 때문에 키가 없습니다.	키가 얼마나 되세요?
1077	中文	是的，我愿意。	是的，我喜欢。
1077	한국어	네, 그렇습니다.	네, 좋아해요.
1091	日本語	サーフィンは気持ちいいですよね。	サーフィンは気持ちいいですよね？
1198	日本語	ご結婚はされていますか？	独身ですか？
1198	한국어	저는 싱글이에요.	독신이신가요?
1247	中文	我送你回家吧。	我可以送你回家吗？
1255	한국어	저에 대해 더 알고 싶으시군요. 저는 다양한 주제에 대해 정보를 제공하고, 질문에 답변하며, 번역이나 글쓰기 등 여러 작업을 도와드릴 수 있는 인공지능입니다. 언제든 궁금한 점이 있으면 말씀해 주세요. 최선을 다해 도와드리겠습니다.	당신에 대해 좀 더 말씀해 주시겠어요?
1332	한국어	알제리는 북아프리카에 위치한 나라로, 아프리카 대륙에서 면적이 가장 넓은 국가입니다. 수도는 알제(Algiers)이며, 지중해와 접해 있습니다. 공식 언어는 아랍어와 베르베르어이고, 프랑스어도 널리 사용됩니다. 알제리는 풍부한 석유와 천연가스 자원을 보유하고 있어 경제적으로 중요한 역할을 하고 있습니다. 1962년에 프랑스로부터 독립했으며, 다양한 민족과 문화가 공존하는 나라입니다. 사하라 사막이 국토의 상당 부분을 차지하고 있으며, 역사적으로도 고대 로마, 이슬람, 프랑스 식민지 시대 등 다양한 문화적 영향을 받았습니다.	알제리에 대해 무엇을 알고 있나요?
1339	Esperanto	Kie vi iris lernejen?	Kie vi iris al lernejo?
1340	Esperanto	Mi iris lernejen en Bristolo	Mi iris al lernejo en Bristolo
1461	한국어	전화기의 발명가는 알렉산더 그레이엄 벨입니다.	전화기의 발명가는 누구인가요?
1598	Esperanto	Ĉu vi volus pensiĝi?	Ĉu vi volus emeritiĝi?
1744	한국어	저의 강점은 책임감이 강하고, 새로운 환경에 빠르게 적응하며, 팀원들과 원활하게 소통할 수 있다는 점입니다. 또한 문제 해결 능력이 뛰어나고, 주어진 일에 항상 최선을 다합니다. 반면, 저의 약점은 때때로 완벽을 추구하다 보니 세부적인 부분에 너무 신경을 쓸 때가 있다는 점입니다. 하지만 이를 개선하기 위해 우선순위를 정하고 효율적으로 업무를 처리하려고 노력하고 있습니다.	당신의 강점과 약점은 무엇인가요?
1804	日本語	すみません、バス停への行き方を教えていただけますか？	すみません、バスターミナルへの行き方を教えていただけますか？
1804	한국어	실례합니다, 버스 정류장에 어떻게 가는지 알려주실 수 있나요?	실례합니다, 버스 터미널에 어떻게 가는지 알려주실 수 있나요?
1816	日本語	その通りです	右
1816	中文	好的	右边
1816	한국어	맞아요.	오른쪽
1828	中文	西部	西
1830	한국어	거의 비슷해요.	꽤 가까워요.
1837	English	Next to the bus station.	Right behind the bus stop.
1837	日本語	バス停の隣です。	バス停のすぐ後ろです。
1837	中文	在公交车站旁边。	就在公交车站后面。
1837	한국어	버스 정류장 옆에 있습니다.	버스 정류장 바로 뒤에 있습니다.
1885	日本語	美術館はどこですか？	画廊はどこですか？
1885	中文	美术馆在哪里？	画廊在哪里？
1885	한국어	미술관이 어디에 있나요?	미술 갤러리는 어디에 있나요?
1911	English	Can you take photos?	Can you take a photo?
1911	中文	你会拍照吗？	你能帮我拍张照吗？
1911	한국어	사진을 찍을 수 있나요?	사진 좀 찍어주실 수 있나요?
1915	中文	下一次巡演是什么时候？	下一次旅游团是什么时候？
1923	中文	有安排外出活动吗？	有观光游吗？
1923	한국어	견학이나 소풍 같은 프로그램이 있나요?	관광 투어가 있나요?
1924	한국어	여기 견학 목록입니다.	여기 투어 목록입니다.
1929	English	Can we take a bicycle tour?	Can we book a bicycle tour?
1929	日本語	自転車ツアーに参加できますか？	自転車ツアーを予約できますか？
1929	中文	我们可以骑自行车游玩吗？	我们可以预订自行车观光游吗？
1929	한국어	자전거 투어를 할 수 있을까요?	자전거 투어를 예약할 수 있을까요?
1938	한국어	어디에서 견학 신청을 할 수 있나요?	어디에서 투어를 신청할 수 있나요?
1939	Esperanto	Ĉu vi havas broŝuron priskribantan turojn kaj ekskursojn?	Ĉu vi havas broŝuron priskribantan rondvojaĝojn kaj ekskursojn?
1942	Esperanto	Kian turon vi preferus?	Kian ekskurson vi preferus?
1978	한국어	같은 날에 연결할 수 있나요?	같은 날에 환승할 수 있나요?
1989	日本語	つながりを築くのにどれくらい時間がかかりますか。	乗り継ぎにはどれくらい時間がかかりますか？
1989	中文	建立联系需要多长时间？	转机需要多长时间？
1989	한국어	연결을 만드는 데 얼마나 걸리나요?	환승하는 데 얼마나 걸리나요?
2035	日本語	手荷物預かり所はどこですか。	荷物はどこで計量できますか？
2035	中文	行李寄存处在哪里？	行李在哪里可以称重？
2035	한국어	수하물 보관소가 어디에 있나요?	수하물은 어디에서 무게를 잴 수 있나요?
2053	中文	请把这件行李拿到出租车站。	请把这件行李拿到出租车乘车点。
2162	日本語	退出	出口
2162	中文	退出	出口
2162	한국어	나가세요.	출구
2165	한국어	밀다	미세요
2166	한국어	끌어당기다	당기세요
2167	한국어	관습	세관
2175	中文	空缺	空闲
2175	한국어	공석	비어 있습니다
2190	Esperanto	Mi ŝatus lui biciclon	Mi ŝatus lui biciklon
2231	Esperanto	Kiom po kilometro?	Kiom por kilometro?
2249	日本語	どこに行けばいいの？	どこで曲がればいいですか？
2249	中文	我该怎么办？	我该在哪里转弯？
2249	한국어	어디로 가야 하나요?	어디에서 꺾어야 하나요?
2255	Esperanto	Ĉu ĉi tie estas haltejo?	Ĉu ĉi tie estas loko por halti?
2268	日本語	一番近いガソリンスタンドはどこですか？	一番近い自動車修理工場はどこですか？
2359	English	Stop! Don't walk!	Stop! No entry!
2359	日本語	止まって！歩かないで！	止まれ！立入禁止！
2359	中文	停下！别走！	停下！禁止通行！
2359	한국어	멈추세요! 걸어가지 마세요!	멈추세요! 통행 금지입니다!
2362	日本語	片道	一方通行
2362	中文	单程	单行道
2362	한국어	편도	일방통행
2366	Esperanto	Halti malpermesite	Halto malpermesita
2366	日本語	止まらない	駐停車禁止
2376	Русский язык	Скользкая дорога	Ведите осторожно.
2396	日本語	すみません、バス停はどこですか？	すみません、バスターミナルはどこですか？
2396	한국어	실례합니다, 버스 정류장이 어디에 있나요?	실례합니다, 버스 터미널이 어디에 있나요?
2404	Esperanto	Ĉu mi devas stampi la bileton antaŭ eniri?	Ĉu mi devas stampi la bileton antaŭ ol eniri?
2415	中文	我想要一张老年人返程票到布加勒斯特。	我想要一张去布加勒斯特的老年人往返票。
2441	日本語	ダブリンまでの片道切符をお願いします。	ダブリンまでの往復切符をお願いします。
2441	中文	我想要一张回都柏林的票。	我想要一张去都柏林的往返票。
2441	한국어	더블린으로 돌아가는 표를 원합니다.	더블린행 왕복표를 원합니다.
2456	한국어	밀라노행 노인 단독 승차권 한 장 주세요.	밀라노행 노인 편도 승차권 한 장 주세요.
