PhraseID	Column	CurrentValue	Esperanto	日本語	中文	한국어	Русский язык	Decision	Note
322	中文	不是。	Ne	いいえ。	不是。	아니요.	Нет.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
324	한국어	뭐요?	Kio?	何ですか？	什么？	뭐요?	Что?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
362	日本語	確かですか？	Ĉu vi certas?	確かですか？	你确定吗？	확실하신가요?	Ты уверен?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
387	한국어	어머니의 날 축하드려요!	Feliĉan Patrintagon!	母の日おめでとう！	母亲节快乐！	어머니의 날 축하드려요!	С Днём матери!	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
392	中文	恭喜你喜获新生宝宝。	Gratulon pro via novnaskito	ご出産おめでとうございます。	恭喜你喜获新生宝宝。	아기의 탄생을 진심으로 축하드립니다.	Поздравляю с новорождённым.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
598	한국어	혼란스럽고 막막해요.	Mi sentas min perdita	自分を見失っている気がします。	我感到迷茫。	혼란스럽고 막막해요.	Я растеряна.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
965	中文	你兄弟比你年长吗？	Ĉu via frato estas pli aĝa ol vi?	あなたの兄弟はあなたより年上ですか？	你兄弟比你年长吗？	당신의 형제는 당신보다 나이가 많나요?	Твой брат старше тебя?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
965	日本語	あなたの兄弟はあなたより年上ですか？	Ĉu via frato estas pli aĝa ol vi?	あなたの兄弟はあなたより年上ですか？	你兄弟比你年长吗？	당신의 형제는 당신보다 나이가 많나요?	Твой брат старше тебя?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1235	日本語	あなたに恋しました。	Mi enamiĝis al vi	あなたに恋しました。	我爱你。	당신을 사랑하고 있어요.	Я в тебя влюблён.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1431	中文	我该如何填写图书馆申请表？	Kiel mi povas plenigi la bibliotekan formularon?	図書館の申込書はどのように記入すればよいですか。	我该如何填写图书馆申请表？	도서관 신청서는 어떻게 작성하면 되나요?	Как мне заполнить библиотечный формуляр?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1431	日本語	図書館の申込書はどのように記入すればよいですか。	Kiel mi povas plenigi la bibliotekan formularon?	図書館の申込書はどのように記入すればよいですか。	我该如何填写图书馆申请表？	도서관 신청서는 어떻게 작성하면 되나요?	Как мне заполнить библиотечный формуляр?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1431	한국어	도서관 신청서는 어떻게 작성하면 되나요?	Kiel mi povas plenigi la bibliotekan formularon?	図書館の申込書はどのように記入すればよいですか。	我该如何填写图书馆申请表？	도서관 신청서는 어떻게 작성하면 되나요?	Как мне заполнить библиотечный формуляр?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1467	日本語	まだ復習しなければならないことがたくさんあります。	Mi ankoraŭ devas ripeti multajn aferojn	まだ復習しなければならないことがたくさんあります。	我还有很多内容需要复习。	아직 복습해야 할 것이 많이 있어요.	Мне всё ещё нужно повторить много вещей.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1467	한국어	아직 복습해야 할 것이 많이 있어요.	Mi ankoraŭ devas ripeti multajn aferojn	まだ復習しなければならないことがたくさんあります。	我还有很多内容需要复习。	아직 복습해야 할 것이 많이 있어요.	Мне всё ещё нужно повторить много вещей.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1509	日本語	六十七、六十八、六十九。	Sesdek sep, sesdek ok, sesdek naŭ	六十七、六十八、六十九。	六十七，六十八，六十九。	육십칠, 육십팔, 육십구.	Шестьдесят семь, шестьдесят восемь, шестьдесят девять.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1693	中文	我曾在剑桥学习。	Mi studis en Kembriĝo	ケンブリッジで学びました。	我曾在剑桥学习。	저는 케임브리지에 다녔어요.	Я училась в Кембридже.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1693	日本語	ケンブリッジで学びました。	Mi studis en Kembriĝo	ケンブリッジで学びました。	我曾在剑桥学习。	저는 케임브리지에 다녔어요.	Я училась в Кембридже.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
1711	中文	我们需要获取推荐信。	Ni devos akiri rekomendojn	推薦状を確認させていただく必要があります。	我们需要获取推荐信。	저희가 추천인 확인을 진행해야 합니다.	Нам потребуется получить рекомендации.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
2084	日本語	入国拒否	Rifuzo de eniro	入国拒否	拒绝入境	입국 거부	Отказ во въезде	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
2550	日本語	ロックフェラーセンターに行きます。	Mi veturas al la Rockefeller-Centro	ロックフェラーセンターに行きます。	我要去洛克菲勒中心。	저는 록펠러 센터에 갈 거예요.	Я еду в Рокфеллеровский центр.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
2999	中文	我是纯素食者。	Mi estas vegano	私はヴィーガンです。	我是纯素食者。	저는 비건이에요.	Я веган.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
3722	中文	请给我一本《罗密欧与朱丽叶》。	"Bonvolu doni al mi ekzempleron de ""Romeo kaj Julieta"""	「ロミオとジュリエット」を一冊ください。	请给我一本《罗密欧与朱丽叶》。	"""로미오와 줄리엣"" 한 권 주세요."	"Пожалуйста, дайте мне экземпляр ""Ромео и Джульетты""."	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
