PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	日本語	中文	한국어	Русский язык	English
2556	Other Transport	Taxi	Mi ŝatus eliri ĉi tie, mi petas	ここで降ろしていただけますか。	我想在这里下车，谢谢。	여기서 내릴게요.	Я бы хотел выйти здесь, пожалуйста.	I'd like to get off here, please.
2557	Other Transport	Taxi	Ĉu vi povus konduki min al la urbocentro?	市の中心部まで連れて行っていただけますか？	你能带我去市中心吗？	시내로 데려다 주실 수 있나요?	Не могли бы вы отвезти меня в центр города?	Could you take me to the city centre?
2558	Other Transport	Taxi	Ĉu vi povus veni preni min ĉi tie je la sesa?	6時にここまで迎えに来てくれますか？	你能六点来这里接我吗？	여섯 시에 여기로 저를 데리러 와주실 수 있나요?	Не могли бы вы забрать меня отсюда в шесть часов?	Could you pick me up here at six o'clock?
2559	Other Transport	Taxi	Kiom kostas veturi al la flughaveno?	空港まで行くのにいくらかかりますか？	去机场大概要多少钱？	공항까지 가는 데 비용이 얼마나 들까요?	Сколько стоит доехать до аэропорта?	How much will it cost to go to the airport?
2560	Other Transport	Taxi	Vi diris, ke tio kostos 50 aŭstraliajn dolarojn	50オーストラリアドルかかるとおっしゃっていましたよね。	你说过这要花费50澳元。	50호주 달러가 든다고 하셨잖아요.	Вы сказали, что будет стоить 50 австралийских долларов.	You said it would cost 50 Australian dollars.
2561	Other Transport	Taxi	Bonvolu ŝalti la taksometron	メーターの電源を入れてください。	请把计价器打开。	계량기를 켜 주세요.	Пожалуйста, включите таксометр.	Please switch the meter on.
2562	Other Transport	Taxi	Bonvolu halti ĉe la angulo	角で止まってください。	请在路口停车。	모퉁이에서 멈춰 주세요.	Пожалуйста, остановите на углу.	Please stop at the corner.
2563	Other Transport	Taxi	Estas nokta krompago	深夜料金がかかります。	夜间会收取附加费。	야간 할증이 있습니다.	Есть доплата за вызов в ночное время.	There's a night-time surcharge.
2564	Other Transport	Taxi	Ĉu vi kontraŭas, se mi malfermos la fenestron?	窓を開けてもよろしいですか？	你介意我把窗户打开吗？	창문을 열어도 괜찮을까요?	Вы не против, если я открою окно?	Do you mind if I open the window?
2565	Other Transport	Taxi	Ĉu vi povus atendi ĉi tie momenton?	少々こちらでお待ちいただけますか。	您能在这里稍等一下吗？	잠시만 여기에서 기다려 주시겠어요?	Не могли бы вы подождать здесь минутку?	Could you wait here for a moment?
2566	Other Transport	Taxi	Ĉu ni povus halti ĉe bankaŭtomato?	ATMに寄ってもいいですか？	我们可以在自动取款机停一下吗？	현금자동입출금기에 잠깐 들를 수 있을까요?	Мы могли бы остановиться у банкомата?	Could we stop at a cash machine?
2567	Other Transport	Ship	Savringo	救命浮環	救生圈	구명환	Спасательный круг	Lifebelt
2568	Other Transport	Ship	Savboato	救命ボート	救生艇	구명보트	Спасательная шлюпка	Lifeboat
2569	Other Transport	Ship	Mi marmalsanas	船酔いしました。	我晕船了。	저는 멀미가 나요.	У меня морская болезнь.	I'm seasick.
2570	Other Transport	Ship	Kie estas la kajo?	桟橋はどこですか？	码头在哪里？	부두가 어디에 있나요?	Где пристань?	Where is the dock?
2571	Other Transport	Ship	Kie estas nia kajuto?	私たちのキャビンはどこですか？	我们的客舱在哪里？	우리 캐빈은 어디에 있나요?	Где наша каюта?	Where is our cabin?
2572	Other Transport	Ship	Ĉu mi povas rezervi kajuton?	キャビンを予約できますか？	我可以预订一间客舱吗？	캐빈을 예약할 수 있을까요?	Я могу забронировать каюту?	Can I book a cabin?
2573	Other Transport	Ship	Kie estas la haveno?	港はどこですか。	请问港口在哪里？	항구가 어디에 있나요?	Где находится гавань?	Where is the harbour?
2574	Other Transport	Ship	Je kioma horo ni enŝipiĝos?	搭乗は何時ですか？	我们什么时候登船？	우리는 몇 시에 탑승하나요?	Во сколько мы сядем на корабль?	What time do we board?
2575	Other Transport	Ship	Je kioma horo mi povas vespermanĝi?	何時にお食事ができますか。	我可以几点用餐？	몇 시에 식사할 수 있나요?	Во сколько я смогу поужинать?	What time can I dine?
2576	Other Transport	Ship	La maro estas sufiĉe trankvila	海はとても穏やかです。	海面很平静。	바다가 꽤 잔잔해요.	Море довольно спокойное.	The sea's quite calm.
2577	Other Transport	Ship	La maro estas tre maltrankvila	海がとても荒れています。	海面非常汹涌。	바다가 매우 거칩니다.	На море сильное волнение.	The sea's very rough.
2578	Other Transport	Ship	Eniro al aŭtomobilaj ferdekoj malpermesita	車両デッキへの立ち入りはできません	禁止进入车辆甲板	차량 갑판 출입이 제한됩니다.	На автомобильную палубу вход воспрещён	No access to car decks
2579	Other Transport	Ship	Kie estas la rivera haveno?	川の港はどこですか。	河港在哪里？	강변 항구는 어디에 있나요?	Где находится речной порт?	Where is the river port?
2580	Other Transport	Ship	Kie estas la informejo?	案内所はどこですか？	请问服务台在哪里？	안내 데스크가 어디에 있나요?	Где находится справочный стол?	Where's the information desk?
2581	Other Transport	Ship	Mi ŝatus kvarlitan kajuton	4人用のキャビンをお願いします。	我想要一个四人舱。	네 명이 묵을 수 있는 객실로 부탁드립니다.	Я бы хотела четырёхместную каюту.	I'd like a four-berth cabin.
2582	Other Transport	Ship	Kiam foriras la pramo al Lisbono?	リスボン行きのフェリーはいつ出ますか？	开往里斯本的渡轮什么时候发船？	리스본행 페리는 언제 출발하나요?	Когда отправляется паром в Лиссабон?	When is the ferry to Lisbon?
2583	Other Transport	Ship	Je kioma horo foriras la ŝipo?	船は何時に出航しますか。	船什么时候开？	배는 몇 시에 출항하나요?	Во сколько отчаливает корабль?	What time does the ship sail?
2584	Other Transport	Ship	Kiel mi povas iri al la ferdeko?	デッキへはどう行けばいいですか？	我怎么去甲板？	데크로 가려면 어떻게 해야 하나요?	Как пройти на палубу?	How do I get to the deck?
2585	Other Transport	Ship	Kie mi povas enŝipiĝi?	どこで船に乗れますか？	我在哪里可以登船？	어디에서 배를 탈 수 있나요?	Где я могу сесть на корабль?	Where can I board the ship?
2586	Other Transport	Ship	Kie estas kajuto numero 258?	258号室はどこですか？	258号客舱在哪里？	258번 객실이 어디에 있나요?	Где каюта номер 258?	Where's cabin number 258?
2587	Other Transport	Ship	Bonvolu forlasi viajn kajutojn	客室を空けていただきますようお願いいたします。	请离开您的客舱。	객실을 비워 주시기 바랍니다.	Пожалуйста, освободите каюты.	Please vacate your cabins.
2588	Other Transport	Ship	Surmetu viajn savvestojn	ライフジャケットを着用してください。	请穿好救生衣。	구명조끼를 착용하세요.	Наденьте спасательные жилеты.	Put on your life jackets.
2589	Other Transport	Ship	La kruzo estis mirinda	クルーズは素晴らしかったです。	这次邮轮之旅非常棒。	크루즈 여행은 정말 환상적이었어요.	Круиз был чудесным.	The cruise was wonderful.
2590	Other Transport	Ship	Ĉu vin naŭzas vojaĝado?	乗り物酔いしやすいですか？	你会晕船吗？	배멀미를 하시나요?	Тебя укачивает?	Do you get travel-sick?
2591	Other Transport	Ship	Sur kiu ferdeko estas la monŝanĝejo?	両替所はどのデッキにありますか？	货币兑换处在几层甲板？	환전소는 몇 층(데크)에 있나요?	На какой палубе находится пункт обмена валюты?	Which deck's the bureau de change on?
2592	Other Transport	Ship	Mi ŝatus bileton por aŭto kaj du pasaĝeroj	車1台と乗客2名分のチケットをお願いします。	我要一张包括一辆车和两名乘客的票。	자동차 한 대와 승객 두 명의 티켓을 주세요.	Я бы хотел билет на машину и двух пассажиров.	I'd like a ticket for a car and two passengers.
2593	Other Transport	Ship	Je kioma horo estas la sekva boato al Bankoko?	次のバンコク行きの船は何時ですか？	下一班去曼谷的船几点发？	다음 방콕행 배는 몇 시에 출발하나요?	Во сколько следующий катер в Бангкок?	What time's the next boat to Bangkok?
2594	Other Transport	Ship	Kiam la ŝipo fornavigos al Vaŝingtono?	ワシントン行きの船はいつ出航しますか。	这艘船什么时候开往华盛顿？	워싱턴행 배는 언제 출항하나요?	Когда корабль отчаливает в Вашингтон?	When does the ship sail for Washington?
2595	Other Transport	Ship	Je kioma horo la pramo alvenas en Vienon?	フェリーは何時にウィーンに到着しますか？	渡轮几点到维也纳？	페리는 몇 시에 비엔나에 도착하나요?	Во сколько паром прибывает в Вену?	What time does the ferry arrive in Vienna?
2596	Other Transport	Ship	Je kioma horo mi devas registriĝi?	何時までにチェックインすればよいですか？	我需要几点办理登船手续？	체크인은 몇 시까지 해야 하나요?	Во сколько мне нужно зарегистрироваться?	What time do I have to check in?
2597	Other Transport	Ship	Kiom longe la ŝipo restas en la haveno?	船は港にどのくらい停泊しますか。	这艘船在港口停留多长时间？	선박이 항구에 머무는 시간은 얼마나 되나요?	Как долго корабль стоит в порту?	How long does the ship stay in port?
2598	Other Transport	Ship	Kiom longe daŭras la transiro?	渡航にはどれくらい時間がかかりますか。	这段路程需要多长时间？	이동하는 데 얼마나 걸리나요?	Как долго длится переправа?	How long does the crossing take?
2599	Other Transport	Ship	Ĉu vi bonvolus konduki min al mia kajuto?	私のキャビンまでご案内いただけますか。	请带我去我的客舱好吗？	제 객실로 안내해 주시겠어요?	Не могли бы вы проводить меня до моей каюты?	Would you please show me to my cabin?
