PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
3056	Restaurant & Pub	During the Meal	Salo kaj vinagro	Salt and vinegar.	塩と酢	盐和醋	소금과 식초.	Соль и уксус.
3057	Restaurant & Pub	During the Meal	Kiel ĝi gustas al vi?	How does it taste?	どんな味がしますか？	味道怎么样？	맛이 어때요?	Как вам на вкус?
3058	Restaurant & Pub	During the Meal	Ĝi estas bongusta	It's delicious.	おいしいです。	很好吃。	맛있어요.	Это восхитительно.
3059	Restaurant & Pub	During the Meal	Mi ŝatas hindan manĝaĵon	I like Indian food.	インド料理が好きです。	我喜欢印度菜。	저는 인도 음식을 좋아해요.	Мне нравится индийская еда.
3060	Restaurant & Pub	During the Meal	Ĉu ĉi tiu manĝaĵo estas halala?	Is this food Halal?	この料理はハラールですか？	这道菜是清真的吗？	이 음식은 할랄인가요?	Эта еда халяльная?
3061	Restaurant & Pub	During the Meal	Ĉu vi ŝatas picon?	Do you like pizza?	ピザは好きですか？	你喜欢披萨吗？	피자를 좋아하세요?	Тебе нравится пицца?
3062	Restaurant & Pub	During the Meal	Mi amas fromaĝan picon	I love cheese pizza.	チーズピザが大好きです。	我喜欢芝士披萨。	저는 치즈 피자를 정말 좋아해요.	Я люблю пиццу с сыром.
3063	Restaurant & Pub	During the Meal	Bonan apetiton!	Enjoy your meal!	どうぞ召し上がれ。	请慢用！	맛있게 드세요!	Приятного аппетита!
3064	Restaurant & Pub	During the Meal	Bonvolu transdoni la salon	Pass the salt, please.	塩を取ってください。	请把盐递给我。	소금 좀 건네주세요.	Передай соль, пожалуйста.
3065	Restaurant & Pub	During the Meal	Ĉu mi povas fumi ĉi tie?	May I smoke here?	ここでタバコを吸ってもいいですか？	这里可以抽烟吗？	여기서 담배를 피워도 되나요?	Мне можно здесь курить?
3066	Restaurant & Pub	During the Meal	Kie estas la necesejoj?	Where are the toilets?	お手洗いはどこですか。	请问洗手间在哪里？	화장실이 어디에 있나요?	Где уборная?
3067	Restaurant & Pub	During the Meal	Kio estas la pasvorto por la Wi-Fi?	What is the Wi-Fi password?	Wi-Fiのパスワードを教えていただけますか？	请问无线网络密码是多少？	와이파이 비밀번호가 무엇인가요?	Какой пароль от Wi-Fi?
3068	Restaurant & Pub	During the Meal	Via manĝaĵo estas preskaŭ preta	Your food is almost ready.	お料理はもうすぐ出来上がります。	您的餐点马上就好。	음식이 거의 다 준비됐어요.	Ваша еда почти готова.
3069	Restaurant & Pub	During the Meal	Mi pensas, ke ĝi gustas bone	I think it tastes good.	美味しいと思います。	我觉得味道不错。	맛이 좋은 것 같아요.	Думаю, это вкусно.
3070	Restaurant & Pub	During the Meal	Ĝi tre plaĉas al ni	We like it very much.	とても気に入っています。	我们非常喜欢。	저희는 그것이 정말 마음에 들어요.	Нам очень нравится.
3071	Restaurant & Pub	During the Meal	Ĉi tio estas mia plej ŝatata	This is my favourite.	これが私のお気に入りです。	这是我最喜欢的。	이게 제가 가장 좋아하는 거예요.	Это моя любимая.
3072	Restaurant & Pub	During the Meal	Ĉu mi povus ricevi iom da butero?	May I have some butter?	バターをいただけますか？	可以给我一些黄油吗？	버터 좀 주시겠어요?	Можно мне сливочное масло?
3073	Restaurant & Pub	During the Meal	Ankoraŭ iom da pano, mi petas	Some more bread, please.	パンをもう少しいただけますか。	请再来一些面包。	빵을 좀 더 주세요.	Ещё хлеба, пожалуйста.
3074	Restaurant & Pub	During the Meal	Ĉu vi povus varmigi ĉi tion?	Could you heat this up?	これを温めていただけますか？	你能帮我加热一下吗？	이거 데워 주시겠어요?	Не могли бы вы её подогреть?
3075	Restaurant & Pub	During the Meal	Mi ankoraŭ ne finis manĝi	I haven't finished eating.	まだ食べ終わっていません。	我还没吃完。	아직 다 먹지 않았어요.	Я ещё не закончила есть.
3076	Restaurant & Pub	During the Meal	Kiel pri iom da deserto?	How about some dessert?	デザートはいかがですか？	要不要来点甜点？	디저트 좀 먹을까요?	Как насчёт десерта?
3077	Restaurant & Pub	During the Meal	Sufiĉas, dankon	That's enough, thanks.	もう十分です、ありがとうございます。	够了，谢谢。	이제 충분합니다, 감사합니다.	Достаточно, спасибо.
3078	Restaurant & Pub	During the Meal	Kiel oni manĝas ĉi tion?	How do you eat this?	これはどうやって食べるんですか？	这个怎么吃？	이거 어떻게 먹어요?	Как его едят?
3079	Restaurant & Pub	During the Meal	Ĉu vi scipovas uzi manĝobastonetojn?	Can you use the chopsticks?	お箸は使えますか？	你会用筷子吗？	젓가락을 사용할 수 있나요?	Ты умеешь пользоваться палочками?
