PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
656	General Conversation	Opinions	Ĉu ĉi tiu loko ne estas mirinda?	Isn't this place fantastic?	ここ、本当に素敵じゃない？	这个地方是不是很棒？	여기 정말 환상적이지 않아요?	Разве это место не фантастическое?
657	General Conversation	Opinions	Mi pensas, ke jes	I think so.	私もそう思います。	我也是这么认为的。	저도 그렇게 생각해요.	Думаю, да.
658	General Conversation	Opinions	Mi ne pensas tiel	I don't think so.	そうは思いません。	我觉得不是这样。	저는 그렇게 생각하지 않아요.	Не думаю.
659	General Conversation	Opinions	Mi esperas tion	I hope so.	そうだといいですね。	我也希望如此。	저도 그렇게 바라요.	Надеюсь на это.
660	General Conversation	Opinions	Tio dependas	That depends.	場合によります。	看情况。	상황에 따라 달라요.	Зависит.
661	General Conversation	Opinions	Vi malpravas	You're wrong.	違います。	你错了。	틀렸어요.	Ты не прав.
662	General Conversation	Opinions	Ĉu vi havas iujn rimarkojn?	Have you got any remarks?	何かご意見はありますか？	你有什么意见吗？	혹시 의견 있으신가요?	У тебя есть какие-нибудь замечания?
663	General Conversation	Opinions	Ĝi estas grandioza	It's magnificent.	素晴らしいです。	太壮观了。	정말 멋져요.	Это великолепно.
664	General Conversation	Opinions	Ili tre plaĉas al mi!	I really like it!	とても気に入りました！	我真的很喜欢！	정말 마음에 들어요!	Они мне очень нравятся!
665	General Conversation	Opinions	Tio estas mirinda!	That's wonderful!	それは素晴らしいですね！	太棒了！	정말 멋지네요!	Это чудесно!
666	General Conversation	Opinions	Kio plaĉas al vi pri ĝi?	What do you like about it?	それのどんなところが気に入っていますか？	你喜欢它的哪些方面？	그것의 어떤 점이 마음에 드시나요?	Чем она тебе нравится?
667	General Conversation	Opinions	Tio estas tute malsama	That's quite different.	それはずいぶん違いますね。	那可大不一样。	그건 꽤 다르네요.	Совсем наоборот.
668	General Conversation	Opinions	Tio estas nekredebla!	That's incredible!	それはすごいですね！	太棒了！	정말 대단하네요!	Это невероятно!
669	General Conversation	Opinions	Ĉu vi ŝatas resti ĉi tie?	Do you like staying here?	ここにいるのは気に入っていますか？	你喜欢待在这里吗？	여기 있는 것이 마음에 드시나요?	Вам здесь нравится?
670	General Conversation	Opinions	Kia bela loko!	What a nice place!	なんて素敵な場所なんだろう！	真是个好地方！	정말 멋진 곳이네요!	Какое милое место!
671	General Conversation	Opinions	Pri kio vi pensas?	What's on your mind?	何を考えているの？	你在想什么？	무슨 생각하고 계세요?	Что у тебя на уме?
672	General Conversation	Opinions	Tio ŝajnas al mi tre stranga	It seems very strange to me.	私にはとても不思議に思えます。	我觉得这很奇怪。	저에게는 매우 이상하게 느껴져요.	Мне это кажется очень странным.
673	General Conversation	Opinions	Ne indas	It's not worth it.	それは割に合わない。	不值得。	그럴 만한 가치가 없어요.	Это того не стоит.
674	General Conversation	Opinions	Ĉu vi pensas, ke tio eblas?	Do you think it's possible?	それは可能だと思いますか？	你觉得这有可能吗？	가능하다고 생각하세요?	Ты думаешь, это возможно?
675	General Conversation	Opinions	Kia bonega ideo!	What a great idea!	なんて素晴らしいアイデアなんだろう！	真是个好主意！	정말 좋은 생각이에요!	Какая отличная идея!
676	General Conversation	Opinions	Mi pensas, ke estas eraro	I think there's a mistake.	間違いがあると思います。	我觉得这里有个错误。	실수가 있는 것 같아요.	Я думаю, здесь ошибка.
677	General Conversation	Opinions	Kion vi pensas pri la libro?	What's your opinion on the book?	その本についてどう思いますか？	你对这本书有什么看法？	그 책에 대해 어떻게 생각하세요?	Что ты думаешь об этой книге?
678	General Conversation	Opinions	Mi timas, ke ĉi tiu libro ne plaĉas al mi	I'm afraid I don't like this book.	申し訳ありませんが、この本はあまり好きではありません。	恐怕我不喜欢这本书。	죄송하지만 이 책은 마음에 들지 않아요.	Боюсь эта книга мне не нравится.
679	General Conversation	Opinions	Kion vi povas diri pri ĉi tiu bildo?	What can you say about this picture?	この写真についてどう思いますか？	你怎么看这张图片？	이 사진에 대해 어떻게 생각하세요?	Что ты можешь сказать об этой картине?
680	General Conversation	Opinions	Ĉu vi havas opinion pri tiu ĉi afero?	Have you got an opinion on this matter?	この件についてご意見はありますか？	你对这件事有什么看法吗？	이 문제에 대해 의견이 있으신가요?	У вас есть мнение на этот счёт?
681	General Conversation	Opinions	Dependas de vi	It's up to you.	あなたにお任せします。	由你决定。	당신에게 달려 있어요.	На твоё усмотрение.
682	General Conversation	Opinions	La aktorado estis malbona	The acting was poor.	演技が下手だった。	表演很差。	연기가 좋지 않았어요.	Игра актёров была плохой.
683	General Conversation	Opinions	Vi havas tre belan aŭton	You've got a very nice car.	とても素敵な車ですね。	你的车真不错。	정말 멋진 차를 가지고 계시네요.	У тебя очень красивый автомобиль.
684	General Conversation	Opinions	Mi pensas, ke la situacio estas malagrabla	I think the situation is unpleasant.	この状況は不快だと思います。	我觉得这种情况让人不舒服。	저는 이 상황이 불쾌하다고 생각해요.	Я думаю, это неприятная ситуация.
685	General Conversation	Opinions	Mi kredas, ke estas pluraj kialoj	I believe that there are several reasons.	いくつかの理由があると思います。	我认为有几个原因。	저는 그에 대한 몇 가지 이유가 있다고 생각합니다.	Я верю, что есть несколько причин.
686	General Conversation	Opinions	Mi ne povas diri, ke tio tre plaĉas al mi	I can't say it appeals to me very much.	あまり惹かれるとは言えません。	我对这个并不是很感兴趣。	저에게는 그다지 매력적으로 느껴지지 않아요.	Не могу сказать, что мне это сильно нравится.
687	General Conversation	Opinions	Mi certas, ke li venkos	I'm sure that he will win.	彼が勝つと確信しています。	我相信他一定会赢。	저는 그가 이길 것이라고 확신해요.	Уверен, что он выиграет.
688	General Conversation	Opinions	Mi pensis, ke li diris ion alian	I thought he said something else.	彼が別のことを言ったと思いました。	我以为他说的是别的。	저는 그가 다른 말을 한 줄 알았어요.	Я думала, он сказал что-то ещё.
689	General Conversation	Opinions	Laŭ mi, vi estas la plej bona	In my view, you are the best.	私の考えでは、あなたが一番です。	在我看来，你是最棒的。	제 생각에는 당신이 최고예요.	По-моему, ты лучший.
690	General Conversation	Opinions	Laŭ mi, butikumado estas amuza	In my opinion, shopping is fun.	私の考えでは、買い物は楽しいです。	我认为购物很有趣。	제 생각에는 쇼핑이 재미있어요.	На мой взгляд, ходить по магазинам это здорово.
691	General Conversation	Opinions	Sincere dirante, li ne plaĉas al mi	To be frank, I don't like him.	正直に言うと、彼のことは好きではありません。	坦白说，我不喜欢他。	솔직히 말해서, 저는 그를 좋아하지 않아요.	Откровенно говоря, он мне не нравится.
