row_index	Esperanto	column	before	after
2400	ŝvebi	Korean_Trans	공중이나 물속에 떠서 부드럽게 움직이다, 《전》（마음에）떠오르다	공중에 뜨거나 떠돌다, 활공하다; (물리) 물속에서 부유하다; (비유) 마음에 떠오르다; (비유) 미해결로 남다
2406	-ebla	Korean_Trans	가능한, 될 수 있는	…될 수 있는, …당할 수 있는(피동 가능)을 나타내는 접미사
2407	-eco	Korean_Trans	성질, 특성	성질·특성을 나타내는 접미사
2409	-ema	Korean_Trans	어떤 행동에 기울기 쉬운 성향	어떤 성향·습관이 있음을 나타내는 접미사
2410	-estro	Korean_Trans	우두머리	우두머리·책임자를 나타내는 접미사
2411	-ido	Korean_Trans	자식, 후손	자식·후손을 나타내는 접미사
2413	-ilo	Chinese_Trans	工具	[后缀] 表示工具、器械、药剂等
2413	-ilo	Korean_Trans	도구를 나타내는 접미사	도구·기구·약제 등을 나타내는 접미사
2419	-obla	Korean_Trans	몇 배의, 배수	배수(…배)를 나타내는 접미사
2420	-ona	Korean_Trans	분수를 나타내는 접미사	분수(…분의 1)를 나타내는 접미사
2422	-ulo	Chinese_Trans	具有该特点的人或物	具有该特点的人或动物
2430	agento	Chinese_Trans	代理人，代理商	代理人，代理商；爪牙；[理] 作用物质
2430	agento	Korean_Trans	대리인, 대리업자	대리인, 대리업자; 앞잡이; (물리) 작용 물질
2433	agordo	Chinese_Trans	调音；调谐；协调	调音；调谐；（心境）协调
2447	aperturo	Korean_Trans	물체의 구멍이나 입구	개구부, 구멍; (사진) 조리개
2456	asisti	Korean_Trans	곁에서 돕다, 보좌하다	곁에서 돕다, 보좌하다; (행사에) 참석하다
2460	aŭdaca	Korean_Trans	대담하고 건방진	대담하고 용감한; 뻔뻔한
2464	bapti	Korean_Trans	세례를 베풀다	세례를 베풀다; 이름을 붙이다
2466	barko	Korean_Trans	소형 범선	삼장 이상 돛배(바크); 작은 배
2472	bonvoli	Korean_Trans	정중히 부탁하다	호의를 보이다; (완곡) …해 주시다
2479	brido	Chinese_Trans	马勒，辔头	马勒，辔头；（转）抑制，约束
2479	brido	Korean_Trans	고삐	고삐; (비유) 억제, 구속
2483	bukedo	Chinese_Trans	花束，花球	花束；（葡萄酒的）芳香
2483	bukedo	Korean_Trans	꽃다발	꽃다발; (와인의) 향기
2488	buĉi	Chinese_Trans	宰杀（供神）；屠杀	宰杀（家畜）；屠杀
2488	buĉi	Korean_Trans	가축을 도살하다	가축을 도살하다; 학살하다
2491	cikado	Chinese_Trans	蝉属昆虫	蝉（类）
2493	cikonio	Chinese_Trans	鹳属鸟类	鹳（类）
