row_index	Esperanto	column	before	after
101	angulo	Korean_Trans	각, 모서리, 구석	각, 모서리, 구석; (수학) 각
103	animo	Chinese_Trans	灵魂，精神	灵魂，心灵；生气；[宗] 灵
103	animo	Korean_Trans	영혼, 마음	영혼, 마음; 생기; (종교) 영
105	ankoraŭ	Chinese_Trans	还，仍	还，仍；还要，更
105	ankoraŭ	Korean_Trans	아직, 여전히	아직, 여전히; 더, 한층
115	aperi	Chinese_Trans	出现	出现；（刊行物）出版，发行
115	aperi	Korean_Trans	나타나다, 출현하다	나타나다, 출현하다; (간행물이) 나오다
117	aplaŭdi	Korean_Trans	손뼉쳐 칭찬하거나 환호하다	박수갈채하다; (비유) 찬성하다
118	apliki	Korean_Trans	응용하다, 적용하다	응용하다, 적용하다; (물리) 힘을 가하다
126	arbitra	Korean_Trans	제멋대로의	임의의, 자의적인; 제멋대로의
129	armeo	Korean_Trans	국가의 조직된 군대	국가의 조직된 군대; (비유) 대군, 무리
131	artikolo	Korean_Trans	기사; 조항; (문법) 관사	기사; 조항, 조문; (문법) 관사
136	asocio	Korean_Trans	협회	협회, 결사체; 결합, 연합
142	atingi	Korean_Trans	어떤 지점에 도달하다	도달하다, 닿다; 이루다, 달성하다
143	atomo	Korean_Trans	물질을 이루는 최소 단위, 원자	원자; (철학) 아톰; (비유) 극미한 것
154	aŭdi	Chinese_Trans	听见	听见；听到
196	bero	Korean_Trans	딸기·포도 같은 즙많은 열매	딸기·포도 같은 즙 많은 열매; (식물) 장과
199	biblioteko	Chinese_Trans	图书馆；（计）程序库	图书馆，图书室；藏书；（计）程序库
199	biblioteko	Korean_Trans	도서관；（컴퓨터） 라이브러리	도서관, 도서실; 장서; (컴퓨터) 라이브러리
