row_index	column	before	after
209	Korean_Trans	눈이 먼, 시력을 잃은	눈먼; (비유) 맹목적인(차별적 뉘앙스에 주의)
212	Korean_Trans	바람이 불다, 입으로 바람을 내다	바람이 불다; 입으로 불다, 불어 울리다
229	Korean_Trans	동식물을 기르다	동식물을 사육·재배하다; 품종을 개량하다
235	Korean_Trans	솔, 브러시	솔, 브러시; (전기) 브러시
256	Chinese_Trans	水泥，接合剂	水泥；接合剂；（牙）牙骨质；（地）胶结物
257	Korean_Trans	100이라는 수	백(100)
258	Korean_Trans	중앙 기관, 본부; 발전소, 전화국	중앙 기관, 본부; 발전소; 전화 교환국
259	Korean_Trans	중심, 중앙; (정치) 중도	중심, 중앙; (정치) 중도; (해부) 중추
267	Korean_Trans	백조	백조; (비유) 시성(시인)
274	Korean_Trans	말이나 글을 인용하다	인용하다; (이름·예를) 들다
283	Korean_Trans	날짜, 연월일	날짜, 연월일; 기일
299	Korean_Trans	묻다, 질문하다	묻다, 질문하다, 문의하다
