row	esperanto	column	severity	type	current	suggested	reason
1242	palto	Chinese_Trans	critical	typo_semantic	外套，大多	外套，外衣，大衣	「大多」は誤字/誤変換で語義が崩れる。palto は「外套・大衣」。
161	aŭtomobilo	Japanese_Trans	high	format_regression	{Ｂ}自動車（乗用車）（乗用車）, =aŭto	{Ｂ}自動車（乗用車）, =aŭto	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
832	konfidi	Japanese_Trans	high	format_regression	{Ｂ}［他］信頼する（託す）（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける	{Ｂ}［他］信頼する（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
987	ligno	Japanese_Trans	high	format_regression	{Ｂ}木（木材）（木材）, 木材, 材木; 【植】木質	{Ｂ}木（木材）, 木材, 材木; 【植】木質	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1126	multipliki	Japanese_Trans	high	format_regression	{Ｂ}［他］【数】掛ける（掛け算する）（掛け算する）	{Ｂ}［他］【数】掛ける（掛け算する）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1298	persono	Japanese_Trans	high	format_regression	{Ｂ}人（個人）（個人）, 個人, 人物; 【劇】登場人物; 【Ｇ】人称	{Ｂ}人（個人）, 個人, 人物; 【劇】登場人物; 【Ｇ】人称	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1357	porti	Japanese_Trans	high	format_regression	{Ｂ}［他］持っている（運ぶ）（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く	{Ｂ}［他］持っている（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1406	projekto	Japanese_Trans	high	format_regression	{Ｂ}計画（プロジェクト）（プロジェクト）, 企画; 案, 草案, 議案; 【機】設計図	{Ｂ}計画（プロジェクト）, 企画; 案, 草案, 議案; 【機】設計図	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1479	respekti	Japanese_Trans	high	format_regression	{Ｂ}［他］尊敬する（敬う）（敬う）, 敬う; 尊重する, 遵守する	{Ｂ}［他］尊敬する（敬う）, 敬う; 尊重する, 遵守する	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1521	rompi	Japanese_Trans	high	format_regression	{Ｂ}［他］破壊する（壊す）（壊す）, 壊す, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	{Ｂ}［他］破壊する（壊す）, 壊す, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
