row	esperanto	column	old	new
161	aŭtomobilo	Japanese_Trans	{Ｂ}自動車（乗用車）（乗用車）, =aŭto	{Ｂ}自動車（乗用車）, =aŭto
832	konfidi	Japanese_Trans	{Ｂ}［他］信頼する（託す）（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける	{Ｂ}［他］信頼する（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける
987	ligno	Japanese_Trans	{Ｂ}木（木材）（木材）, 木材, 材木; 【植】木質	{Ｂ}木（木材）, 木材, 材木; 【植】木質
1126	multipliki	Japanese_Trans	{Ｂ}［他］【数】掛ける（掛け算する）（掛け算する）	{Ｂ}［他］【数】掛ける（掛け算する）
1242	palto	Chinese_Trans	外套，大多	外套，外衣，大衣
1298	persono	Japanese_Trans	{Ｂ}人（個人）（個人）, 個人, 人物; 【劇】登場人物; 【Ｇ】人称	{Ｂ}人（個人）, 個人, 人物; 【劇】登場人物; 【Ｇ】人称
1357	porti	Japanese_Trans	{Ｂ}［他］持っている（運ぶ）（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く	{Ｂ}［他］持っている（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く
1406	projekto	Japanese_Trans	{Ｂ}計画（プロジェクト）（プロジェクト）, 企画; 案, 草案, 議案; 【機】設計図	{Ｂ}計画（プロジェクト）, 企画; 案, 草案, 議案; 【機】設計図
1479	respekti	Japanese_Trans	{Ｂ}［他］尊敬する（敬う）（敬う）, 敬う; 尊重する, 遵守する	{Ｂ}［他］尊敬する（敬う）, 敬う; 尊重する, 遵守する
1521	rompi	Japanese_Trans	{Ｂ}［他］破壊する（壊す）（壊す）, 壊す, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	{Ｂ}［他］破壊する（壊す）, 壊す, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く
1641	spirito	Japanese_Trans	{Ｂ}精神（霊魂）（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo
1649	stango	Japanese_Trans	{Ｂ}棒（さすまた等）（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto	{Ｂ}棒（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto
1689	surtuto	Japanese_Trans	{Ｂ}【服】オーバー（外套）（外套）, 外套（がいとう）, コート, >>palto, >>kaftano	{Ｂ}【服】オーバー（外套）, 外套（がいとう）, コート, >>palto, >>kaftano
1719	temo	Japanese_Trans	{Ｂ}主題（テーマ）（テーマ）, テーマ, 題目, 論題, 話題; 【楽】主題, 主旋律	{Ｂ}主題（テーマ）, テーマ, 題目, 論題, 話題; 【楽】主題, 主旋律
1771	trejni	Japanese_Trans	{Ｂ}［他］訓練する（トレーニングする）（トレーニングする）, 鍛錬する; 養成する, 仕込む	{Ｂ}［他］訓練する（トレーニングする）, 鍛錬する; 養成する, 仕込む
1787	truo	Japanese_Trans	{Ｂ}穴（貫通した穴）（貫通した穴）, 孔; （動物の）巣穴; 【運】（ゴルフの）ホール; 《転》欠陥	{Ｂ}穴（貫通した穴）, 孔; （動物の）巣穴; 【運】（ゴルフの）ホール; 《転》欠陥
1803	tuta	Japanese_Trans	{Ｂ}全部の（全体の）（全体の）, 全体の, すべての	{Ｂ}全部の（全体の）, 全体の, すべての
1860	viando	Japanese_Trans	{Ｂ}【料】肉（食肉）（食肉）, 食肉, >>karno	{Ｂ}【料】肉（食肉）, 食肉, >>karno
1862	vidi	Japanese_Trans	{Ｂ}［他］見る（目に入る）（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する	{Ｂ}［他］見る（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する
1953	ŝanceli	Japanese_Trans	{Ｂ}［他］揺さぶる（ぐらつかせる）（ぐらつかせる）, ぐらつかせる; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす	{Ｂ}［他］揺さぶる（ぐらつかせる）, ぐらつかせる; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす
2054	buso	Japanese_Trans	{Ｂ}【車】バス（乗合自動車）（乗合自動車）, =aŭto〜 / 【情】バス	{Ｂ}【車】バス（乗合自動車）, =aŭto〜 / 【情】バス
2078	ekstra	Japanese_Trans	{Ｏ}特別の（追加の）（追加の）, 格別の, 余分の, 臨時の, >>aldona	{Ｏ}特別の（追加の）, 格別の, 余分の, 臨時の, >>aldona
2114	fortuno	Japanese_Trans	{Ｂ}運（幸運）（幸運）, 運命, 幸運（財産の意味ではまれ）	{Ｂ}運（幸運）, 運命, 幸運（財産の意味ではまれ）
2148	integra	Japanese_Trans	{Ｂ}全部の（完全な）（完全な）, 完全な, 欠けたところのない; 不可分の, 不可欠の	{Ｂ}全部の（完全な）, 完全な, 欠けたところのない; 不可分の, 不可欠の
2211	kvereli	Japanese_Trans	{Ｏ}［自］口論する（喧嘩する）（喧嘩する）, 口げんかする	{Ｏ}［自］口論する（喧嘩する）, 口げんかする
2227	manio	Japanese_Trans	{Ｏ}熱狂（マニア）（マニア）, 偏執, マニア; 奇癖; 【医】躁状態, 躁病	{Ｏ}熱狂（マニア）, 偏執, マニア; 奇癖; 【医】躁状態, 躁病
2256	novelo	Japanese_Trans	{Ｏ}小説（短編小説）（短編小説）, 中編小説, >>romano	{Ｏ}小説（短編小説）, 中編小説, >>romano
2308	respektiva	Japanese_Trans	{Ｏ}それぞれの（各自の）（各自の）, 各自の	{Ｏ}それぞれの（各自の）, 各自の
2368	universo	Japanese_Trans	{Ｏ}宇宙（森羅万象）（森羅万象）, 万有, 森羅万象, 全世界, >>kosmo	{Ｏ}宇宙（森羅万象）, 万有, 森羅万象, 全世界, >>kosmo
2428	abrupta	Japanese_Trans	{Ｂ}突然の（険しい）（険しい）, 不意の; 険しい	{Ｂ}突然の（険しい）, 不意の; 険しい
2441	aleo	Japanese_Trans	{Ｂ}並木道（散歩道）（散歩道）, 散歩道	{Ｂ}並木道（散歩道）, 散歩道
2511	diablo	Japanese_Trans	{Ｂ}【宗】悪魔（ディアブロ）（ディアブロ）	{Ｂ}【宗】悪魔（ディアブロ）
2515	dio,Dio	Japanese_Trans	{Ｂ}【宗】神（唯一神）（唯一神）	{Ｂ}【宗】神（唯一神）
2534	eskapi	Japanese_Trans	{Ｂ}［自］逃げる（脱出する）（脱出する）, 脱出する	{Ｂ}［自］逃げる（脱出する）, 脱出する
2545	fasado	Japanese_Trans	{Ｂ}【建】正面（建築のファサード）（建築のファサード）, ファサード	{Ｂ}【建】正面（建築のファサード）, ファサード
2553	fi!	Japanese_Trans	{Ｂ}［間］チェッ！（ふん！）（ふん！）	{Ｂ}［間］チェッ！（ふん！）
2564	foso	Japanese_Trans	{Ｂ}穴（掘った穴）（掘った穴）, 堀	{Ｂ}穴（掘った穴）, 堀
2578	garni	Japanese_Trans	{Ｂ}［他］飾る（付け合わせる）（付け合わせる）, 装飾する; 付け合わせる	{Ｂ}［他］飾る（付け合わせる）, 装飾する; 付け合わせる
2599	he!	Japanese_Trans	{Ｂ}［間］おい！（ねえ！）（ねえ！）	{Ｂ}［間］おい！（ねえ！）
2630	kaverno	Japanese_Trans	{Ｂ}洞窟（ほら穴）（ほら穴）, 洞穴	{Ｂ}洞窟（ほら穴）, 洞穴
2651	konkordo	Japanese_Trans	{Ｂ}一致（和合）（和合）, 調和, 和合	{Ｂ}一致（和合）, 調和, 和合
2685	majesta	Japanese_Trans	{Ｂ}荘厳な（威厳のある）（威厳のある）, 威厳のある	{Ｂ}荘厳な（威厳のある）, 威厳のある
2692	mastr/umi	Japanese_Trans	{Ｂ}［他］管理する（使いこなす）（使いこなす）, 切り盛りする	{Ｂ}［他］管理する（使いこなす）, 切り盛りする
2695	meĥaniko	Japanese_Trans	{Ｂ}力学（メカニクス）（メカニクス）, 機械学, =mekaniko	{Ｂ}力学（メカニクス）, 機械学, =mekaniko
2696	meĥanismo	Japanese_Trans	{Ｂ}機械装置（メカニズム）（メカニズム）, 機構, =mekanismo	{Ｂ}機械装置（メカニズム）, 機構, =mekanismo
2705	nepra	Japanese_Trans	{Ｂ}絶対の（必至の）（必至の）, 必須の	{Ｂ}絶対の（必至の）, 必須の
2709	nul	Japanese_Trans	{Ｂ}ゼロ（無）（無）, 零	{Ｂ}ゼロ（無）, 零
2715	opozicii	Japanese_Trans	{Ｂ}［自］反対する（対立する）（対立する）, 対立する	{Ｂ}［自］反対する（対立する）, 対立する
2742	planto	Japanese_Trans	{Ｂ}植物（草木）（草木）	{Ｂ}植物（草木）
2759	proleto	Japanese_Trans	{Ｂ}プロレタリア（労働者）（労働者）, 無産者	{Ｂ}プロレタリア（労働者）, 無産者
2779	reklami	Japanese_Trans	{Ｂ}［自］宣伝する（広告する）（広告する）, 広告する	{Ｂ}［自］宣伝する（広告する）, 広告する
2783	rento	Japanese_Trans	{Ｂ}年金（利子・不労所得）（利子・不労所得）, 利子収入	{Ｂ}年金（利子・不労所得）, 利子収入
2809	situo	Japanese_Trans	{Ｂ}位置（立地）（立地）, 立地	{Ｂ}位置（立地）, 立地
2825	streko	Japanese_Trans	{Ｂ}線（線分）（線分）, ストローク	{Ｂ}線（線分）, ストローク
2847	teĥniko	Japanese_Trans	{Ｂ}技術（テクノロジー）（テクノロジー）, =tekniko	{Ｂ}技術（テクノロジー）, =tekniko
2886	ĥemio	Japanese_Trans	{Ｂ}化学（ケミストリー）（ケミストリー）, =kemio	{Ｂ}化学（ケミストリー）, =kemio
