row	esperanto	column	severity	type	current	suggested	reason
2845	teraso	Chinese_Trans	high	semantic_typo_candidate	平台，地坛，平顶屋	平台，台地，平顶屋	「地坛」は文脈上不自然で、JA「テラス, 台地」/KO「테라스, 평지붕」との整合から「台地」の誤記可能性が高い。
88	alterni	Korean_Trans	low	style_spacing	번갈아일어나다,교대하다	번갈아일어나다, 교대하다	読点後スペース欠落による可読性低下（意味は保持）。
231	bremso	Korean_Trans	low	style_spacing	브레이크,제동기	브레이크, 제동기	読点後スペース欠落による可読性低下（意味は保持）。
378	ekster	Korean_Trans	low	style_spacing	…의밖에,외부에	…의밖에, 외부에	読点後スペース欠落による可読性低下（意味は保持）。
451	felo	Korean_Trans	low	style_spacing	가공전가죽,모피	가공전가죽, 모피	読点後スペース欠落による可読性低下（意味は保持）。
698	jubileo	Korean_Trans	low	style_spacing	25,50,100년 등의 기념축제	25, 50, 100년 등의 기념축제	読点後スペース欠落による可読性低下（意味は保持）。
821	komuniki	Korean_Trans	low	style_spacing	전달하다,소통하다	전달하다, 소통하다	読点後スペース欠落による可読性低下（意味は保持）。
871	korto	Korean_Trans	low	style_spacing	집안의뜰,안마당	집안의뜰, 안마당	読点後スペース欠落による可読性低下（意味は保持）。
896	kripla	Korean_Trans	low	style_spacing	신체에장애가있는,팔다리가불편한	신체에장애가있는, 팔다리가불편한	読点後スペース欠落による可読性低下（意味は保持）。
1254	parfumo	Korean_Trans	low	style_spacing	향수,향기로운냄새	향수, 향기로운냄새	読点後スペース欠落による可読性低下（意味は保持）。
1267	pastro	Korean_Trans	low	style_spacing	기독교성직자,사제나목사	기독교성직자, 사제나목사	読点後スペース欠落による可読性低下（意味は保持）。
1313	pinĉi	Korean_Trans	low	style_spacing	손가락으로꼬집다,집다	손가락으로꼬집다, 집다	読点後スペース欠落による可読性低下（意味は保持）。
1384	preter	Korean_Trans	low	style_spacing	곁을지나가다,지나치다	곁을지나가다, 지나치다	読点後スペース欠落による可読性低下（意味は保持）。
1398	procento	Korean_Trans	low	style_spacing	퍼센트,백분율;이자율,이자	퍼센트, 백분율;이자율, 이자	読点後スペース欠落による可読性低下（意味は保持）。
1666	stulta	Korean_Trans	low	style_spacing	어리석은,우둔한	어리석은, 우둔한	読点後スペース欠落による可読性低下（意味は保持）。
1696	tablo	Korean_Trans	low	style_spacing	탁자,식탁	탁자, 식탁	読点後スペース欠落による可読性低下（意味は保持）。
1840	veneno	Korean_Trans	low	style_spacing	생명을해치는독,독약	생명을해치는독, 독약	読点後スペース欠落による可読性低下（意味は保持）。
1900	ĉambro	Korean_Trans	low	style_spacing	방,실	방, 실	読点後スペース欠落による可読性低下（意味は保持）。
1938	ĝermo	Korean_Trans	low	style_spacing	식물의싹,초기발아상태	식물의싹, 초기발아상태	読点後スペース欠落による可読性低下（意味は保持）。
1963	ŝipo	Korean_Trans	low	style_spacing	배,선박	배, 선박	読点後スペース欠落による可読性低下（意味は保持）。
2121	gastronomio	Korean_Trans	low	style_spacing	미식학,요리법	미식학, 요리법	読点後スペース欠落による可読性低下（意味は保持）。
2268	panoramo	Korean_Trans	low	style_spacing	파노라마,전경	파노라마, 전경	読点後スペース欠落による可読性低下（意味は保持）。
2463	bakterio	Korean_Trans	low	style_spacing	세균,박테리아	세균, 박테리아	読点後スペース欠落による可読性低下（意味は保持）。
2515	dio,Dio	Korean_Trans	low	style_spacing	신,하느님	신, 하느님	読点後スペース欠落による可読性低下（意味は保持）。
2653	kontesti	Korean_Trans	low	style_spacing	이의제기하다,부인하다	이의제기하다, 부인하다	読点後スペース欠落による可読性低下（意味は保持）。
2722	pa/ĉjo	Korean_Trans	low	style_spacing	아빠,아버지애칭	아빠, 아버지애칭	読点後スペース欠落による可読性低下（意味は保持）。
2791	riverenci	Korean_Trans	low	style_spacing	절하다,경의를표하다	절하다, 경의를표하다	読点後スペース欠落による可読性低下（意味は保持）。
2796	sarki	Korean_Trans	low	style_spacing	잡초를뽑다,제초하다	잡초를뽑다, 제초하다	読点後スペース欠落による可読性低下（意味は保持）。
987	ligno	Japanese_Trans	low	style_redundant_gloss	{Ｂ}木（木材）, 木材, 材木; 【植】木質	{Ｂ}木（木材）, 材木; 【植】木質	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1298	persono	Japanese_Trans	low	style_redundant_gloss	{Ｂ}人（個人）, 個人, 人物; 【劇】登場人物; 【Ｇ】人称	{Ｂ}人（個人）, 人物; 【劇】登場人物; 【Ｇ】人称	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1479	respekti	Japanese_Trans	low	style_redundant_gloss	{Ｂ}［他］尊敬する（敬う）, 敬う; 尊重する, 遵守する	{Ｂ}［他］尊敬する（敬う）; 尊重する, 遵守する	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1521	rompi	Japanese_Trans	low	style_redundant_gloss	{Ｂ}［他］破壊する（壊す）, 壊す, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	{Ｂ}［他］破壊する（壊す）, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1719	temo	Japanese_Trans	low	style_redundant_gloss	{Ｂ}主題（テーマ）, テーマ, 題目, 論題, 話題; 【楽】主題, 主旋律	{Ｂ}主題（テーマ）, 題目, 論題, 話題; 【楽】主題, 主旋律	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1803	tuta	Japanese_Trans	low	style_redundant_gloss	{Ｂ}全部の（全体の）, 全体の, すべての	{Ｂ}全部の（全体の）, すべての	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1860	viando	Japanese_Trans	low	style_redundant_gloss	{Ｂ}【料】肉（食肉）, 食肉, >>karno	{Ｂ}【料】肉（食肉）, >>karno	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
1953	ŝanceli	Japanese_Trans	low	style_redundant_gloss	{Ｂ}［他］揺さぶる（ぐらつかせる）, ぐらつかせる; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす	{Ｂ}［他］揺さぶる（ぐらつかせる）; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2148	integra	Japanese_Trans	low	style_redundant_gloss	{Ｂ}全部の（完全な）, 完全な, 欠けたところのない; 不可分の, 不可欠の	{Ｂ}全部の（完全な）, 欠けたところのない; 不可分の, 不可欠の	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2308	respektiva	Japanese_Trans	low	style_redundant_gloss	{Ｏ}それぞれの（各自の）, 各自の	{Ｏ}それぞれの（各自の）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2441	aleo	Japanese_Trans	low	style_redundant_gloss	{Ｂ}並木道（散歩道）, 散歩道	{Ｂ}並木道（散歩道）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2534	eskapi	Japanese_Trans	low	style_redundant_gloss	{Ｂ}［自］逃げる（脱出する）, 脱出する	{Ｂ}［自］逃げる（脱出する）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2685	majesta	Japanese_Trans	low	style_redundant_gloss	{Ｂ}荘厳な（威厳のある）, 威厳のある	{Ｂ}荘厳な（威厳のある）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2715	opozicii	Japanese_Trans	low	style_redundant_gloss	{Ｂ}［自］反対する（対立する）, 対立する	{Ｂ}［自］反対する（対立する）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2779	reklami	Japanese_Trans	low	style_redundant_gloss	{Ｂ}［自］宣伝する（広告する）, 広告する	{Ｂ}［自］宣伝する（広告する）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
2809	situo	Japanese_Trans	low	style_redundant_gloss	{Ｂ}位置（立地）, 立地	{Ｂ}位置（立地）	括弧内補足語と直後語が重複（意味差なし、簡素化候補）。
