row	esperanto	flags	Japanese_Trans
21	-op-	ja_contains_arrow_tilde	{Ｂ}［接尾辞］（集合を示す）, >>〜e
30	Atlantiko	ja_contains_eq_tilde	{Ｂ}【地名】大西洋, =〜a Oceano
36	Pacifiko	ja_contains_eq_tilde	{Ｂ}【地名】太平洋, =〜a Oceano
37	abelo	ja_contains_arrow_tilde	{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>〜
38	aboni	ja_contains_arrow_tilde	{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>〜, >>antaŭmendi
39	absoluta	ja_contains_arrow_tilde	{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>〜
41	abunda	ja_contains_arrow_tilde	{Ｂ}有り余るほどの, 豊富な, >>〜
62	ajlo	ja_contains_eq_tilde	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）
69	akiri	ja_contains_arrow_tilde	{Ｂ}［他］手に入れる, 獲得する, 習得する, >>〜
115	apenaŭ	placeholder_space_placeholder|eq_multi_placeholders|ja_contains_eq_tilde	{Ｂ}［副］やっと, かろうじて; ほとんど～ない, =〜 〜 / {Ｂ}［接］～するや否や
152	aĉeti	ja_contains_eq_tilde	{Ｂ}［他］買う, 購入する; =〜（買収する）
158	aŭto	ja_contains_eq_tilde	{Ｂ}自動車, =〜mobilo
161	aŭtomobilo	ja_contains_eq_tilde	{Ｂ}自動車（乗用車）, =〜
173	balono	ja_contains_eq_tilde	{Ｂ}気球; 風船, =〜eto; 【化】球形フラスコ
187	bazaro	ja_contains_arrow_tilde	{Ｂ}市場（いちば）, 市（いち）, マーケット, >>〜
198	besto	ja_contains_arrow_tilde	{Ｂ}（人間を除く）動物, 獣, >>〜
207	birdo	placeholder_space_placeholder	{Ｂ}鳥; 《転》人（例: 〜 〜 変なやつ）
216	bo-	ja_contains_arrow_tilde	{Ｂ}［接頭辞］（姻戚関係を示す）, >>〜patro, >>〜frato
228	brasiko	ja_contains_eq_tilde	{Ｂ}【植】キャベツ, =〜; （キャベツ、ハクサイ、カラシナ、アブラナ、カブなど）アブラナ属の植物の総称
271	cirklo	ja_contains_arrow_tilde	{Ｂ}【数】円周, 円, >>〜
304	deputi	ja_contains_arrow_tilde	{Ｂ}［他］（議員に）選出する, 送り出す, >>〜
326	dis-	ja_contains_arrow_tilde	{Ｂ}［接頭辞］（分離・分散を示す）, >>〜doni, >>〜rompi
328	diskuti	ja_contains_arrow_tilde	{Ｂ}［自］討議する, 議論する, >>debati, >>〜, >>polemiki
330	disputi	ja_contains_arrow_tilde	{Ｂ}［自］口論する, 言い争う, >>〜, >>konflikti
335	diveni	ja_contains_arrow_tilde	{Ｂ}［他］見抜く, 言い当てる, 推察する, >>〜, >>〜; 予知する, 占う
338	do	ja_contains_arrow_tilde	{Ｂ}［接］だから, すると, それでは, そこで, >>sekve, >>〜; ［副］（疑問文を強めて）いったい全体; （命令文を強めて）さあ, ほら / {Ｏ}［文字名］ドー（文字D，dの名称）
344	domo	ja_contains_eq_tilde	{Ｂ}家, 家屋; =〜; 建物, ビル; （貴族の）家系
350	dramo	ja_contains_arrow_tilde	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ
354	dubi	ja_contains_arrow_tilde	{Ｂ}［自・他］疑う, 怪しむ; 危ぶむ, >>〜, ><〜
