row	batch	esperanto	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
56	1-100	afero	scope_zh:9	9	5	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件	일, 사건, 용무, 【법】소송 사건, 【상업】거래
129	101-200	arko	scope_zh:13|scope_ko:13	13	13	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，弧形物，拱形物	활 모양의 곡선, 또는 아치형 구조물
188	101-200	bazo	scope_zh:16|scope_ko:16	16	16	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지
204	201-300	bildo	scope_ko:11	6	11	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유
269	201-300	ciklo	scope_zh:11|scope_ko:12	11	12	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；组诗	주기, 반복되는 순환
327	301-400	disko	scope_zh:8|scope_ko:9	8	9	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	레코드판, 디스크
425	401-500	fadeno	ja_mask:paren	0	1	{Ｂ}糸, 線; 筋, 脈絡（針金は通常、別語（metal〜）を用いる）	线；线索	가늘고 긴 실이나 줄, 비유적으로 연속성
464	401-500	figuro	scope_zh:8|scope_ko:10	8	10	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람이나 물체의 겉모습, 형태
628	601-700	ideo	scope_zh:8|scope_ko:8	8	8	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	생각
642	601-700	imuna	scope_ko:8	6	8	{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある	免疫的；免除某项法律责任的；抗…的，防…的	질병에 대한 면역이 있는
725	701-800	kanalo	scope_zh:8	8	6	{Ｂ}運河, 堀, 水路; 【海】水道; 【通】チャンネル; 【解】管; 《転》伝達手段, 経路	运河；沟渠，水道；海峡	운하, 수로, 【통신】채널, 【해부】관, 경로
797	701-800	kolono	scope_zh:11|scope_ko:11	11	11	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱，栋梁	둥근 기둥, 원주
