row	esperanto	column	before	after	reason
115	apenaŭ	Japanese_Trans	{Ｂ}［副］やっと, かろうじて; ほとんど～ない, =〜 〜 / {Ｂ}［接］～するや否や	{Ｂ}［副］やっと, かろうじて; ほとんど～ない / {Ｂ}［接］～するや否や	reaudit_naturalization_minimal
207	birdo	Japanese_Trans	{Ｂ}鳥; 《転》人（例: 〜 〜 変なやつ）	{Ｂ}鳥; 《転》人（例: 「変なやつ」）	reaudit_naturalization_minimal
611	honti	Japanese_Trans	{Ｂ}［自］恥じる; 恥ずかしがる（〜/〜を）	{Ｂ}［自］恥じる; 恥ずかしがる（対象・原因を伴う）	reaudit_naturalization_minimal
677	intesto	Japanese_Trans	{Ｂ}【解】腸; >>〜 〜, >>maldika 〜	{Ｂ}【解】腸; >>大腸, >>小腸	reaudit_naturalization_minimal
697	ju	Japanese_Trans	{Ｂ}［副］（〜 〜）～すればするほど, >>〜	{Ｂ}［副］（相関表現）「～すればするほど」の前半を作る語	reaudit_naturalization_minimal
793	koleri	Japanese_Trans	{Ｂ}［自］怒る, 腹を立てる（〜/〜）; ［他］まれ	{Ｂ}［自］怒る, 腹を立てる（対象・原因を伴う）; ［他］まれ	reaudit_naturalization_minimal
842	konscii	Japanese_Trans	{Ｂ}［自］意識している, 自覚している（〜/〜で補語を取る）	{Ｂ}［自］意識している, 自覚している（「〜について」または節を補語に取る）	reaudit_naturalization_minimal
1136	nacio	Japanese_Trans	{Ｂ}民族; 国民（全体）; 国民という共同体（統治機構=〜/〜とは別）	{Ｂ}民族; 国民（全体）; 国民という共同体（統治機構としての国家・政府とは別）	reaudit_naturalization_minimal
1441	radio	Japanese_Trans	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】=〜uso; 【機】スポーク; 《転》光明, 輝き / ラジオ放送, =〜fonio; ラジオ放送局, =〜stacio; =>〜aparato（ラジオ受信機）	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	reaudit_naturalization_minimal
2157	k.t.p.	Japanese_Trans	{Ｏ}［略］=〜 〜 〜, ～など	{Ｏ}［略］「…など」（列挙の後に用いる）	reaudit_naturalization_minimal
2296	prunti	Japanese_Trans	{Ｂ}［他］貸し借りする（〜 〜=貸す, 〜 〜=借りる）	{Ｂ}［他］貸し借りする（相手を取れば「貸す」、出所を取れば「借りる」）	reaudit_naturalization_minimal
1398	procento	Chinese_Trans	年息；百分之…	百分比；百分之…；年息，利率	reaudit_naturalization_minimal
