row	esperanto	column	verdict	status	before	after
7	-eg-	Chinese_Trans	optional_low	already_after	表示“大、强烈（增大义）”的后缀	表示“大、强烈（增大义）”的后缀
10	-et-	Chinese_Trans	optional_low	already_after	表示“小、弱（缩小义）”的后缀	表示“小、弱（缩小义）”的后缀
37	abelo	Chinese_Trans	optional_low	already_after	蜜蜂；（泛）小型蜂类	蜜蜂；（泛）小型蜂类
48	admoni	Korean_Trans	optional_low	already_after	타이르다, 권고하다, 훈계하다, 꾸짖다	타이르다, 권고하다, 훈계하다, 꾸짖다
55	afabla	Chinese_Trans	optional_medium	already_after	和蔼的，亲切的；（计算机）用户友好的	和蔼的，亲切的；（计算机）用户友好的
55	afabla	Korean_Trans	optional_medium	already_after	상냥하고 친절한; (정보) 사용자 친화적인	상냥하고 친절한; (정보) 사용자 친화적인
66	akcento	Korean_Trans	optional_low	already_after	강세, 악센트; (전) 강조	강세, 악센트; (전) 강조
73	aktiva	Korean_Trans	optional_low	already_after	활동적인, 적극적인; (문법) 능동의	활동적인, 적극적인; (문법) 능동의
74	akto	Korean_Trans	optional_medium	already_after	연극의 막; (법) 증서, 문서	연극의 막; (법) 증서, 문서
98	amplekso	Korean_Trans	optional_low	already_after	크기, 넓이, 범위	크기, 넓이, 범위
126	aranĝi	Chinese_Trans	optional_medium	already_after	整理，布置；安排；（乐）编曲；（剧）改编	整理，布置；安排；（乐）编曲；（剧）改编
126	aranĝi	Korean_Trans	optional_medium	already_after	정리·배열하다; 준비하다; (음악) 편곡하다; (극) 각색하다	정리·배열하다; 준비하다; (음악) 편곡하다; (극) 각색하다
144	atomo	Chinese_Trans	optional_low	already_after	原子；（哲）原子（不可分实体）；（转）微粒	原子；（哲）原子（不可分实体）；（转）微粒
173	balono	Chinese_Trans	optional_low	already_after	气球；风船；（化）球形烧瓶	气球；风船；（化）球形烧瓶
193	bendo	Korean_Trans	optional_low	already_after	끈·띠·테이프; (통신) 주파수 대역	끈·띠·테이프; (통신) 주파수 대역
204	bildo	Korean_Trans	optional_low	already_after	그림, 영상, 심상, 광경, 비유; (정보) 이미지	그림, 영상, 심상, 광경, 비유; (정보) 이미지
211	bloko	Korean_Trans	optional_low	already_after	덩어리, 블록; 구획, 한 묶음	덩어리, 블록; 구획, 한 묶음
215	bluzo	Korean_Trans	optional_medium	already_after	블라우스; 작업복, 상의(블루종)	블라우스; 작업복, 상의(블루종)
229	brava	Korean_Trans	optional_low	already_after	용감한, 의리 있는, 훌륭한	용감한, 의리 있는, 훌륭한
243	bubo	Korean_Trans	optional_low	already_after	장난꾸러기; (카드) 잭	장난꾸러기; (카드) 잭
260	centro	Korean_Trans	optional_low	already_after	중심, 중앙; (정치) 중도	중심, 중앙; (정치) 중도
277	civila	Korean_Trans	optional_low	already_after	시민의, 민간의; (법) 민사의	시민의, 민간의; (법) 민사의
294	deklari	Korean_Trans	optional_low	already_after	선언하다, 표명하다; (세관) 신고하다	선언하다, 표명하다; (세관) 신고하다
296	dekoracio	Korean_Trans	optional_low	already_after	장식, 꾸밈; (연극) 무대장치, 배경	장식, 꾸밈; (연극) 무대장치, 배경
299	delikata	Korean_Trans	optional_medium	already_after	섬세하고 세련된; 민감한, 연약한, 깨지기 쉬운	섬세하고 세련된; 민감한, 연약한, 깨지기 쉬운
303	deponi	Korean_Trans	optional_low	applied	돈이나 물건을 맡기다	돈·물건을 맡기다, 예금하다; (정보) 데이터를 저장하다
