row	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1	-a	{Ｂ}［形容詞語尾］	[词尾]形容词词尾，表示“……的”“第……”的意思	형용사 어미, '…의'를 나타냄
2	-ant-	{Ｂ}［分詞接尾辞］（能動・継続）	主动现在分词（进行体）	능동 현재 분사 접미사
3	-as	{Ｂ}［動詞語尾］（直説法現在形）	[词尾]直陈式现在时	동사 현재 직설법 어미
4	-at-	{Ｂ}［分詞接尾辞］（受動・継続）	被动现在分词（进行体）	수동 현재분사 접미사
5	-aĉ-	{Ｂ}［接尾辞］（粗悪・下品を示す）, >>dom〜o, >>knab〜o	表示无价值，无用，不好，劣	형편없거나 질 낮음을 나타내는 접미사
6	-e	{Ｂ}［副詞語尾］	[词尾]副词	부사 어미
7	-eg-	{Ｂ}［接尾辞］（強大を示す）, >>arb〜o, >>varm〜a	大	뜻을 매우 크고 강하게 만드는 접미사
8	-end-	{Ｂ}［接尾辞］（必須・受動的義務を示す）, >>far〜a, >>pag〜a	必须被，应该被	수동적 의무, '…되어야 할' 뜻의 접미사
9	-er-	{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajr〜o, >>mon〜o	某物的构成分子	작은 입자·요소를 나타내는 접미사
10	-et-	{Ｂ}［接尾辞］（弱小を示す）, >>lag〜o, >>varm〜a	小	작음·약함을 나타내는 접미사
11	-i	{Ｂ}［動詞語尾］（不定法を示す）	[词尾]动词不定式	동사 원형 어미
12	-ing-	{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandel〜o, >>glav〜o	表示插物的器具	한쪽 끝에 물건을 꽂아 쓰는 도구
13	-int-	{Ｂ}［分詞接尾辞］（能動・完了）	主动过去分词（完成体）	능동 과거분사 접미사
14	-is	{Ｂ}［動詞語尾］（直説法過去形）	[词尾]直陈式过去时	동사의 과거 어미
15	-it-	{Ｂ}［分詞接尾辞］（受動・完了）	被动过去分词（完成体）	수동 완료 분사 접미사
16	-j	{Ｂ}［複数語尾］	[词尾]复数	복수어미
17	-n	{Ｂ}［対格語尾］	[词尾]宾格	대격 어미
18	-nj-	{Ｂ}［接尾辞］（女子の愛称を示す）, >>pa〜o	构成对女子的爱称	여성 이름에 붙는 애칭 접미사
19	-o	{Ｂ}［名詞語尾］	[词尾]名词	명사 어미
20	-ont-	{Ｂ}［分詞接尾辞］（能動・将然）	主动将来分词（表将要）	능동태 미래분사 접미사
21	-op-	{Ｂ}［接尾辞］（集合を示す）, >>〜e	构成集合数	접미:여럿이함께함
22	-os	{Ｂ}［動詞語尾］（未来形）	[词尾]直陈式将来时	동사 미래시제 어미
23	-ot-	{Ｂ}［分詞接尾辞］受動・将然	被动将来分词（表将要）	수동·미래 분사
24	-u	{Ｂ}［動詞語尾］（意志法を示す）	[词尾]动词命令式	동사 명령·의지법 어미
25	-um-	{Ｂ}［接尾辞］（特定の意味を持たない）, >>gust〜i, >>man〜o	（含义不定）	관습적으로 쓰이는 다의적 접미사
26	-us	{Ｂ}［動詞語尾］（条件法を示す）	[词尾]动词虚拟式	동사의 조건법 어미
27	-ĉj-	{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vil〜o, >>pa〜o	构成对男子的爱称	남자 이름·호칭에 붙는 애칭 접미사
28	Afriko	{Ｂ}【地名】アフリカ	非洲	아프리카 대륙
29	Ameriko	{Ｂ}【地名】アメリカ（大陸）	美洲	아메리카 대륙
30	Atlantiko	{Ｂ}【地名】大西洋, =〜a Oceano	大西洋	대서양
31	Azio	{Ｂ}【地名】アジア	亚洲	아시아 대륙
32	Aŭstralio	{Ｂ}【国名】オーストラリア（大洋州）	澳大利亚	오스트레일리아, 호주
33	Esperanto	{Ｂ}エスペラント（1887年ザメンホフが発表した国際語）	世界语	중립적 국제어, 인공 언어
34	Eŭropo	{Ｂ}【地名】ヨーロッパ	欧洲	유럽
35	Mediteraneo	{Ｂ}【地名】地中海（ヨーロッパ南）	地中海	지중해
36	Pacifiko	{Ｂ}【地名】太平洋, =〜a Oceano	太平洋	태평양
37	abelo	{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>〜	蜜蜂属昆虫	꿀벌, 작은 벌
38	aboni	{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>〜, >>antaŭmendi	预付订阅，定期预订	정기구독하다
39	absoluta	{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>〜	绝对的，无条件的，完全的	절대적인, 무조건의, 완전한 상태
40	absurda	{Ｂ}非常識な, 不合理な; ばかげた, ばかばかしい; 【哲】不条理な	荒谬，不合逻辑	터무니없는
41	abunda	{Ｂ}有り余るほどの, 豊富な, >>〜	大量，极其丰富	풍부한, 아주 많은
42	adapti	{Ｂ}［他］適合させる, 適応させる, 合わせる; （劇や映画用に）脚色する	适应，配（合），改编；装配	적응시키다, 맞추다
43	adiaŭ	{Ｂ}［間］さようなら	再见，告别	안녕히 계세요, 작별
44	adicii	{Ｂ}［他］【数】加える, 足し算する, >>aldoni	[数学]加	수학에서 수를 더하다
45	adjektivo	{Ｂ}【Ｇ】形容詞	形容词	형용사
