row	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
401	epoko	{Ｂ}時代; 【地質】世, >>〜（紀）, >>erao（代）, >>〜（期）	纪元，时代	역사에서 구분되는 일정한 시대
402	erari	{Ｂ}［自］誤る, 間違う; 道に迷う	迷路；犯错误，犯过失	틀리다, 잘못하다
403	escepti	{Ｂ}［他］除外する, 例外とする, >>ekskludi	排除，除外	제외하다
404	esenco	{Ｂ}本質, 真髄, 核心; 【化】エッセンス, 精油; 【哲】実在, >>noumeno	本质，核心；（化）香精，精油	본질, 핵심; (화학) 에센스, 정유
405	esperi	{Ｂ}［自・他］希望する, 期待する, >>〜, >>〜	希望，期望	희망하다, 기대하다
406	esplori	{Ｂ}［他］探検する, 踏査する; 調査する, 探究する, 研究する; 【医】診査する, （精密）検査する; 【法】審理する	探索；调查；研究	상세히 조사하거나 탐구하다
407	esprimi	{Ｂ}［他］表現する, 示す, 言い表す, >>eldiri	表示，表现，表达	생각이나 감정을 드러내다
408	establi	{Ｂ}［他］設置する, 開設する, 創立する, 確立する, 制定する	设立	설립하다, 창립하다
409	esti	{Ｂ}［自］（～）である; いる, 存在する	存在；是	존재하다, …이다
410	estimi	{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>〜, >>〜	尊重，敬重，敬仰	존경하고 높이 평가하다
411	estingi	{Ｂ}［他］（火や明かりを）消す; 《転》消す, 消滅させる	扑灭，熄灭	불이나 빛을 끄다
412	etaĝo	{Ｂ}階（欧州と日米で数え方が異なる）, >>ter〜, >>unua 〜, >>dua 〜	楼层	건물의 층
413	etendi	{Ｂ}［他］伸ばす; （手を伸ばして）差し出す; （金属を）延ばす; 広げる, 拡張する	伸展；铺开	곧게 펴서 길게 늘이다, 뻗치다
414	eterna	{Ｂ}永遠の, 永久の, 不朽の, 不滅の	永恒，无穷	영원한
415	evento	{Ｂ}行事, 催し, イベント; （重大な）出来事, 大事件	活动，事件	사건, 일어난 일
416	evidenta	{Ｂ}明白な, 自明の	明显，显然的	명백한
417	eviti	{Ｂ}［他］避ける, 回避する	避开，避免	피하다
418	evolui	{Ｂ}［自］進化する, 発展する; 進展する, 変遷する	进化，演化；发展	점차 변화하며 발전하다
419	eĉ	{Ｂ}［副］さえ	甚至，就连…还	심지어, 조차
420	eĥo	{Ｂ}反響, こだま; 【通】エコー; 《転》おうむがえし	回声，反响；回波	메아리, 반향
421	fabelo	{Ｂ}童話, おとぎ話; 《転》作り話	童话	동화, 옛이야기
422	fabo	{Ｂ}【植】ソラマメ（空豆）; 《般》豆（まめ）	蚕豆，蚕豆粒；豆，菜豆	잠두, 누에콩
423	fabriko	{Ｂ}工場, 製造所, 製作所	制造厂，工厂	물건을 만드는 공장
424	facila	{Ｂ}容易な, 簡単な; 軽やかな	容易，简单，轻松（不费劲的）	쉽고 간단한
