row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
502	forĝi	optional_low	Korean_Trans	쇠를 두들겨 단련·단조하다; (비유) 단련하여 형성하다	KOが金属の鍛造義に偏り、比喩の「鍛え上げる」義が弱い。	scope_ko:7	0	7	{Ｂ}［他］鍛える, 鍛造する; 《転》鍛錬する, 鍛え上げる	锻打，锻造	쇠를 두들겨 모양을 만들다
508	frapi	optional_medium	Chinese_Trans|Korean_Trans	敲打，拍打；（门等）敲击；（转）使吃惊，给人强烈印象 / 때리다, 두드리다; (문 등을) 두드리다; (비유) 강한 인상을 주다	ZH/KOとも打撃義中心で、転義（驚かす・強い印象）が弱い。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［他］たたく, 打つ; たたいて音を出す; はっとさせる, 驚かす	敲打，拍打	세게 치거나 두드려 충격 주다
512	fremda	optional_medium	Korean_Trans	외국의; 낯선, 생소한; 무관한	KOが「外国の」に寄り、JA/ZHにある「見知らぬ・無関係」の幅が欠落。	scope_ko:8	0	8	{Ｂ}異国の, 他国の; 見知らぬ, 見慣れない; 無縁の, よそ事の	外国的；陌生	외국의
519	fronto	optional_medium	Korean_Trans	정면, 전면; (군사·기상) 전선	JA/ZHにある前線（軍事・気象）義がKOで抜ける。	scope_ko:8	0	8	{Ｂ}正面, 前面; 【軍】最前線; 戦線; 【気】前線	前线；阵线；前面，正面	정면, 앞부분
522	frukto	keep	-	-	既にZH/KOとも核心義＋転義を保持しており十分。	balanced	2	2	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果；（转）成果	과일, 열매; (비유) 성과
524	fulmo	optional_low	Chinese_Trans|Korean_Trans	闪电，雷光；（转）灵感的闪现 / 번개, 섬광; (비유) 번뜩이는 영감	ZH/KOとも成立しているが、JAの転義を最小補完すると整合が上がる。	scope_zh:6|scope_ko:6	6	6	{Ｂ}【気】雷（かみなり）; 稲妻, 雷光; 《転》ひらめき	闪电	번개
525	fumo	optional_low	Chinese_Trans|Korean_Trans	烟，烟雾；蒸汽；（转）虚幻、转瞬即逝之物 / 연기, 연무; 수증기; (비유) 덧없는 것	ZH/KOが「煙」中心で、蒸気・転義の語義幅が薄い。	scope_zh:6|scope_ko:6	6	6	{Ｂ}煙, 湯気; 《転》（煙のように）はかないもの	烟	연기
527	fundo	optional_low	Korean_Trans	바닥, 밑바닥; 깊은 곳; (비유) 근저, 배경	KOは核心義はあるが、JAにある背景・根底の意味を補う余地がある。	scope_ko:6	0	6	{Ｂ}底; 奥; 背景; 《転》どん底	底，深处，底部	밑바닥, 가장 깊은 곳
528	funebro	optional_low	Korean_Trans	죽음을 애도함, 비탄; 상(喪), 상중	KOが悲嘆中心で、喪（服喪）の語義が薄い。	scope_ko:6	0	6	{Ｂ}死別の悲しみ, 哀悼; 喪, 喪服, 喪章, 喪中	哀悼；丧，服丧	죽음을 애도하는 슬픔
530	funkcio	optional_medium	Korean_Trans	직무, 기능, 역할; (수학·정보) 함수	KOが機能義中心で、職務義と数学/情報の関数義が不足。	scope_ko:8	0	8	{Ｂ}職務, 役目; 機能, 作用; 【数】関数; 【情】関数	职能，职务；作用，功能；函数	기능이나 역할
536	ganto	optional_low	Korean_Trans	손가락이 나뉜 장갑; (운동) 글러브	KO表記を最小整形し、JAにある運動義を軽く補完。	style_ko:5|scope_ko:5	0	5	{Ｂ}手袋; 【運】（野球の）グローブ	（分指的）手套	손가락끼우는장갑
539	gaso	keep	-	-	ZH/KOとも化学・軍事義まで保持しており十分。	balanced	2	2	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス	气体，可燃气；胃气；毒气	가스, 기체 연료; (화학) 기체; (군사) 독가스
543	generacio	optional_medium	Korean_Trans	세대, 동세대 사람들; (생물) 세대	KOが「同時代の人々」に寄り、世代概念の汎用性が弱い。	scope_ko:8	0	8	{Ｂ}世代, 同時代の人々; 【生】世代	代，世代，一代人	동시대의 사람들
544	genio	optional_low	Korean_Trans	천재, 천부적 재능; (신화) 수호신	KOは天才義のみで、JA/ZHにある神話義が欠落。	scope_ko:6	0	6	{Ｂ}天才, 天分; 【神】守護神	守护神；天才，天资	천재
551	glata	optional_low	Korean_Trans	매끄러운, 평탄한; (태도·말씨) 원만한	KOの字義は適切だが、転義を最小補完できる。	scope_ko:5	0	5	{Ｂ}なめらかな, すべすべした; 《転》平らな; 《転》人当たりのよい	平滑；平坦；流畅	매끄러운, 평탄한
553	gliti	optional_low	Chinese_Trans|Korean_Trans	滑动，滑行；溜冰；（转）悄然溜入/进展 / 미끄러지다, 활주하다; (비유) 슬며시 스며들다	ZH/KOが物理的滑走に寄り、JAの転義が弱い。	scope_zh:6|scope_ko:6	6	6	{Ｂ}［自］滑る, 滑走する, つるりと滑る; 《転》忍び込む, ひそかに進行する	滑；溜冰	미끄러지다
557	gorĝo	optional_medium	Chinese_Trans|Korean_Trans	喉咙，咽喉；（地理）峡谷，隘口 / 목구멍, 인후; (지리) 협곡, 좁은 해협 입구	JAの地理義（峡谷・狭い湾口）がZH/KOで欠落。	scope_zh:8|scope_ko:8	8	8	{Ｂ}のど, のど首; 【解】咽喉（いんこう）; 《転》峡谷, 山間の狭い道, 狭い湾口	喉，咽喉	목구멍, 인후
559	grado	keep	-	-	ZH/KOとも単位・数学・法まで保持しており十分。	balanced	1	1	{Ｂ}程度, 等級, 段階; 【単】（角度・温度などの）度; 【数】次数; 【法】親等	程度，等级；（角度/温度的）度；（数）次数；（法）亲等	정도, 등급, 단계；（각도/온도） 도；（수학） 차수；（법） 친등
565	graso	optional_low	Chinese_Trans|Korean_Trans	脂肪；油脂；（机）润滑脂 / 지방, 유지(油脂); (기계) 그리스	ZH/KOが脂肪義中心で、油脂・機械義を補う余地がある。	scope_zh:6|scope_ko:6	6	6	{Ｂ}脂肪; 油脂; 【機】グリース	脂肪	지방
566	grati	optional_low	Korean_Trans	긁다, 할퀴다; (표면을) 긁어내다	KOが「傷つける」側に寄っており、一般的な掻く/削る義を補える。	scope_ko:6	0	6	{Ｂ}［他］ひっかく, かき削る; かく, >>〜	抓，抓破，抓伤；挠，搔	손톱으로 긁어 상처를 내다
569	graveda	optional_low	Korean_Trans	임신한; (비유) …을 잉태한, …로 가득 찬	KOで比喩義（はらんだ）が省略されている。	scope_ko:6	0	6	{Ｂ}妊娠した; 《転》はらんだ	怀孕的，妊娠的；孕育着…的，充满…的	임신한
572	griza	optional_low	Korean_Trans	회색의; 백발이 섞인; (비유) 음울한	KOが色彩義のみで、JA/ZHの転義を補完可能。	scope_ko:6	0	6	{Ｂ}灰色の, ねずみ色の; 白髪まじりの; どんよりした, 陰気な	灰色，花白	회색의
