row	esperanto	column	verdict	status	before	after
502	forĝi	Korean_Trans	optional_low	applied	쇠를 두들겨 모양을 만들다	쇠를 두들겨 단련·단조하다; (비유) 단련하여 형성하다
508	frapi	Chinese_Trans	optional_medium	applied	敲打，拍打	敲打，拍打；（门等）敲击；（转）使吃惊，给人强烈印象
508	frapi	Korean_Trans	optional_medium	applied	세게 치거나 두드려 충격 주다	때리다, 두드리다; (문 등을) 두드리다; (비유) 강한 인상을 주다
512	fremda	Korean_Trans	optional_medium	applied	외국의	외국의; 낯선, 생소한; 무관한
519	fronto	Korean_Trans	optional_medium	applied	정면, 앞부분	정면, 전면; (군사·기상) 전선
524	fulmo	Chinese_Trans	optional_low	applied	闪电	闪电，雷光；（转）灵感的闪现
524	fulmo	Korean_Trans	optional_low	applied	번개	번개, 섬광; (비유) 번뜩이는 영감
525	fumo	Chinese_Trans	optional_low	applied	烟	烟，烟雾；蒸汽；（转）虚幻、转瞬即逝之物
525	fumo	Korean_Trans	optional_low	applied	연기	연기, 연무; 수증기; (비유) 덧없는 것
527	fundo	Korean_Trans	optional_low	applied	밑바닥, 가장 깊은 곳	바닥, 밑바닥; 깊은 곳; (비유) 근저, 배경
528	funebro	Korean_Trans	optional_low	applied	죽음을 애도하는 슬픔	죽음을 애도함, 비탄; 상(喪), 상중
530	funkcio	Korean_Trans	optional_medium	applied	기능이나 역할	직무, 기능, 역할; (수학·정보) 함수
536	ganto	Korean_Trans	optional_low	applied	손가락끼우는장갑	손가락이 나뉜 장갑; (운동) 글러브
543	generacio	Korean_Trans	optional_medium	applied	동시대의 사람들	세대, 동세대 사람들; (생물) 세대
544	genio	Korean_Trans	optional_low	applied	천재	천재, 천부적 재능; (신화) 수호신
551	glata	Korean_Trans	optional_low	applied	매끄러운, 평탄한	매끄러운, 평탄한; (태도·말씨) 원만한
553	gliti	Chinese_Trans	optional_low	applied	滑；溜冰	滑动，滑行；溜冰；（转）悄然溜入/进展
553	gliti	Korean_Trans	optional_low	applied	미끄러지다	미끄러지다, 활주하다; (비유) 슬며시 스며들다
557	gorĝo	Chinese_Trans	optional_medium	applied	喉，咽喉	喉咙，咽喉；（地理）峡谷，隘口
557	gorĝo	Korean_Trans	optional_medium	applied	목구멍, 인후	목구멍, 인후; (지리) 협곡, 좁은 해협 입구
565	graso	Chinese_Trans	optional_low	applied	脂肪	脂肪；油脂；（机）润滑脂
565	graso	Korean_Trans	optional_low	applied	지방	지방, 유지(油脂); (기계) 그리스
566	grati	Korean_Trans	optional_low	applied	손톱으로 긁어 상처를 내다	긁다, 할퀴다; (표면을) 긁어내다
569	graveda	Korean_Trans	optional_low	applied	임신한	임신한; (비유) …을 잉태한, …로 가득 찬
572	griza	Korean_Trans	optional_low	applied	회색의	회색의; 백발이 섞인; (비유) 음울한
573	grumbli	Korean_Trans	optional_low	applied	작게투덜거리며불평하다	작게 투덜거리며 불평하다
580	gvidi	Korean_Trans	optional_low	applied	길을 안내하다	인도하다, 안내하다; 이끌다, 지도하다
581	haki	Chinese_Trans	optional_low	applied	砍	砍，劈，剁；（转）把话说得支离破碎
581	haki	Korean_Trans	optional_low	applied	도끼로 찍어 베다	도끼로 찍어 베다; 잘게 썰다; (비유) 거칠게 끊다
584	harmonio	Chinese_Trans	optional_medium	applied	谐音，和音；和谐，融洽	和声，和谐；融洽
586	haveno	Chinese_Trans	optional_low	applied	港口	港口，港湾；（转）避难所
586	haveno	Korean_Trans	optional_low	applied	항구	항구, 항만; (비유) 피난처
588	hazardo	Korean_Trans	optional_low	applied	우연한 일	우연, 뜻밖의 일; 운
589	haŭto	Chinese_Trans	optional_low	applied	皮，皮肤	皮，皮肤；外皮（果皮等）；（转）薄膜状外层
589	haŭto	Korean_Trans	optional_low	applied	사람이나 동물의 피부, 살갗	피부, 살갗; (사물·과일의) 껍질; (비유) 피막
590	hejmo	Chinese_Trans	optional_low	applied	家	家，家庭；（机构）收容之家；（转）归属之地
590	hejmo	Korean_Trans	optional_low	applied	집, 가정	집, 가정; (시설) 수용·보호 시설; (비유) 귀속처
597	heredi	Korean_Trans	optional_medium	applied	재산이나 권리를 상속받다	상속하다, 물려받다; (유전 형질을) 물려받다
