row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
605	historio	scope_ko:6	{Ｂ}歴史; 歴史学; 沿革, 来歴; 画期的な事件; 物語, 話	历史；故事	역사, 지나온 과정	0	6
606	hodiaŭ	scope_zh:6|scope_ko:6	{Ｂ}［副］きょう; 今日（こんにち）では	今天	오늘	6	6
609	honesta	scope_zh:6|scope_ko:6	{Ｂ}正直な, 誠実な, 実直な; 公正な, 正当な, まともな, いつわりのない	正直，诚实	정직하고 성실한	6	6
610	honoro	scope_ko:5	{Ｂ}名誉, 面目; 栄誉, 光栄; 敬意, 尊敬	尊敬，荣誉	명예, 영예	0	5
613	horizonto	scope_ko:8	{Ｂ}地平線, 水平線; 《転》（思考・知識などの）視界, 範囲; 【地質】層準; 土壌の層位	地平线，水平线；眼界，见识	지평선, 수평선	0	8
618	humana	word_choice_zh:8	{Ｂ}人間的な, 人情味のある, 人道的な	人道，仁爱，仁慈	인간적이고 인도적인	8	0
620	humila	word_choice_zh:9	{Ｂ}謙虚な, 控えめな; 卑下した	自卑，谦逊	겸손한, 겸허한	9	0
621	humoro	balanced	{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモアを表す別語とは区別）	性情，情绪，气质	사람의 기분이나 감정 상태, 성격적 기질	1	1
632	ignori	balanced	{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>〜	不理，无视，漠视	일부러 무시하다	1	1
634	ilustri	scope_zh:8	{Ｂ}［他］挿絵を入れる, 図解する; （例をあげて）説明する	插图，以图装饰	책 등에 그림을 넣어 설명하다	8	0
638	impliki	balanced	{Ｂ}［他］もつれさせる, 絡めとる; 込み入らせる, 混乱させる; （事件に）巻き込む	缠住，使卷入，使陷入；制造困难	복잡한 일에 얽히게 하다, 연루시키다	1	1
641	impreso	scope_ko:6	{Ｂ}印象, 感銘; 感じ, 心地; 【写】感光	印象；感光	인상, 감명	0	6
642	imuna	scope_ko:8	{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある	免疫的；免除某项法律责任的；抗…的，防…的	질병에 대한 면역이 있는	0	8
644	indiferenta	word_choice_zh:6	{Ｂ}どうでもいい, 重要でない; 無関心な, 平然とした	引不起兴趣的；冷漠	무관심하고 아무래도 좋은	6	0
647	individuo	scope_ko:5	{Ｂ}個人, 個; 【生】個体	个体，个人	개인	0	5
648	indulgi	balanced	{Ｂ}［他］容赦する, 大目に見る; 寛大に扱う, いたわる; 助命する	宽恕，纵容；不得罪，体谅	관대하게 용서하다, 너그럽게 봐주다	1	1
651	infekti	scope_zh:5|scope_ko:5	{Ｂ}［他］（人に）感染させる, 病気をうつす, >>kontaĝi; 《転》感化する	传染；感染	병을 옮기다, 감염시키다	5	5
656	injekti	scope_zh:8|scope_ko:8	{Ｂ}［他］【医】注射する; 【機】注入する	注射	주사하다	8	8
660	insigno	scope_zh:8|scope_ko:8	{Ｂ}記章, バッジ; （～oj）（都市・家などの）紋章	徽章	휘장	8	8
662	inspiri	balanced	{Ｂ}［他］（思想・感情を）吹き込む, 鼓吹する, 抱かせる; 霊感を与える	引起，激起，唤起；使获得灵感	영감이나 감정을 불러일으키다	1	1
663	instali	scope_zh:8|scope_ko:8	{Ｂ}［他］（物を）据え付ける, 備え付ける; （場所を）設備を整える; （人を）就任させる, 任命する; 【情】インストールする	设置，安装，建立	기계나 설비를 제자리에 설치하다	8	8
665	instinkto	scope_zh:5|scope_ko:5	{Ｂ}本能; 直観	本能，生性，天性	본능	5	5
667	instrumento	scope_zh:8|scope_ko:8	{Ｂ}器具, 器械, 道具; 楽器; 手段; 【法】法律文書	用具，仪器	작업이나 연주에 쓰는 도구, 기구	8	8
668	insulo	scope_zh:5|scope_ko:5	{Ｂ}島; 《転》離れ島	岛	섬	5	5
673	inter	style_ko:6	{Ｂ}［前］～の間に, ～の間で; ～の中にまじって	在…之间	둘이나 여럿 사이의 관계	0	6
674	interesi	scope_zh:8|scope_ko:8	{Ｂ}［他］興味をひく, 関心を持たせる; 関係させる, 利害関係がある	使发生兴趣	흥미를 일으키게 하다, 관심을 갖게 하다	8	8
675	interna	scope_zh:6|scope_ko:6	{Ｂ}内部の, 内側の; 国内の; 内心の, 精神的な	内部，内在	안의, 내부의	6	6
676	interpreti	scope_zh:8|scope_ko:8	{Ｂ}［他］通訳する; 解釈する, 解明する; （演奏・演劇で）自己の解釈に基づいて演じる	口译；说明，解释	해석하다	8	8
678	intima	scope_ko:6	{Ｂ}親密な, 親しい, 内輪の; 私的な, 内に秘めた, 心の中の	内心，内在；亲密，亲切	매우 친밀하고 가까운	0	6
679	inundi	scope_zh:5|scope_ko:5	{Ｂ}［他］氾濫する, 水浸しにする; 《転》あふれる	泛滥，淹没	물이 넘쳐 땅이나 건물을 잠기게 하다	5	5
685	iri	balanced	{Ｂ}［自］行く, 行き着く, 向かう; （物事が）運ぶ; （機械が）動く	去，走	가다, 이동하다	1	1
688	izoli	scope_ko:8	{Ｂ}［他］孤立させる, 切り離す, 隔離する; 【電】絶縁する; 【化】単離する	隔离，使孤立；使绝缘；隔绝	떼어놓다, 격리·고립시키다	0	8
689	ja	style_ko:5	{Ｂ}［副］実に, まったく, まさに	确实；诚然	정말그렇다	0	5
694	je	balanced	{Ｂ}［前］（時刻を示す場合や，他に適当な前置詞がない場合に用いる）	通用介词	통용 전치사, 특히 시각 표현에 씀	1	1
695	jen	word_choice_zh:9	{Ｂ}［副］（相手の注意を引いて）そらここに, ほらそこに	（用以引起注意）[〜…〜…]一会儿…，一会儿…	상대의 시선을 끌 때 쓰는 감탄사	9	0
