row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
701	701-800	junio	{Ｂ}６月	六月	6월
702	701-800	jupo	{Ｂ}【服】スカート	裙	치마
703	701-800	juro	{Ｂ}【法】法, 法律	法，法规，法律；法学	법, 법률
704	701-800	justa	{Ｂ}公正な, 正義の; 正当な, 合法的な	公正，公平，正直	공정한
705	701-800	juvelo	{Ｂ}（宝石貴金属の）装身具, アクセサリー, 宝飾品; 《転》貴重品, 至宝	珍宝，首饰	보석으로 된 장신구, 귀중한 장식물
706	701-800	juĝi	{Ｂ}［他］裁判する, 裁く; 判断する, 判定する; 審判する	审判；判断，评价	재판하거나 옳고 그름을 판단하다
707	701-800	kabano	{Ｂ}小屋, 掘立て小屋, あばら屋	简陋小屋，茅屋，草棚	허름한 오두막집
708	701-800	kabineto	{Ｂ}【政】内閣; 書斎, 事務室, 診察室; （収集品の）陳列室	书房，研究室；内阁	정부의최고행정기관내각
709	701-800	kadro	{Ｂ}枠, 額縁; 環境, 場所; 枠組, 範囲; 【政】幹部 / 【情】フレーム（ウェブページの表現技法の一）	边框，环境，范围；干部；（计）框架	둘러싸는 틀, 테두리；간부；（IT） 프레임
710	701-800	kaduka	{Ｂ}老朽の, 荒廃した; 老衰した, 老いぼれた; 消えていく, はかない; 【法】（期限切れで）無効の, 失効した	破旧，破败；衰老；不稳定，不可靠；失效，无效	노후하여 몹시 낡고 쇠약한 상태
711	701-800	kafo	{Ｂ}【料】コーヒー; コーヒー豆, =kafgrajno	咖啡	커피
712	701-800	kaj	{Ｂ}［接］～と～; そして	和	그리고, 또, 〜와
713	701-800	kajero	{Ｂ}ノート, 帳面; （本の）分冊	笔记本，练习本	공책, 노트
714	701-800	kajo	{Ｂ}【海】岸壁, 波止場; 河岸（かし）, 荷揚げ場; 【鉄】プラットホーム	码头，站台，月台	부두
715	701-800	kaldrono	{Ｂ}かま, 大なべ; 【地理】カルデラ, 釜状陥没	大锅，圆陡的山谷（凹地）	가마솥, 큰 솥
716	701-800	kalendaro	{Ｂ}カレンダー, 暦; 暦法	历法；日历，月历，月份牌	달력
717	701-800	kalkano	{Ｂ}【解】踵（かかと）	脚后跟，踵	발뒤꿈치
718	701-800	kalkuli	{Ｂ}［他］計算する; 数える; 見なす	数数，计算；算作	수를 세거나 계산하다
719	701-800	kalsono	{Ｂ}【服】パンツ, トランクス（下着）	内裤，衬裤	속옷 팬티
720	701-800	kalumnii	{Ｂ}［他］中傷する, 誹謗（ひぼう）する, 名誉を毀損（きそん）する	污蔑，诽谤	근거없이남을중상·비방하다
721	701-800	kamarado	{Ｂ}仲間, 同僚; （呼びかけで）同志	同伴，伙伴；同志（称呼）	동무, 친구
722	701-800	kameno	{Ｂ}暖炉	壁炉，炉灶	벽난로
723	701-800	kamiono	{Ｂ}（主に大型）トラック, 貨物自動車, =ŝarĝaŭto	卡车	대형 트럭, 화물차
724	701-800	kampo	{Ｂ}野原, 田畑; 場, 分野, 範囲; 【理】場; 【情】フィールド	田地，场地；领域，范围；（理）场	밭, 들판
725	701-800	kanalo	{Ｂ}運河, 堀, 水路; 【海】水道; 【通】チャンネル; 【解】管; 《転》伝達手段, 経路	运河；沟渠，水道；海峡	운하, 수로, 【통신】채널, 【해부】관, 경로
726	701-800	kandelo	{Ｂ}ろうそく; 【理】カンデラ（光度の単位，cd）	烛，蜡烛	양초, 촛불
727	701-800	kandidato	{Ｂ}候補者, 志願者, （入試の）出願者	候选人，候补者，投考者	후보자, 지원자
728	701-800	kanti	{Ｂ}［他］歌う; （鳥が）さえずる; 《転》心地よい音を奏でる; （詩や歌で）褒めたたえる	唱	노래하다
729	701-800	kanzono	{Ｂ}歌, 歌謡曲, ポピュラーソング; 【文】カンツォーネ	歌曲；香颂（法式歌曲）；歌谣	노래, 가요
730	701-800	kapabla	{Ｂ}有能な, 能力のある, ～できる	有能力的，能够…的	능력 있는, 할 수 있는
731	701-800	kapitalo	{Ｂ}【経】資本; 資本金, 資金; 《転》資本, 元手	资产，资金，资本	자본, 사업이나 투자에 쓰는 돈
732	701-800	kapo	{Ｂ}頭, 首, 頭部; 頭脳; 一人, 一頭; 《転》頂上部, 先端, 先頭; 指導者	头，头部	머리, 두뇌, 선두, 지도자
733	701-800	kapro	{Ｂ}【動】ヤギ（山羊）	山羊属动物	염소
734	701-800	kapti	{Ｂ}［他］つかまえる, 捕らえる; つかむ, 把握する; とりこにする	捉，抓住	잡다, 붙잡다
735	701-800	kara	{Ｂ}親愛な, いとしい; 大切な; 高価な, （値段が）高い	亲爱的，珍贵，昂贵	사랑하는, 소중한
736	701-800	karaktero	{Ｂ}性質, 性格, 個性, 特徴; 風格, 気骨; 【生】形質; 【心】性格	性质，特征；性格	성격, 성질, 개성
737	701-800	karbo	{Ｂ}炭, 石炭, 木炭	煤，炭，木炭	석탄, 숯
738	701-800	karesi	{Ｂ}［他］愛撫する, やさしくなでる, そっと触れる; 慰める, 喜ばせる; 好意を示す	爱抚，抚摩	부드럽게 쓰다듬다, 애무하다
739	701-800	karno	{Ｂ}肉, 肉体, >>〜; 【植】果肉	肉，肉体，果肉	살, 육체
740	701-800	karoto	{Ｂ}【植】ニンジン（人参）	胡萝卜	당근
741	701-800	karto	{Ｂ}カード, （紙の）札; はがき; （トランプの）札; 【電】基板（地図は別語を用いる）	卡片；证件；纸牌	종이로 된 카드
742	701-800	kartono	{Ｂ}厚紙, 板紙, ボール紙; =muldo〜（紙粘土）	硬纸板，厚纸板；纸板箱/盒	두꺼운 마분지, 판지
743	701-800	kaserolo	{Ｂ}【料】キャセロール, シチュー鍋, ソースパン（柄付きの深い平底鍋）	（长柄平底）蒸锅或炖锅	자루 달린 깊은 냄비
744	701-800	kaso	{Ｂ}金庫; 会計	钱柜，财务处	금고
745	701-800	kastelo	{Ｂ}城, 城郭; 大邸宅, 館（やかた）	小城堡，别墅	성, 성곽
746	701-800	katalogo	{Ｂ}カタログ, 目録 / 【情】ディレクトリ・リスト	目录；（计）目录列表	목록；（컴퓨터） 디렉터리
747	701-800	kataro	{Ｂ}【病】カタル	黏膜炎	점막염
748	701-800	kategorio	{Ｂ}部類, 部門, 種類, 等級; 【哲】カテゴリー, 範疇（はんちゅう）	种类，类别；范畴	종류나 범주로 나눈 부류
749	701-800	kateno	{Ｂ}手鎖, 足鎖, 手かせ, 足かせ; 《転》束縛, 拘束（するもの）	镣铐，锁链，枷锁；束缚	죄수를 묶는 쇠사슬, 족쇄
750	701-800	kato	{Ｂ}【動】ネコ（猫）	猫	고양이
751	701-800	kavo	{Ｂ}穴, 空洞, くぼみ, へこみ; 【解】腔（こう）, 窩（か）; 【理】（波の）谷, >>〜	坑，腔，膛	움푹 파인 빈 공간이나 구멍
752	701-800	kazo	{Ｂ}【Ｇ】格; 【法】訴訟事件; 事例; 【医】症例	格；案情，案件；病例	【문법】격, 【법률】소송 사건, 사례, 【의학】증례
753	701-800	kaĉo	{Ｂ}【料】かゆ, ピューレ, かゆ状の食物; 《転》まずい食物; 《転》かゆ状の物	粥，糊	걸쭉한 죽, 묽게 으깬 음식
754	701-800	kaĝo	{Ｂ}鳥かご; おり	笼，槛；牢笼，囚房	새장, 우리
755	701-800	kaŝi	{Ｂ}［他］隠す, 覆い隠す; 秘密にする, 秘める	藏	감추다, 숨기다
756	701-800	kaŝtano	{Ｂ}【果】クリ（栗）	栗子	밤(열매)
757	701-800	kaŭzo	{Ｂ}原因, もと; 理由, 動機, わけ, 根拠; 【哲】原因, 因	原因	원인, 이유
758	701-800	kaŭĉuko	{Ｂ}【化】弾性ゴム, ゴム, >>〜	橡胶	탄성 고무
759	701-800	ke	{Ｂ}［接］～ということ	[连]（引起从句）	…라는 것, …라고
