batch	flagged_rows	root_leak_rows	mask_artifact_rows	scope_imbalance_rows
1-100	1	0	0	1
101-200	2	0	0	2
201-300	2	0	0	2
301-400	1	0	0	1
401-500	2	0	1	1
501-600	0	0	0	0
601-700	2	0	0	2
701-800	3	0	0	3
801-900	3	0	1	2
901-1000	1	0	0	1
1001-1100	2	0	0	2
1101-1200	2	0	0	2
1201-1300	4	0	0	4
1301-1400	0	0	0	0
1401-1500	6	0	0	6
1501-1600	3	0	0	3
1601-1700	0	0	0	0
1701-1800	5	0	0	5
1801-1900	1	0	0	1
1901-2000	2	0	0	2
2001-2100	2	0	0	2
2101-2200	2	0	0	2
2201-2300	5	0	0	5
2301-2400	4	0	0	4
2401-2500	0	0	0	0
2501-2600	0	0	0	0
2601-2700	0	0	0	0
2701-2800	0	0	0	0
2801-2890	0	0	0	0
