row	esperanto	column	before	after	reason
114	aparteni	Japanese_Trans	{Ｂ}［自］（～ 〜）～のものである; ～に所属する	{Ｂ}［自］～のものである; ～に所属する	high14_readability_fix
571	grimpi	Japanese_Trans	{Ｂ}［自］（〜）よじ登る; （山に）登る; （つる草が）はい上がる	{Ｂ}［自］よじ登る; （山に）登る; （つる草が）はい上がる	high14_readability_fix
627	identa	Japanese_Trans	{Ｂ}（〜）同一の; 同様の, そっくり同じの	{Ｂ}同一の; 同様の, そっくり同じの	high14_readability_fix
741	karto	Japanese_Trans	{Ｂ}カード, （紙の）札; はがき; （トランプの）札; 【電】基板（地図はふつう 〜）	{Ｂ}カード, （紙の）札; はがき; （トランプの）札; 【電】基板（地図は別語を用いる）	high14_readability_fix
848	konsisti	Japanese_Trans	{Ｂ}［自］（-i 〜）～から成り立つ, ～でできている; （-i 〜）（本質・要点が）～にある	{Ｂ}［自］～から成り立つ, ～でできている; （本質・要点が）～にある	high14_readability_fix
857	kontrakti	Japanese_Trans	{Ｂ}［自・他］（〜）契約する, 契約を結ぶ	{Ｂ}［自・他］契約する, 契約を結ぶ	high14_readability_fix
1276	peki	Japanese_Trans	{Ｂ}［自］（宗教的・道徳的に）罪を犯す, あやまちを犯す; （規則・習慣に）反する（-i 〜）	{Ｂ}［自］（宗教的・道徳的に）罪を犯す, あやまちを犯す; （規則・習慣に）反する	high14_readability_fix
1302	petrolo	Japanese_Trans	{Ｂ}石油; 原油/灯油など（自動車用燃料はふつう 〜）	{Ｂ}石油; 原油/灯油など（自動車用燃料は通常ガソリン）	high14_readability_fix
1328	plej	Japanese_Trans	{Ｂ}（〜 ～）［副］もっとも, 一番, 最～（比較最上級）, >>〜	{Ｂ}［副］もっとも, 一番, 最～（比較最上級）	high14_readability_fix
1570	senco	Japanese_Trans	{Ｂ}意味; 意味合い, センス（方向は 〜 を用いる）	{Ｂ}意味; 意味合い, センス（方向は別語を用いる）	high14_readability_fix
1625	sonĝi	Japanese_Trans	{Ｂ}［自・他］夢を見る（〜/ion）	{Ｂ}［自・他］夢を見る（内容を直接目的語で取る用法もある）	high14_readability_fix
1897	zorgi	Japanese_Trans	{Ｂ}［自］（〜）配慮する, 気をつける, 世話をする; 気にかける, 心配する; ［他］（つとめを）果たす, 心がける	{Ｂ}［自］配慮する, 気をつける, 世話をする; 気にかける, 心配する; ［他］（つとめを）果たす, 心がける	high14_readability_fix
2138	humuro	Japanese_Trans	{Ｂ}ユーモア（感覚）, こっけい, おかしみ, 諧謔（かいぎゃく）, >>ŝerco, >>sprito（気分=〜と区別）	{Ｂ}ユーモア（感覚）, こっけい, おかしみ, 諧謔（かいぎゃく）, >>ŝerco, >>sprito（「気分」を表す別語と区別）	high14_readability_fix
2393	ŝako	Japanese_Trans	{Ｏ}【遊】チェス, 将棋（=japana 〜）; （チェス・将棋の）王手	{Ｏ}【遊】チェス; （日本将棋）将棋; （チェス・将棋の）王手	high14_readability_fix
