row	esperanto	column	current_or_summary	suggested_minimal	verdict	reason	applied_now
464	figuro	Korean_Trans	사람이나 물체의 겉모습, 형태	겉모습, 형태; (수학) 도형; 비유적 형상	keep	主要義は成立。図形義補完は有益だが必須ではない。	no
628	ideo	Korean_Trans	생각	관념, 생각, 아이디어	keep	簡潔だが学習初級としては許容。	no
642	imuna	Korean_Trans	질병에 대한 면역이 있는	면역의; (법) 면책의; (기계) 내성이 있는	proposal_only	医療義に偏るため、法・機械義を追加すると辞書として自然。	no
725	kanalo	Chinese_Trans	运河；沟渠，水道；海峡	运河；水道；海峡；（通信）频道；（解）管道	proposal_only	通信・解剖の義を足すとJAとの整合が改善。	no
797	kolono	Korean_Trans	둥근 기둥, 원주	둥근 기둥; 기념주; (군) 종대	proposal_only	軍事義・比喩義の補完余地がある。	no
868	korno	Chinese_Trans|Korean_Trans	兽角 / 동물 … 뿔	角; (乐)号角 / 뿔; (음악) 호른	proposal_only	楽器義（号角/ホルン）追加で多義性が自然。	no
1100	modelo	Korean_Trans	본보기	모형, 모델; 본보기	proposal_only	「모형, 모델」を足すと語義の中心に近づく。	no
1486	revizii	Korean_Trans	검사하거나 재검토하여 수정하다	검사하다; 재검토·수정하다; (인쇄) 교정하다	keep	検査・再検討の中核義は既に保持。	no
1492	reĝimo	Korean_Trans	정치 체제…	정치 체제; 작동 모드	proposal_only	政治義に加え機械/情報のモード義補完が有益。	no
1577	serio	Korean_Trans	연속된 것, 일련으로 이어짐	연속, 시리즈; (수학) 급수	keep	連続・系列の主要義は成立。	no
1848	verda	Chinese_Trans	绿色的	绿色的；未成熟的；环保的	proposal_only	「未成熟」「环保」義を足すとJA/KOとの整合が上がる。	no
2362	tezo	Korean_Trans	논리나 철학에서의 명제	명제; 논제; (학위) 논문	keep	命題義として成立。論文義補完は任意。	no
