row	esperanto	column	suggested_minimal	leak_tokens	leak_count
464	figuro	Korean_Trans	겉모습, 형태; (수학) 도형; 비유적 형상		0
628	ideo	Korean_Trans	관념, 생각, 아이디어		0
642	imuna	Korean_Trans	면역의; (법) 면책의; (기계) 내성이 있는		0
725	kanalo	Chinese_Trans	运河；水道；海峡；（通信）频道；（解）管道		0
797	kolono	Korean_Trans	둥근 기둥; 기념주; (군) 종대		0
868	korno	Chinese_Trans|Korean_Trans	角; (乐)号角 / 뿔; (음악) 호른		0
1100	modelo	Korean_Trans	모형, 모델; 본보기		0
1486	revizii	Korean_Trans	검사하다; 재검토·수정하다; (인쇄) 교정하다		0
1492	reĝimo	Korean_Trans	정치 체제; 작동 모드		0
1577	serio	Korean_Trans	연속, 시리즈; (수학) 급수		0
1848	verda	Chinese_Trans	绿色的；未成熟的；环保的		0
2362	tezo	Korean_Trans	명제; 논제; (학위) 논문		0
