row	batch	esperanto	score_zh	score_ko	score_sum	Japanese_Trans	Chinese_Trans	Korean_Trans	batch_start
50	1-100	adori	11	15	26	{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである	崇拜，崇敬；酷好，醉心于…	예배하고 숭배하다	1
132	101-200	artikolo	13	16	29	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	신문이나 잡지의 글, 기사	101
257	201-300	cemento	12	12	24	{Ｂ}セメント; 接合剤, 接着剤; （歯の）セメント質; 【地質】膠結物（こうけつぶつ）	水泥，接合剂	시멘트, 접합제	201
327	301-400	disko	18	22	40	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	레코드판, 디스크	301
404	401-500	esenco	17	17	34	{Ｂ}本質, 真髄, 核心; 【化】エッセンス, 精油; 【哲】実在, >>noumeno	本质，实质，核心	사물·개념의 본질, 핵심	401
539	501-600	gaso	14	19	33	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス	气体，可燃气；胃气；毒气	기체 연료, 가스	501
607	601-700	hoko	16	17	33	{Ｂ}鉤（かぎ）; 【機】フック; 釣り針, =fiŝ〜; 【運】（ボクシングの）フック	钩子，鱼钩	갈고리	601
798	701-800	koloro	21	18	39	{Ｂ}色, 色彩; 【楽】=son〜（音色）; 【遊】（トランプの）色（赤または黒）; 《転》特色, 個性, 色合い	颜色	사물이나 빛의 색, 색깔	701
827	801-900	konduki	17	16	33	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti	带领，引领	앞장서서 이끌어 가다	801
912	901-1000	kubuto	15	16	31	{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手	肘，肘关节	팔꿈치	901
1035	1001-1100	marko	22	19	41	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크	1001
1105	1101-1200	modo	19	12	31	{Ｂ}流行; 【Ｇ】（動詞の）叙法; 【服】モード, ファッション; 【統】モード, 最頻値	时尚，时髦	유행; (문법) 서법; (통계) 최빈값	1101
1210	1201-1300	ombro	18	17	35	{Ｂ}陰（かげ）, 日陰; 影（かげ）, 影法師; 陰影, 暗部; 《転》闇, かげり; 亡霊	阴影	그늘, 그림자	1201
1320	1301-1400	plafono	18	14	32	{Ｂ}天井; 【気】雲高; 【空】上昇限度; 《転》最高限度, 上限	天花板	건물 안쪽 위를 덮는 천장	1301
1486	1401-1500	revizii	21	23	44	{Ｂ}［他］検査する; 再検討する, 見直す, 修正する; 【印】校正する, 校訂する, 校閲する; 【法】再審する; 【機】保守点検する	检查；校订，核对	검사하거나 재검토하여 수정하다	1401
1509	1501-1600	ripo	18	22	40	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재	1501
1617	1601-1700	sojlo	17	17	34	{Ｂ}【建】敷居; 門口; 【理】しきい値; 《転》始まり, 出発点	门槛，槛	문턱, 시작점	1601
1769	1701-1800	tranĉi	24	24	48	{Ｂ}［他］切る, 断つ; 切り分ける; 《転》横切って進む; 《転》鋭く刺激する; 【遊】（札を）切る; 【運】（ボールを）カットする	砍，切，剪	무언가를 자르거나 베다	1701
1848	1801-1900	verda	22	15	37	{Ｂ}緑の, 緑色の; 草木の茂った, 青々とした; 生の, 未成熟の, 青い; 【Ｅ】エスペラントの; 【環】環境保護の	绿色的	녹색, 초록색의, 미숙한, 【세】에스페란토의, 친환경적인	1801
1923	1901-2000	ĉielo	14	17	31	{Ｂ}空, 大空, 天, >>〜, >>firmamento; 【宗】天, 天国, >>〜	天，天空；【宗】天堂	하늘, 【종교】천국	1901
2080	2001-2100	elimini	13	16	29	{Ｂ}［他］除去する, 取り除く, 削除する; ふるい落とす; 【医】排出する; 【数】消去する	消除，排除；淘汰	없애다, 제거하다	2001
2145	2101-2200	indico	15	16	31	{Ｂ}【学】指数, 率; 【学】添え字（変数の右下につける）; 《古》=indikaĵo（徴候）	指数，指标	지수	2101
2270	2201-2300	paralela	23	22	45	{Ｂ}【数】平行の; 並列の, 平行する; 【電】並列の; 【情】パラレルの, >>seria	平行的	평행한, 나란한	2201
2362	2301-2400	tezo	21	20	41	{Ｏ}主張, 説; 【論】命題, 定立, 提題; 【政】テーゼ; 【学】=disertacio（学位論文）	论题，论点	논리나 철학에서의 명제	2301
