row	esperanto	column	verdict	before	after
50	adori	Korean_Trans	optional_low	예배하고 숭배하다	예배하고 숭배하다; (전) 동경하다, 몹시 좋아하다
62	ajlo	Korean_Trans	optional_low	마늘	마늘; (식물) 파속 식물
129	arko	Chinese_Trans	optional_medium	弧，弧形物，拱形物	弧，拱形物；弓；[物] 电弧
129	arko	Korean_Trans	optional_medium	활 모양의 곡선, 또는 아치형 구조물	활 모양; (수학) 호, (물리) 전호
132	artikolo	Korean_Trans	optional_medium	신문이나 잡지의 글, 기사	기사; 조항; (문법) 관사
269	ciklo	Chinese_Trans	optional_medium	周期；组诗	周期；循环；（文）组诗；（化）环
269	ciklo	Korean_Trans	optional_medium	주기, 반복되는 순환	주기, 순환; (문학) 연작; (화학) 고리
350	dramo	Korean_Trans	optional_low	연극, 희곡	연극, 희곡; (비유) 극적인 사건
360	eduki	Chinese_Trans	optional_medium	教育	教育；驯养；栽培
360	eduki	Korean_Trans	optional_medium	사람을 교육하다	교육하다; (동물) 길들이다; (식물) 재배하다
404	esenco	Chinese_Trans	optional_medium	本质，实质，核心	本质，核心；（化）香精，精油
404	esenco	Korean_Trans	optional_medium	사물·개념의 본질, 핵심	본질, 핵심; (화학) 에센스, 정유
406	esplori	Chinese_Trans	optional_low	考察，探索	探索；调查；研究
464	figuro	Korean_Trans	optional_medium	사람이나 물체의 겉모습, 형태	사람·사물의 형태; (수학) 도형; (수사) 비유적 표현
522	frukto	Chinese_Trans	optional_low	果实；水果	果实；水果；（转）成果
522	frukto	Korean_Trans	optional_low	나무나 식물이 맺는 과일, 열매	과일, 열매; (비유) 성과
539	gaso	Korean_Trans	optional_low	기체 연료, 가스	가스, 기체 연료; (화학) 기체; (군사) 독가스
592	hela	Korean_Trans	optional_low	밝은, 환한	밝은, 환한; (색) 옅은; (소리) 맑은
607	hoko	Korean_Trans	optional_low	갈고리	갈고리, 낚싯바늘; (권투) 훅
628	ideo	Korean_Trans	optional_medium	생각	관념, 생각, 아이디어; (철학) 이데아
797	kolono	Chinese_Trans	optional_medium	圆柱，支柱，栋梁	圆柱，支柱；（排版）栏；（军）纵队
797	kolono	Korean_Trans	optional_medium	둥근 기둥, 원주	원주, 기둥; (인쇄) 난(欄); (군사) 종대
798	koloro	Chinese_Trans	optional_medium	颜色	颜色，色彩；（乐）音色；（牌）花色；（转）特色
798	koloro	Korean_Trans	optional_medium	사물이나 빛의 색, 색깔	색, 색채; (음악) 음색; (카드) 색; (비유) 특색
799	kolumno	Chinese_Trans	optional_low	栏，纵列	栏，纵列；（数）数位
827	konduki	Chinese_Trans	optional_medium	带领，引领	带领，引导；驾驶；导致
827	konduki	Korean_Trans	optional_medium	앞장서서 이끌어 가다	이끌다, 안내하다; 운전하다; (결과를) 초래하다
868	korno	Chinese_Trans	optional_medium	兽角	角；角状物；号角（乐器/警报）
868	korno	Korean_Trans	optional_medium	동물 머리에 난 단단한 뿔	뿔; 뿔 모양의 것; (음악) 호른, (신호) 경적
870	korpo	Korean_Trans	optional_low	사람이나 동물의 몸, 신체	신체, 몸; 물체; (수학) 체
912	kubuto	Chinese_Trans	optional_low	肘，肘关节	肘；弯头，弯管接头
912	kubuto	Korean_Trans	optional_low	팔꿈치	팔꿈치; 굽은 부분; (기계) 엘보관
957	lango	Korean_Trans	optional_low	입 안의 근육 기관인 혀	혀; (식용) 혀고기; (비유) 말솜씨
