row	batch	esperanto	score_zh	score_ko	score_sum	verdict	target_column	suggested_minimal	reason	Japanese_Trans	Chinese_Trans	Korean_Trans
50	1-100	adori	11	15	26	optional_low	Korean_Trans	예배하고 숭배하다; (전) 동경하다, 몹시 좋아하다	KOが宗教義中心で、転義（敬慕・大好き）が未反映。	{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである	崇拜，崇敬；酷好，醉心于…	예배하고 숭배하다
56	1-100	afero	24	21	45	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件；（法）诉讼事件；（商）交易	일, 사건, 용무, 【법】소송 사건, 【상업】거래
62	1-100	ajlo	19	22	41	optional_low	Korean_Trans	마늘; (식물) 파속 식물	ZHは属レベルまであり、KOを最小補完可能。	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）	大蒜；葱属植物	마늘
129	101-200	arko	29	26	55	optional_medium	Chinese_Trans|Korean_Trans	弧，拱形物；弓；[物] 电弧 / 활 모양; (수학) 호, (물리) 전호	JAの主要義（弓・弧・電弧）に対しZH/KOが形状中心でやや狭い。	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，弧形物，拱形物	활 모양의 곡선, 또는 아치형 구조물
132	101-200	artikolo	13	16	29	optional_medium	Korean_Trans	기사; 조항; (문법) 관사	KOが「記事」義のみで法・文法義が欠落。	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	신문이나 잡지의 글, 기사
188	101-200	bazo	33	31	64	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지
204	201-300	bildo	16	27	43	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유
257	201-300	cemento	12	12	24	keep	-	-	ZH/KOとも主要義（セメント・接合剤）を保持しており、過修正回避。	{Ｂ}セメント; 接合剤, 接着剤; （歯の）セメント質; 【地質】膠結物（こうけつぶつ）	水泥，接合剂	시멘트, 접합제
269	201-300	ciklo	27	28	55	optional_medium	Chinese_Trans|Korean_Trans	周期；循环；（文）组诗；（化）环 / 주기, 순환; (문학) 연작; (화학) 고리	JAの文芸・化学・理学の義が落ちやすい。	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；组诗	주기, 반복되는 순환
327	301-400	disko	18	22	40	keep	-	-	ZH/KOとも主要義（円盤・記録媒体・計算機ディスク）を保持。	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	레코드판, 디스크
350	301-400	dramo	19	24	43	optional_low	Korean_Trans	연극, 희곡; (비유) 극적인 사건	転義（劇的事件）を補うとJAとの整合が上がる。	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ	（近代）正剧；戏剧；戏剧性事件	연극, 희곡
360	301-400	eduki	22	21	43	optional_medium	Chinese_Trans|Korean_Trans	教育；驯养；栽培 / 교육하다; (동물) 길들이다; (식물) 재배하다	「教育する」以外の動植物義が欠落。	{Ｂ}［他］（人を）教育する, しつける, >>〜, >>prizorgi; （動物を）飼いならす, >>〜; （植物を）育てる, 栽培する, =kultivi	教育	사람을 교육하다
404	401-500	esenco	17	17	34	optional_medium	Chinese_Trans|Korean_Trans	本质，核心；（化）香精，精油 / 본질, 핵심; (화학) 에센스, 정유	化学義がZH/KOで薄い。	{Ｂ}本質, 真髄, 核心; 【化】エッセンス, 精油; 【哲】実在, >>noumeno	本质，实质，核心	사물·개념의 본질, 핵심
406	401-500	esplori	18	17	35	optional_low	Chinese_Trans	探索；调查；研究	ZHを「探索」中心から最小拡張。	{Ｂ}［他］探検する, 踏査する; 調査する, 探究する, 研究する; 【医】診査する, （精密）検査する; 【法】審理する	考察，探索	상세히 조사하거나 탐구하다
464	401-500	figuro	19	23	42	optional_medium	Korean_Trans	사람·사물의 형태; (수학) 도형; (수사) 비유적 표현	KOが外形義中心で数学・修辞義が欠落。	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람이나 물체의 겉모습, 형태
522	501-600	frukto	22	21	43	optional_low	Chinese_Trans|Korean_Trans	果实；水果；（转）成果 / 과일, 열매; (비유) 성과	転義（成果）の補完。	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果	나무나 식물이 맺는 과일, 열매
539	501-600	gaso	14	19	33	optional_low	Korean_Trans	가스, 기체 연료; (화학) 기체; (군사) 독가스	KOに化学・軍事義を最小補完可能。	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス	气体，可燃气；胃气；毒气	기체 연료, 가스
592	501-600	hela	15	19	34	optional_low	Korean_Trans	밝은, 환한; (색) 옅은; (소리) 맑은	色・音の義を軽く補完。	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ	明亮，晴朗；浅，淡	밝은, 환한
607	601-700	hoko	16	17	33	optional_low	Korean_Trans	갈고리, 낚싯바늘; (권투) 훅	KOが一般義のみ。釣り針・スポーツ義の最小補完。	{Ｂ}鉤（かぎ）; 【機】フック; 釣り針, =fiŝ〜; 【運】（ボクシングの）フック	钩子，鱼钩	갈고리
628	601-700	ideo	18	20	38	optional_medium	Korean_Trans	관념, 생각, 아이디어; (철학) 이데아	KOが「생각」のみで狭い。	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	생각
652	601-700	infero	21	16	37	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo	地狱	죽은 자가 가는 지하 세계, 지옥
797	701-800	kolono	28	28	56	optional_medium	Chinese_Trans|Korean_Trans	圆柱，支柱；（排版）栏；（军）纵队 / 원주, 기둥; (인쇄) 난(欄); (군사) 종대	印刷欄・軍事義の補完余地。	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱，栋梁	둥근 기둥, 원주
798	701-800	koloro	21	18	39	optional_medium	Chinese_Trans|Korean_Trans	颜色，色彩；（乐）音色；（牌）花色；（转）特色 / 색, 색채; (음악) 음색; (카드) 색; (비유) 특색	ZH/KOが色彩義中心で、音色・転義などが不足。	{Ｂ}色, 色彩; 【楽】=son〜（音色）; 【遊】（トランプの）色（赤または黒）; 《転》特色, 個性, 色合い	颜色	사물이나 빛의 색, 색깔
799	701-800	kolumno	22	20	42	optional_low	Chinese_Trans	栏，纵列；（数）数位	JAの数義を最小補完。	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列	신문의 칼럼, 세로 난
827	801-900	konduki	17	16	33	optional_medium	Chinese_Trans|Korean_Trans	带领，引导；驾驶；导致 / 이끌다, 안내하다; 운전하다; (결과를) 초래하다	ZH/KOが「導く」中心で多義が不足。	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti	带领，引领	앞장서서 이끌어 가다
868	801-900	korno	18	14	32	optional_medium	Chinese_Trans|Korean_Trans	角；角状物；号角（乐器/警报） / 뿔; 뿔 모양의 것; (음악) 호른, (신호) 경적	楽器/警笛義が欠落。	{Ｂ}【動】角（つの）; 角状のもの; 【楽】ホルン; 角笛（つのぶえ）; 警笛	兽角	동물 머리에 난 단단한 뿔
870	801-900	korpo	16	20	36	optional_low	Korean_Trans	신체, 몸; 물체; (수학) 체	数義を含めた最小補完。	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	사람이나 동물의 몸, 신체
