row	batch	esperanto	severity	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
37	1-100	abelo	low	scope_zh:12	12	10	{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>〜	蜜蜂属昆虫	꿀벌, 작은 벌
50	1-100	adori	low	scope_ko:15	11	15	{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである	崇拜，崇敬；酷好，醉心于…	예배하고 숭배하다
56	1-100	afero	low	scope_zh:24|scope_ko:21	24	21	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件；（法）诉讼事件；（商）交易	일, 사건, 용무, 【법】소송 사건, 【상업】거래
62	1-100	ajlo	low	scope_zh:19|scope_ko:22	19	22	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）	大蒜；葱属植物	마늘
98	1-100	amplekso	low	scope_ko:13	11	13	{Ｂ}大きさ, 広がり; 【哲】外延; 【統】分布範囲	大小，广度，范围	범위
111	101-200	aparato	low	scope_zh:13	13	11	{Ｂ}装置, 機械一式; 【解】器官; 【政】機関; 【情】装置, デバイス	一套装置，仪器；（解）器官；（政）机关	장치, 기계；（해부） 기관；（정치） 기구
126	101-200	aranĝi	low	scope_zh:12|scope_ko:13	12	13	{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する	整理，布置；安排	정리하고 필요한 준비를 하다
129	101-200	arko	low	scope_zh:29|scope_ko:26	29	26	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，弧形物，拱形物	활 모양의 곡선, 또는 아치형 구조물
132	101-200	artikolo	low	scope_zh:13|scope_ko:16	13	16	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	신문이나 잡지의 글, 기사
144	101-200	atomo	low	scope_zh:15	15	11	{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵	原子	물질을 이루는 최소 단위, 원자
188	101-200	bazo	low	scope_zh:33|scope_ko:31	33	31	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지
204	201-300	bildo	low	scope_zh:16|scope_ko:27	16	27	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유
211	201-300	bloko	low	scope_ko:13	7	13	{Ｂ}塊, ブロック, 台; 街区; （暦・メモ用紙などの）一つづり; 【政】ブロック（国家や政党の連合）	块，大块；砧板；拍纸簿	덩어리, 블록
228	201-300	brasiko	low	scope_zh:12	12	10	{Ｂ}【植】キャベツ, =〜; （キャベツ、ハクサイ、カラシナ、アブラナ、カブなど）アブラナ属の植物の総称	甘蓝类植物（白菜）	양배추, 배추류 식물
257	201-300	cemento	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}セメント; 接合剤, 接着剤; （歯の）セメント質; 【地質】膠結物（こうけつぶつ）	水泥，接合剂	시멘트, 접합제
260	201-300	centro	low	scope_ko:13	9	13	{Ｂ}中心, 中央; 【政】中道, 中間派; 【解】中枢	中心点，圆心，中点；中心	중앙, 중심
269	201-300	ciklo	low	scope_zh:27|scope_ko:28	27	28	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；组诗	주기, 반복되는 순환
299	201-300	delikata	low	scope_ko:12	8	12	{Ｂ}繊細な, 洗練された; 優美な, 上品な; 鋭敏な, 敏感な; きゃしゃな, 壊れやすい	精美，高雅；纤细，脆性的	섬세하고 세련된
322	301-400	dimensio	low	scope_ko:16	11	16	{Ｂ}寸法; 【数】次元; 【理】（物理量の）次元; 《転》規模, 広がり	大小，尺寸；维数；量纲	물체의 크기나 차원
327	301-400	disko	low	scope_zh:18|scope_ko:22	18	22	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	레코드판, 디스크
328	301-400	diskuti	low	scope_zh:13	13	11	{Ｂ}［自］討議する, 議論する, >>debati, >>〜, >>polemiki	讨论	의견을 주고받으며 토론하다
335	301-400	diveni	low	scope_ko:12	11	12	{Ｂ}［他］見抜く, 言い当てる, 推察する, >>〜, >>〜; 予知する, 占う	猜；猜测	짐작하여 알아맞히다, 추측하다
337	301-400	dividi	low	scope_ko:15	9	15	{Ｂ}［他］分ける, 分割する, 区切る; 分け与える, 分配する; 分け合う; 【数】割る	分；分配；[数学]除	나누다
338	301-400	do	low	scope_zh:16|scope_ko:18	16	18	{Ｂ}［接］だから, すると, それでは, そこで, >>sekve, >>〜; ［副］（疑問文を強めて）いったい全体; （命令文を強めて）さあ, ほら / {Ｏ}［文字名］ドー（文字D，dの名称）	（接）所以，那么；（副）究竟，到底	그래서, 그러면을 나타내는 접속사
344	301-400	domo	low	scope_zh:12	12	11	{Ｂ}家, 家屋; =〜; 建物, ビル; （貴族の）家系	房屋	집, 건물
350	301-400	dramo	low	scope_zh:19|scope_ko:24	19	24	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ	（近代）正剧；戏剧；戏剧性事件	연극, 희곡
358	301-400	ebena	low	scope_zh:12	12	10	{Ｂ}平らな, 平坦な, >>〜; なめらかな, >>〜	表面平整	표면이 평평한, 평탄한
360	301-400	eduki	low	scope_zh:22|scope_ko:21	22	21	{Ｂ}［他］（人を）教育する, しつける, >>〜, >>prizorgi; （動物を）飼いならす, >>〜; （植物を）育てる, 栽培する, =kultivi	教育	사람을 교육하다
363	301-400	efiki	low	scope_zh:14	14	11	{Ｂ}［自］効果をあげる, 効能がある, 効力がある, >>〜; 【理】【化】作用する	生效，起作用	효과를 내다, 어떤 작용을 하다
371	301-400	eksciti	low	scope_ko:12	9	12	{Ｂ}［他］刺激する, 興奮させる; 《転》かき立てる, そそる; 【理】励起する	刺激，激发；助长	자극하다, 흥분시키다
377	301-400	ekspozicio	low	scope_ko:14	10	14	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =〜aĵo; =〜ejo	展览；展品；展览会场	전시회, 전람회, 박람회
