batch	candidate_count	high	medium	low
1-100	5	0	0	5
1001-1100	13	0	0	13
101-200	6	0	0	6
1101-1200	14	0	0	14
1201-1300	17	0	0	17
1301-1400	12	0	0	12
1401-1500	20	0	0	20
1501-1600	20	0	0	20
1601-1700	16	0	0	16
1701-1800	17	0	0	17
1801-1900	18	0	0	18
1901-2000	12	0	0	12
2001-2100	4	0	0	4
201-300	7	0	0	7
2101-2200	8	0	0	8
2201-2300	18	0	0	18
2301-2400	18	0	0	18
2401-2500	2	0	0	2
301-400	16	0	0	16
401-500	12	0	0	12
501-600	14	0	0	14
601-700	10	0	0	10
701-800	14	0	0	14
801-900	9	0	0	9
901-1000	15	0	0	15
