row	batch	esperanto	severity	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans	batch_start	score_max
56	1-100	afero	low	scope_zh:24|scope_ko:21	24	21	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件；（法）诉讼事件；（商）交易	일, 사건, 용무, 【법】소송 사건, 【상업】거래	1	24
62	1-100	ajlo	low	scope_zh:19|scope_ko:22	19	22	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）	大蒜；葱属植物	마늘	1	22
129	101-200	arko	low	scope_zh:29|scope_ko:26	29	26	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，弧形物，拱形物	활 모양의 곡선, 또는 아치형 구조물	101	29
188	101-200	bazo	low	scope_zh:33|scope_ko:31	33	31	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지	101	33
204	201-300	bildo	low	scope_zh:16|scope_ko:27	16	27	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유	201	27
269	201-300	ciklo	low	scope_zh:27|scope_ko:28	27	28	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；组诗	주기, 반복되는 순환	201	28
350	301-400	dramo	low	scope_zh:19|scope_ko:24	19	24	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ	（近代）正剧；戏剧；戏剧性事件	연극, 희곡	301	24
360	301-400	eduki	low	scope_zh:22|scope_ko:21	22	21	{Ｂ}［他］（人を）教育する, しつける, >>〜, >>prizorgi; （動物を）飼いならす, >>〜; （植物を）育てる, 栽培する, =kultivi	教育	사람을 교육하다	301	22
406	401-500	esplori	low	scope_zh:18|scope_ko:17	18	17	{Ｂ}［他］探検する, 踏査する; 調査する, 探究する, 研究する; 【医】診査する, （精密）検査する; 【法】審理する	考察，探索	상세히 조사하거나 탐구하다	401	18
464	401-500	figuro	low	scope_zh:19|scope_ko:23	19	23	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람이나 물체의 겉모습, 형태	401	23
522	501-600	frukto	low	scope_zh:22|scope_ko:21	22	21	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果	나무나 식물이 맺는 과일, 열매	501	22
592	501-600	hela	low	scope_zh:15|scope_ko:19	15	19	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ	明亮，晴朗；浅，淡	밝은, 환한	501	19
628	601-700	ideo	low	scope_zh:18|scope_ko:20	18	20	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	생각	601	20
652	601-700	infero	low	scope_zh:21|scope_ko:16	21	16	{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo	地狱	죽은 자가 가는 지하 세계, 지옥	601	21
797	701-800	kolono	low	scope_zh:28|scope_ko:28	28	28	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱，栋梁	둥근 기둥, 원주	701	28
799	701-800	kolumno	low	scope_zh:22|scope_ko:20	22	20	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列	신문의 칼럼, 세로 난	701	22
868	801-900	korno	low	scope_zh:18|scope_ko:14	18	14	{Ｂ}【動】角（つの）; 角状のもの; 【楽】ホルン; 角笛（つのぶえ）; 警笛	兽角	동물 머리에 난 단단한 뿔	801	18
870	801-900	korpo	low	scope_zh:16|scope_ko:20	16	20	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	사람이나 동물의 몸, 신체	801	20
957	901-1000	lango	low	scope_zh:18|scope_ko:15	18	15	{Ｂ}【解】舌; 【料】（牛などの）舌肉, タン; 舌状のもの; 《転》話しぶり, 弁舌	舌头，口才	입 안의 근육 기관인 혀	901	18
991	901-1000	linio	low	scope_zh:18|scope_ko:24	18	24	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통	901	24
1061	1001-1100	membro	low	scope_zh:22|scope_ko:22	22	22	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	肢；成员，会员	단체나 조직에 속한 일원, 구성원	1001	22
1100	1001-1100	modelo	low	scope_zh:24|scope_ko:26	24	26	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	본보기	1001	26
1167	1101-1200	nigra	low	scope_zh:27|scope_ko:21	27	21	{Ｂ}黒い, 黒色の, 黒ずんだ; 暗い, 闘の, 曇った; 《転》陰気な; 《転》悪意のある; 《転》邪悪な; 《転》不正な	黑色的	검은, 흑색의, 《전》음침한, 사악한, 불법적인	1101	27
1171	1101-1200	nodo	low	scope_zh:48|scope_ko:42	48	42	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드	1101	48
1218	1201-1300	ordo	low	scope_zh:34|scope_ko:22	34	22	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)	1201	34
1228	1201-1300	oro	low	scope_zh:20|scope_ko:22	20	22	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金；金钱	금, 황금	1201	22
1306	1301-1400	piedo	low	scope_zh:18|scope_ko:15	18	15	{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚	脚	발, 발목부터 끝까지의 부분	1301	18
1378	1301-1400	prepari	low	scope_zh:22|scope_ko:22	22	22	{Ｂ}［他］準備する, 用意する, 支度する; 【薬】調合する; 【情】（ディスクを）初期化する, フォーマットする; 覚悟をさせる, 心構えをさせる, >>pretigi	准备，准备好	미리 준비하다	1301	22
1441	1401-1500	radio	low	scope_zh:21|scope_ko:25	21	25	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살	1401	25
1492	1401-1500	reĝimo	low	scope_zh:23|scope_ko:22	23	22	{Ｂ}【政】政体; 制度, 体制; 【機】作動状態; 【情】モード, >>enŝova, >>superskriba	政体，政治制度；制度	정치 체제, 또는 일정한 지배 제도	1401	23
1525	1501-1600	rozo	low	scope_zh:22|scope_ko:22	22	22	{Ｂ}バラ（の花）; 【植】バラ（薔薇）（属）; 《転》バラの花の形をしたもの; 【建】バラ窓; （羅針盤の）方位盤; （じょうろの）散水口	蔷薇属植物（玫瑰、月季等）	장미, 장미꽃	1501	22
1577	1501-1600	serio	low	scope_zh:27|scope_ko:28	27	28	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	一系列，一组；合订本	연속된 것, 일련으로 이어짐	1501	28
1641	1601-1700	spirito	low	scope_zh:26|scope_ko:25	26	25	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>〜, >>〜, >>〜	精神（反：物质），灵魂	정신, 영혼, 기풍	1601	26
1659	1601-1700	stranga	low	scope_zh:22|scope_ko:23	22	23	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>〜, >>originala, >>ekstravaganca, >>〜	奇怪，奇异，奇特	이상한, 기묘한	1601	23
1756	1701-1800	tono	low	scope_zh:39|scope_ko:36	39	36	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리의 높낮이, 어조; 색조, 톤	1701	39
1786	1701-1800	trunko	low	scope_zh:33|scope_ko:28	33	28	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	（树）干，躯干	나무의 줄기; (인체) 몸통, 체간	1701	33
1832	1801-1900	vazo	low	scope_zh:27|scope_ko:25	27	25	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관	1801	27
1864	1801-1900	vigla	low	scope_zh:28|scope_ko:25	28	25	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，精神焕发，活泼	활기차고 원기 왕성한, 생기 있고 활발한	1801	28
