row	batch	esperanto	verdict	target_column	suggested_minimal	reason	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
56	1-100	afero	keep	-	-	現状で意味は成立。過修正回避のため維持。	24	21	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件；（法）诉讼事件；（商）交易	일, 사건, 용무, 【법】소송 사건, 【상업】거래
62	1-100	ajlo	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	17	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）	大蒜；葱属植物	마늘; (식물) 파속 식물
129	101-200	arko	keep	-	-	現状で意味は成立。過修正回避のため維持。	23	17	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，拱形物；弓；[物] 电弧	활, 활 모양; (수학) 호; (건축) 아치; (물리) 전호
188	101-200	bazo	keep	-	-	現状で意味は成立。過修正回避のため維持。	33	31	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지
204	201-300	bildo	keep	-	-	現状で意味は成立。過修正回避のため維持。	16	27	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유
269	201-300	ciklo	keep	-	-	現状で意味は成立。過修正回避のため維持。	21	21	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；循环；（文）组诗；（化）环	주기, 순환; (문학) 연작; (화학) 고리
327	301-400	disko	keep	-	-	現状で意味は成立。過修正回避のため維持。	18	16	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	원반; 레코드판; (정보) 디스크
350	301-400	dramo	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	19	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ	（近代）正剧；戏剧；戏剧性事件	연극, 희곡; (비유) 극적인 사건
401	401-500	epoko	optional_low	Chinese_Trans|Korean_Trans	纪元，时代；（地质）世 / 역사의 시대; (지질) 세(世)	地質学義（「世」）を補うとJAとの対応が安定。	17	15	{Ｂ}時代; 【地質】世, >>〜（紀）, >>erao（代）, >>〜（期）	纪元，时代	역사에서 구분되는 일정한 시대
464	401-500	figuro	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	16	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람·사물의 형태; (수학) 도형; (수사) 비유적 표현
522	501-600	frukto	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	20	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果；（转）成果	과일, 열매; (비유) 성과
