row	esperanto	column	matched_tokens	current
37	abelo	Japanese_Trans	vespo	{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>vespo
38	aboni	Japanese_Trans	rezervi	{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>rezervi, >>antaŭmendi
39	absoluta	Japanese_Trans	perfekta	{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>perfekta
41	abunda	Japanese_Trans	riĉa	{Ｂ}有り余るほどの, 豊富な, >>riĉa
69	akiri	Japanese_Trans	gajni	{Ｂ}［他］手に入れる, 獲得する, 習得する, >>gajni
103	animalo	Japanese_Trans	vegetalo	{Ｂ}動物, ><vegetalo
115	apenaŭ	Japanese_Trans	preskaŭ	{Ｂ}［副］やっと, かろうじて; ほとんど～ない, =preskaŭ ne / {Ｂ}［接］～するや否や
152	aĉeti	Japanese_Trans	sub	{Ｂ}［他］買う, 購入する; =sub〜（買収する）
161	aŭtomobilo	Japanese_Trans	aŭto	{Ｂ}自動車（乗用車）, =aŭto
161	aŭtomobilo	Chinese_Trans	aŭto	同aŭto（汽车）
187	bazaro	Japanese_Trans	super	{Ｂ}市場（いちば）, 市（いち）, マーケット, >>super〜
198	besto	Japanese_Trans	animalo	{Ｂ}（人間を除く）動物, 獣, >>animalo
207	birdo	Japanese_Trans	stranga	{Ｂ}鳥; 《転》人（例: stranga 〜 変なやつ）
228	brasiko	Japanese_Trans	kapo	{Ｂ}【植】キャベツ, =kapo〜; （キャベツ、ハクサイ、カラシナ、アブラナ、カブなど）アブラナ属の植物の総称
271	cirklo	Japanese_Trans	rondo	{Ｂ}【数】円周, 円, >>rondo
304	deputi	Japanese_Trans	delegi	{Ｂ}［他］（議員に）選出する, 送り出す, >>delegi
328	diskuti	Japanese_Trans	disputi	{Ｂ}［自］討議する, 議論する, >>debati, >>disputi, >>polemiki
330	disputi	Japanese_Trans	kvereli	{Ｂ}［自］口論する, 言い争う, >>kvereli, >>konflikti
335	diveni	Japanese_Trans	konjekti|supozi	{Ｂ}［他］見抜く, 言い当てる, 推察する, >>konjekti, >>supozi; 予知する, 占う
338	do	Japanese_Trans	tiam	{Ｂ}［接］だから, すると, それでは, そこで, >>sekve, >>tiam; ［副］（疑問文を強めて）いったい全体; （命令文を強めて）さあ, ほら / {Ｏ}［文字名］ドー（文字D，dの名称）
344	domo	Japanese_Trans	hejmo	{Ｂ}家, 家屋; =hejmo; 建物, ビル; （貴族の）家系
350	dramo	Japanese_Trans	komedio	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>komedio; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ
354	dubi	Japanese_Trans	kredi|suspekti	{Ｂ}［自・他］疑う, 怪しむ; 危ぶむ, >>suspekti, ><kredi
358	ebena	Japanese_Trans	glata|plata	{Ｂ}平らな, 平坦な, >>plata; なめらかな, >>glata
360	eduki	Japanese_Trans	dresi|instrui	{Ｂ}［他］（人を）教育する, しつける, >>instrui, >>prizorgi; （動物を）飼いならす, >>dresi; （植物を）育てる, 栽培する, =kultivi
362	efektiva	Japanese_Trans	reala	{Ｂ}実際の, 現実の, >>reala, >>fakta; 事実上の
363	efiki	Japanese_Trans	influi	{Ｂ}［自］効果をあげる, 効能がある, 効力がある, >>influi; 【理】【化】作用する
376	eksporti	Japanese_Trans	importi	{Ｂ}［他］輸出する, ><importi
389	elekti	Japanese_Trans	baloti	{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>baloti
397	enigmo	Japanese_Trans	mistero	{Ｂ}謎（なぞ）; 《転》不可解なもの, >>mistero
401	epoko	Japanese_Trans	aĝo|periodo	{Ｂ}時代; 【地質】世, >>periodo（紀）, >>erao（代）, >>aĝo（期）
405	esperi	Japanese_Trans	atendi|deziri	{Ｂ}［自・他］希望する, 期待する, >>deziri, >>atendi
410	estimi	Japanese_Trans	respekti|ŝati	{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>ŝati, >>respekti
425	fadeno	Japanese_Trans	drato	{Ｂ}糸, 線; 筋, 脈絡（針金はふつう drato / metal〜）
434	familiara	Japanese_Trans	intima	{Ｂ}親しい, 慣れ親しんだ, 心安い, くだけた, 平俗な, >>intima, >>senceremonia
457	fervora	Japanese_Trans	arda	{Ｂ}熱心な, 熱烈な, 熱情にあふれた, >>arda, >>entuziasma
475	flago	Japanese_Trans	standardo	{Ｂ}旗, >>standardo
488	flustri	Japanese_Trans	susuri	{Ｂ}［自］ささやく, 小声で話す; 《転》さらさら音をたてる, >>susuri, >>murmureti
504	fosto	Japanese_Trans	paliso|stango	{Ｂ}【建】柱; くい, 標柱, 電柱, >>stango, >>paliso
522	frukto	Japanese_Trans	bero|nukso	{Ｂ}【植】果実, 実（み）, >>drupo, >>nukso, >>bero; くだもの; 《転》成果, 結果
535	gajni	Japanese_Trans	akiri	{Ｂ}［他］（運や偶然によって）得る; 勝ち取る; もうける, >>akiri
539	gaso	Japanese_Trans	likvo|solido	{Ｂ}ガス, 燃料ガス; 【化】気体, >>solido, >>likvo; 【軍】毒ガス
545	gento	Japanese_Trans	etno|nacio|popolo	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>etno, >>nacio, >>popolo
556	golfo	Japanese_Trans	pilko	{Ｂ}【地理】湾 / 【運】ゴルフ, =〜ludo, >>klabo, >>pilko
566	grati	Japanese_Trans	skrapi	{Ｂ}［他］ひっかく, かき削る; かく, >>skrapi
571	grimpi	Japanese_Trans	sur	{Ｂ}［自］（sur）よじ登る; （山に）登る; （つる草が）はい上がる
577	gumo	Japanese_Trans	kaŭĉuko	{Ｂ}【植】ゴム, ゴム液; 弾性ゴム, =kaŭĉuko; 消しゴム, =frot〜
592	hela	Japanese_Trans	pala	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>pala; （音が）澄んだ
611	honti	Japanese_Trans	pri|pro	{Ｂ}［自］恥じる; 恥ずかしがる（pri/pro〜を）
621	humoro	Japanese_Trans	humuro	{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモア=humuroとは別語）
627	identa	Japanese_Trans	kun	{Ｂ}（kun）同一の; 同様の, そっくり同じの
632	ignori	Japanese_Trans	neglekti	{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>neglekti
639	importi	Japanese_Trans	eksporti	{Ｂ}［他］輸入する, >>eksporti
661	insisti	Japanese_Trans	persisti	{Ｂ}［自］（自分の意見に）固執する, 言い張る, 力説する, >>persisti
677	intesto	Japanese_Trans	dika	{Ｂ}【解】腸; >>dika 〜, >>maldika 〜
697	ju	Japanese_Trans	des|pli	{Ｂ}［副］（〜 pli）～すればするほど, >>des
739	karno	Japanese_Trans	viando	{Ｂ}肉, 肉体, >>viando; 【植】果肉
741	karto	Japanese_Trans	mapo	{Ｂ}カード, （紙の）札; はがき; （トランプの）札; 【電】基板（地図はふつう mapo）
