row	esperanto	column	before	after	reason
30	Atlantiko	Japanese_Trans	{Ｂ}【地名】大西洋, =Atlantika Oceano	{Ｂ}【地名】大西洋, =〜a Oceano	同根語形をマスク
36	Pacifiko	Japanese_Trans	{Ｂ}【地名】太平洋, =Pacifika Oceano	{Ｂ}【地名】太平洋, =〜a Oceano	同根語形をマスク
173	balono	Japanese_Trans	{Ｂ}気球; 風船, =baloneto; 【化】球形フラスコ	{Ｂ}気球; 風船, =〜eto; 【化】球形フラスコ	同根派生語をマスク
368	ekonomio	Japanese_Trans	{Ｂ}経済; 節約, =ŝparado; =ekonomiko	{Ｂ}経済; 節約, =ŝparado; =〜ko	同根派生語をマスク
377	ekspozicio	Japanese_Trans	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =ekspoziciaĵo; =ekspoziciejo	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =〜aĵo; =ekspoziciejo	同根派生語をマスク
377	ekspozicio	Japanese_Trans	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =〜aĵo; =ekspoziciejo	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =〜aĵo; =〜ejo	同根派生語をマスク
509	frato	Japanese_Trans	{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =fratulo	{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =〜ulo	同根派生語をマスク
556	golfo	Japanese_Trans	{Ｂ}【地理】湾 / 【運】ゴルフ, =golfludo, >>klabo, >>pilko	{Ｂ}【地理】湾 / 【運】ゴルフ, =〜ludo, >>klabo, >>pilko	同根複合語をマスク
590	hejmo	Japanese_Trans	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=hejmloko	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=〜loko	同根複合語をマスク
833	konfirmi	Japanese_Trans	{Ｂ}［他］確認する, 立証する; 認める, 追認する; =konfirmacii	{Ｂ}［他］確認する, 立証する; 認める, 追認する; =〜acii	同根派生語をマスク
1441	radio	Japanese_Trans	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】=radiuso; 【機】スポーク; 《転》光明, 輝き / ラジオ放送, =〜fonio; ラジオ放送局, =〜stacio; =>〜aparato（ラジオ受信機）	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】=〜uso; 【機】スポーク; 《転》光明, 輝き / ラジオ放送, =〜fonio; ラジオ放送局, =〜stacio; =>〜aparato（ラジオ受信機）	同根語形をマスク
1553	sceno	Japanese_Trans	{Ｂ}【劇】場; 《転》場面, 光景, シーン; 《古》=scenejo	{Ｂ}【劇】場; 《転》場面, 光景, シーン; 《古》=〜ejo	同根派生語をマスク
1634	speco	Japanese_Trans	{Ｂ}種類, 種（しゅ）; 【生】=specio（種）	{Ｂ}種類, 種（しゅ）; 【生】=〜io（種）	同根語形をマスク
2116	foti	Japanese_Trans	{Ｂ}［他］写真にとる, 撮影する, =fotografi	{Ｂ}［他］写真にとる, 撮影する, =〜ografi	同根派生語をマスク
2184	komenti	Japanese_Trans	{Ｏ}［他］論評する, 解説する; =komentarii（注釈をつける）	{Ｏ}［他］論評する, 解説する; =〜arii（注釈をつける）	同根派生語をマスク
2483	budĝeto	Japanese_Trans	{Ｂ}予算, =buĝeto	{Ｂ}予算, =〜	綴り差同根語をマスク
2483	budĝeto	Chinese_Trans	同buĝeto（预算）	同〜（预算）	綴り差同根語をマスク
2483	budĝeto	Korean_Trans	예산, =buĝeto	예산, =〜	綴り差同根語をマスク
2695	meĥaniko	Japanese_Trans	{Ｂ}力学（メカニクス）, 機械学, =mekaniko	{Ｂ}力学（メカニクス）, 機械学, =〜	綴り差同根語をマスク
2696	meĥanismo	Japanese_Trans	{Ｂ}機械装置（メカニズム）, 機構, =mekanismo	{Ｂ}機械装置（メカニズム）, 機構, =〜	綴り差同根語をマスク
2847	teĥniko	Japanese_Trans	{Ｂ}技術（テクノロジー）, =tekniko	{Ｂ}技術（テクノロジー）, =〜	綴り差同根語をマスク
2886	ĥemio	Japanese_Trans	{Ｂ}化学（ケミストリー）, =kemio	{Ｂ}化学（ケミストリー）, =〜	綴り差同根語をマスク
827	konduki	Japanese_Trans	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =kondukti	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti	同根語形をマスク（残件対応）
