row	esperanto	column	token	start	end	context	current
37	abelo	Japanese_Trans	vespo	36	41	see_also	{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>vespo
38	aboni	Japanese_Trans	rezervi	31	38	see_also	{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>rezervi, >>antaŭmendi
39	absoluta	Japanese_Trans	perfekta	40	48	see_also	{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>perfekta
41	abunda	Japanese_Trans	riĉa	19	23	see_also	{Ｂ}有り余るほどの, 豊富な, >>riĉa
69	akiri	Japanese_Trans	gajni	27	32	see_also	{Ｂ}［他］手に入れる, 獲得する, 習得する, >>gajni
103	animalo	Japanese_Trans	vegetalo	9	17	antonym	{Ｂ}動物, ><vegetalo
115	apenaŭ	Japanese_Trans	preskaŭ	28	35	equal	{Ｂ}［副］やっと, かろうじて; ほとんど～ない, =preskaŭ ne / {Ｂ}［接］～するや否や
152	aĉeti	Japanese_Trans	sub	17	20	equal	{Ｂ}［他］買う, 購入する; =sub〜（買収する）
161	aŭtomobilo	Japanese_Trans	aŭto	14	18	equal	{Ｂ}自動車（乗用車）, =aŭto
161	aŭtomobilo	Chinese_Trans	aŭto	1	5	same_zh	同aŭto（汽车）
187	bazaro	Japanese_Trans	super	28	33	see_also	{Ｂ}市場（いちば）, 市（いち）, マーケット, >>super〜
198	besto	Japanese_Trans	animalo	19	26	see_also	{Ｂ}（人間を除く）動物, 獣, >>animalo
207	birdo	Japanese_Trans	stranga	14	21	plain	{Ｂ}鳥; 《転》人（例: stranga 〜 変なやつ）
228	brasiko	Japanese_Trans	kapo	13	17	equal	{Ｂ}【植】キャベツ, =kapo〜; （キャベツ、ハクサイ、カラシナ、アブラナ、カブなど）アブラナ属の植物の総称
271	cirklo	Japanese_Trans	rondo	15	20	see_also	{Ｂ}【数】円周, 円, >>rondo
304	deputi	Japanese_Trans	delegi	25	31	see_also	{Ｂ}［他］（議員に）選出する, 送り出す, >>delegi
328	diskuti	Japanese_Trans	disputi	30	37	see_also	{Ｂ}［自］討議する, 議論する, >>debati, >>disputi, >>polemiki
330	disputi	Japanese_Trans	kvereli	20	27	see_also	{Ｂ}［自］口論する, 言い争う, >>kvereli, >>konflikti
335	diveni	Japanese_Trans	konjekti	26	34	see_also	{Ｂ}［他］見抜く, 言い当てる, 推察する, >>konjekti, >>supozi; 予知する, 占う
335	diveni	Japanese_Trans	supozi	38	44	see_also	{Ｂ}［他］見抜く, 言い当てる, 推察する, >>konjekti, >>supozi; 予知する, 占う
338	do	Japanese_Trans	tiam	38	42	see_also	{Ｂ}［接］だから, すると, それでは, そこで, >>sekve, >>tiam; ［副］（疑問文を強めて）いったい全体; （命令文を強めて）さあ, ほら / {Ｏ}［文字名］ドー（文字D，dの名称）
344	domo	Japanese_Trans	hejmo	11	16	equal	{Ｂ}家, 家屋; =hejmo; 建物, ビル; （貴族の）家系
350	dramo	Japanese_Trans	komedio	48	55	see_also	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>komedio; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ
354	dubi	Japanese_Trans	suspekti	24	32	see_also	{Ｂ}［自・他］疑う, 怪しむ; 危ぶむ, >>suspekti, ><kredi
354	dubi	Japanese_Trans	kredi	36	41	antonym	{Ｂ}［自・他］疑う, 怪しむ; 危ぶむ, >>suspekti, ><kredi
358	ebena	Japanese_Trans	plata	15	20	see_also	{Ｂ}平らな, 平坦な, >>plata; なめらかな, >>glata
358	ebena	Japanese_Trans	glata	31	36	see_also	{Ｂ}平らな, 平坦な, >>plata; なめらかな, >>glata
360	eduki	Japanese_Trans	instrui	24	31	see_also	{Ｂ}［他］（人を）教育する, しつける, >>instrui, >>prizorgi; （動物を）飼いならす, >>dresi; （植物を）育てる, 栽培する, =kultivi
360	eduki	Japanese_Trans	dresi	59	64	see_also	{Ｂ}［他］（人を）教育する, しつける, >>instrui, >>prizorgi; （動物を）飼いならす, >>dresi; （植物を）育てる, 栽培する, =kultivi
362	efektiva	Japanese_Trans	reala	15	20	see_also	{Ｂ}実際の, 現実の, >>reala, >>fakta; 事実上の
363	efiki	Japanese_Trans	influi	30	36	see_also	{Ｂ}［自］効果をあげる, 効能がある, 効力がある, >>influi; 【理】【化】作用する
376	eksporti	Japanese_Trans	importi	14	21	antonym	{Ｂ}［他］輸出する, ><importi
389	elekti	Japanese_Trans	baloti	40	46	see_also	{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>baloti
397	enigmo	Japanese_Trans	mistero	23	30	see_also	{Ｂ}謎（なぞ）; 《転》不可解なもの, >>mistero
401	epoko	Japanese_Trans	periodo	16	23	see_also	{Ｂ}時代; 【地質】世, >>periodo（紀）, >>erao（代）, >>aĝo（期）
401	epoko	Japanese_Trans	aĝo	41	44	see_also	{Ｂ}時代; 【地質】世, >>periodo（紀）, >>erao（代）, >>aĝo（期）
405	esperi	Japanese_Trans	deziri	22	28	see_also	{Ｂ}［自・他］希望する, 期待する, >>deziri, >>atendi
405	esperi	Japanese_Trans	atendi	32	38	see_also	{Ｂ}［自・他］希望する, 期待する, >>deziri, >>atendi
410	estimi	Japanese_Trans	ŝati	28	32	see_also	{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>ŝati, >>respekti
410	estimi	Japanese_Trans	respekti	36	44	see_also	{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>ŝati, >>respekti
425	fadeno	Japanese_Trans	drato	22	27	plain	{Ｂ}糸, 線; 筋, 脈絡（針金はふつう drato / metal〜）
434	familiara	Japanese_Trans	intima	34	40	see_also	{Ｂ}親しい, 慣れ親しんだ, 心安い, くだけた, 平俗な, >>intima, >>senceremonia
457	fervora	Japanese_Trans	arda	24	28	see_also	{Ｂ}熱心な, 熱烈な, 熱情にあふれた, >>arda, >>entuziasma
475	flago	Japanese_Trans	standardo	8	17	see_also	{Ｂ}旗, >>standardo
488	flustri	Japanese_Trans	susuri	35	41	see_also	{Ｂ}［自］ささやく, 小声で話す; 《転》さらさら音をたてる, >>susuri, >>murmureti
504	fosto	Japanese_Trans	stango	23	29	see_also	{Ｂ}【建】柱; くい, 標柱, 電柱, >>stango, >>paliso
504	fosto	Japanese_Trans	paliso	33	39	see_also	{Ｂ}【建】柱; くい, 標柱, 電柱, >>stango, >>paliso
522	frukto	Japanese_Trans	nukso	27	32	see_also	{Ｂ}【植】果実, 実（み）, >>drupo, >>nukso, >>bero; くだもの; 《転》成果, 結果
522	frukto	Japanese_Trans	bero	36	40	see_also	{Ｂ}【植】果実, 実（み）, >>drupo, >>nukso, >>bero; くだもの; 《転》成果, 結果
535	gajni	Japanese_Trans	akiri	34	39	see_also	{Ｂ}［他］（運や偶然によって）得る; 勝ち取る; もうける, >>akiri
539	gaso	Japanese_Trans	solido	22	28	see_also	{Ｂ}ガス, 燃料ガス; 【化】気体, >>solido, >>likvo; 【軍】毒ガス
539	gaso	Japanese_Trans	likvo	32	37	see_also	{Ｂ}ガス, 燃料ガス; 【化】気体, >>solido, >>likvo; 【軍】毒ガス
545	gento	Japanese_Trans	etno	35	39	see_also	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>etno, >>nacio, >>popolo
545	gento	Japanese_Trans	nacio	43	48	see_also	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>etno, >>nacio, >>popolo
545	gento	Japanese_Trans	popolo	52	58	see_also	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>etno, >>nacio, >>popolo
556	golfo	Japanese_Trans	pilko	38	43	see_also	{Ｂ}【地理】湾 / 【運】ゴルフ, =〜ludo, >>klabo, >>pilko
566	grati	Japanese_Trans	skrapi	24	30	see_also	{Ｂ}［他］ひっかく, かき削る; かく, >>skrapi
571	grimpi	Japanese_Trans	sur	7	10	plain	{Ｂ}［自］（sur）よじ登る; （山に）登る; （つる草が）はい上がる
577	gumo	Japanese_Trans	kaŭĉuko	22	29	equal	{Ｂ}【植】ゴム, ゴム液; 弾性ゴム, =kaŭĉuko; 消しゴム, =frot〜
592	hela	Japanese_Trans	pala	47	51	see_also	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>pala; （音が）澄んだ
611	honti	Japanese_Trans	pri	18	21	plain	{Ｂ}［自］恥じる; 恥ずかしがる（pri/pro〜を）
611	honti	Japanese_Trans	pro	22	25	plain	{Ｂ}［自］恥じる; 恥ずかしがる（pri/pro〜を）
621	humoro	Japanese_Trans	humuro	41	47	equal	{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモア=humuroとは別語）
627	identa	Japanese_Trans	kun	4	7	plain	{Ｂ}（kun）同一の; 同様の, そっくり同じの
632	ignori	Japanese_Trans	neglekti	41	49	see_also	{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>neglekti
639	importi	Japanese_Trans	eksporti	14	22	see_also	{Ｂ}［他］輸入する, >>eksporti
661	insisti	Japanese_Trans	persisti	34	42	see_also	{Ｂ}［自］（自分の意見に）固執する, 言い張る, 力説する, >>persisti
677	intesto	Japanese_Trans	dika	11	15	see_also	{Ｂ}【解】腸; >>dika 〜, >>maldika 〜
697	ju	Japanese_Trans	pli	9	12	plain	{Ｂ}［副］（〜 pli）～すればするほど, >>des
697	ju	Japanese_Trans	des	25	28	see_also	{Ｂ}［副］（〜 pli）～すればするほど, >>des
739	karno	Japanese_Trans	viando	12	18	see_also	{Ｂ}肉, 肉体, >>viando; 【植】果肉
741	karto	Japanese_Trans	mapo	43	47	plain	{Ｂ}カード, （紙の）札; はがき; （トランプの）札; 【電】基板（地図はふつう mapo）
751	kavo	Japanese_Trans	kresto	48	54	see_also	{Ｂ}穴, 空洞, くぼみ, へこみ; 【解】腔（こう）, 窩（か）; 【理】（波の）谷, >>kresto
758	kaŭĉuko	Japanese_Trans	gumo	18	22	see_also	{Ｂ}【化】弾性ゴム, ゴム, >>gumo
764	kerno	Japanese_Trans	nukleo	34	40	equal	{Ｂ}核, 種（たね）, 芯（しん）; 《転》核心; 【理】核, =nukleo
772	kino	Japanese_Trans	filmo	15	20	see_also	{Ｂ}映画, 映画制作, >>filmo
