row	esperanto	column	token	current
30	Atlantiko	Japanese_Trans	Atlantika	{Ｂ}【地名】大西洋, =Atlantika Oceano
36	Pacifiko	Japanese_Trans	Pacifika	{Ｂ}【地名】太平洋, =Pacifika Oceano
173	balono	Japanese_Trans	baloneto	{Ｂ}気球; 風船, =baloneto; 【化】球形フラスコ
368	ekonomio	Japanese_Trans	ekonomiko	{Ｂ}経済; 節約, =ŝparado; =ekonomiko
377	ekspozicio	Japanese_Trans	ekspoziciaĵo	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =ekspoziciaĵo; =ekspoziciejo
509	frato	Japanese_Trans	fratulo	{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =fratulo
556	golfo	Japanese_Trans	golfludo	{Ｂ}【地理】湾 / 【運】ゴルフ, =golfludo, >>klabo, >>pilko
590	hejmo	Japanese_Trans	hejmloko	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=hejmloko
827	konduki	Japanese_Trans	kondukti	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =kondukti
833	konfirmi	Japanese_Trans	konfirmacii	{Ｂ}［他］確認する, 立証する; 認める, 追認する; =konfirmacii
1441	radio	Japanese_Trans	radiuso	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】=radiuso; 【機】スポーク; 《転》光明, 輝き / ラジオ放送, =〜fonio; ラジオ放送局, =〜stacio; =>〜aparato（ラジオ受信機）
1553	sceno	Japanese_Trans	scenejo	{Ｂ}【劇】場; 《転》場面, 光景, シーン; 《古》=scenejo
1634	speco	Japanese_Trans	specio	{Ｂ}種類, 種（しゅ）; 【生】=specio（種）
2184	komenti	Japanese_Trans	komentarii	{Ｏ}［他］論評する, 解説する; =komentarii（注釈をつける）
