PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	日本語	中文	한국어	Русский язык	English
1156	Making Friends	Arranging to Meet	Sinjoroj, ni povas ludi partion da golfo	皆さん、ゴルフを楽しんでみてはいかがでしょうか。	先生们，您们或许会喜欢打一场高尔夫。	신사 여러분, 골프 한 판 즐기시는 건 어떠세요?	Господа, мы можем сыграть партию в гольф.	Gents, you may like a game of golf.
1157	Making Friends	Accepting  & Declining	Certe	かしこまりました。	好的。	네, 알겠습니다.	Конечно.	Sure.
1158	Making Friends	Accepting  & Declining	Pardonu, mi ne povas	申し訳ありませんが、できません。	抱歉，我做不到。	죄송하지만 할 수 없습니다.	Прости, не могу.	Sorry, I can't.
1159	Making Friends	Accepting  & Declining	Bone!	了解しました！	好的！	알겠습니다!	Ладно!	All right!
1160	Making Friends	Accepting  & Declining	Sonas bone	いいですね。	好的。	좋아요.	Хорошо.	Sounds good.
1161	Making Friends	Accepting  & Declining	Neniel!	まさか！	不可能！	말도 안 돼요!	Ни за что!	No way!
1162	Making Friends	Accepting  & Declining	Jes, certe	はい、もちろんです。	当然可以。	네, 물론입니다.	Да, конечно.	Yes, surely.
1163	Making Friends	Accepting  & Declining	Mi ne kontraŭas	気にしません。	我没关系。	괜찮아요.	Я не против.	I don't mind.
1164	Making Friends	Accepting  & Declining	Mi estas tro laca	とても疲れています。	我太累了。	너무 피곤해요.	Я слишком устал.	I'm too tired.
1165	Making Friends	Accepting  & Declining	Jes, mi estas libera	はい、空いています。	我有空。	네, 시간 괜찮아요.	Да, я свободна.	Yes, I'm free.
1166	Making Friends	Accepting  & Declining	Certe ne!	とんでもありません。	绝对不行！	절대 그렇지 않아요!	Конечно же нет!	Certainly not!
1167	Making Friends	Accepting  & Declining	Pardonu, mi ne povas veni	ごめん、行けないんだ。	对不起，我来不了。	죄송하지만 갈 수 없어요.	Прости, я не могу прийти.	Sorry, I can't come.
1168	Making Friends	Accepting  & Declining	Dankon pro via invito	ご招待いただきありがとうございます。	感谢您的邀请。	초대해 주셔서 감사합니다.	Спасибо за Ваше приглашение.	Thanks for your invitation.
1169	Making Friends	Accepting  & Declining	Kun plezuro	喜んで。	很乐意。	기꺼이 하겠습니다.	С удовольствием.	With pleasure.
1170	Making Friends	Accepting  & Declining	Tio estas bona ideo	それはいい考えですね。	这个主意不错。	좋은 생각이에요.	Это хорошая идея.	That's a good idea.
1171	Making Friends	Accepting  & Declining	Ĝi estas bona plano	いい計画ですね。	这是个不错的方案。	좋은 계획이에요.	Это хороший план.	It's a good plan.
1172	Making Friends	Accepting  & Declining	Ĝis revido tie!	現地でお会いしましょう！	到时候见！	그곳에서 뵙겠습니다!	Увидимся там!	See you there!
1173	Making Friends	Accepting  & Declining	Mi ne havas tempon	時間がありません。	我没时间。	시간이 없어요.	У меня нет времени.	I haven't got time.
1174	Making Friends	Accepting  & Declining	Mi havas lecionojn	授業があります。	我有课。	수업이 있어요.	У меня занятия.	I've got classes.
1175	Making Friends	Accepting  & Declining	Mi devas labori	やるべき仕事がある。	我还有工作要做。	할 일이 있어요.	Мне надо работать.	I've got work to do.
1176	Making Friends	Accepting  & Declining	Ni havas gastojn	お客様がいらっしゃいます。	我们家要来客人。	손님이 오실 거예요.	У нас гости.	We're having guests over.
1177	Making Friends	Accepting  & Declining	Mi devas studi	勉強しなければならない。	我需要学习。	저는 공부해야 해요.	Мне нужно заниматься.	I need to study.
1178	Making Friends	Accepting  & Declining	Ne, mi ne estas libera	いいえ、今は都合がつきません。	不，我没空。	아니요, 저는 시간이 안 돼요.	Нет, я занят.	No, I am not free.
1179	Making Friends	Accepting  & Declining	Eble venontfoje	また今度ね。	也许下次吧。	다음에 기회가 되면요.	Может быть, в следующий раз.	Maybe next time.
1180	Making Friends	Accepting  & Declining	Mi iomete malfruiĝas	少し遅れています。	我有点晚了。	제가 조금 늦을 것 같아요.	Я немного опаздываю.	I'm running a little late.
1181	Making Friends	Accepting  & Declining	Pardonu, sed mi ne povas akcepti vian inviton	申し訳ありませんが、ご招待はお受けできません。	很抱歉，我无法接受你的邀请。	죄송하지만 초대를 받아들일 수 없습니다.	Извини, но я не могу принять твоё приглашение.	Sorry, but I can't accept your invitation.
1182	Making Friends	Accepting  & Declining	Tio sonas alloge	それは楽しそうですね。	听起来很有趣。	재미있을 것 같아요.	Звучит заманчиво.	That sounds like fun.
1183	Making Friends	Accepting  & Declining	Ni renkontiĝos tie	そこでお会いしましょう。	我在那里等你。	거기서 뵐게요.	Встретимся там.	I'll meet you there.
1184	Making Friends	Accepting  & Declining	Mi estos tie post dek minutoj	あと10分で着きます。	我十分钟后到。	10분 후에 도착할게요.	Я буду там через десять минут.	I'll be there in ten minutes.
1185	Making Friends	Accepting  & Declining	Mi venos preni vin je la 5-a horo	5時に迎えに行きます。	我五点来接你。	5시에 데리러 갈게요.	Я заеду за тобой в 5 часов.	I'll pick you up at 5 o'clock.
1186	Making Friends	Accepting  & Declining	Mi vidos vin en la kinejo je la deka horo	10時に映画館で会いましょう。	十点钟电影院见。	열 시에 영화관에서 봐요.	Увидимся с тобой в кино в десять часов.	I'll see you at the cinema at ten o'clock.
1187	Making Friends	Accepting  & Declining	Mi estos tie je la naŭa, krom se la buso malfruos	バスが遅れなければ、9時に着きます。	我会在九点到，除非公交车晚点。	버스가 늦지 않으면 아홉 시에 도착할게요.	Я буду там в девять, если автобус не опоздает.	I'll be there at nine, unless the bus is late.
1188	Making Friends	Accepting  & Declining	Mi ankoraŭ ne decidis	まだ決めていません。	我还没有决定。	아직 결정하지 못했어요.	Я ещё не решила.	I still haven't decided.
1189	Making Friends	Accepting  & Declining	Mi ne interesiĝas	興味ありません。	我没兴趣。	관심 없습니다.	Мне это неинтересно.	I'm not interested.
1190	Making Friends	Accepting  & Declining	Hodiaŭ vespere mi restos hejme	今夜は家にいます。	我今晚待在家。	오늘 밤에는 집에 있을 거예요.	Сегодня вечером я останусь дома.	I'm staying in tonight.
1191	Making Friends	Accepting  & Declining	Mi terure bedaŭras, sed mi ne pensas, ke mi povos	申し訳ありませんが、私にはできそうにありません。	非常抱歉，我恐怕做不到。	정말 죄송하지만, 제가 할 수 있을 것 같지 않아요.	Я ужасно сожалею, но я не думаю, что смогу.	I'm terribly sorry, I don't think I can.
1192	Making Friends	Accepting  & Declining	Bedaŭrinde, mi jam havas planojn	あいにく予定が入っています。	恐怕我已经有安排了。	죄송하지만 이미 약속이 있어요.	Боюсь, у меня уже есть планы.	I'm afraid I've already got plans.
1193	Making Friends	Accepting  & Declining	Mi ne volas ĝeni vin	ご迷惑をおかけしたくありません。	我不想打扰你。	폐를 끼치고 싶지 않아요.	Не хочу тебя беспокоить.	I don't want to bother you.
1194	Making Friends	Accepting  & Declining	Mi volus, sed hodiaŭ mi laboras	行きたいんだけど、今日は仕事なんだ。	我也想去，但我今天要上班。	저도 그러고 싶지만 오늘은 일해야 해요.	Я бы хотел, но сегодня я работаю.	I'd like to, but I'm working today.
1195	Making Friends	Accepting  & Declining	Estus tre agrable akcepti lian inviton	彼の招待を受けることができたら、とても嬉しいです。	接受他的邀请会很不错。	그의 초대를 받아들이면 정말 좋을 것 같아요.	Было бы очень хорошо принять его приглашение.	It would be very nice to accept his invitation.
1196	Making Friends	Accepting  & Declining	Mi jam promesis renkontiĝi kun Sofia hodiaŭ vespere	今晩はすでにソフィアと会う約束をしています。	我已经答应今晚要见索菲娅了。	저는 이미 오늘 저녁에 소피아와 만나기로 약속했어요.	Я уже пообещала повидаться с Софией сегодня вечером.	I've already promised to meet Sofia this evening.
1197	Making Friends	Accepting  & Declining	Ne, dankon. Mi jam manĝis	いいえ、結構です。もう食事は済ませました。	不用了，谢谢。我已经吃过了。	괜찮아요. 이미 식사했어요.	Нет, спасибо, я уже поела.	No thanks. I've already eaten.
1198	Dating	Asking Someone out	Ĉu vi estas fraŭla?	独身ですか？	你现在单身吗？	독신이신가요?	Вы одиноки?	Are you single?
1199	Dating	Asking Someone out	Ĉu mi povas aliĝi al vi?	ご一緒してもいいですか？	我可以加入你们吗？	저도 함께해도 될까요?	Можно к вам присоединиться?	Can I join you?
1200	Dating	Asking Someone out	Ĉu mi povas aĉeti trinkaĵon por vi?	よかったら一杯ごちそうさせていただけませんか？	我可以请你喝一杯吗？	제가 음료 한 잔 사드려도 될까요?	Я могу заказать вам напиток?	Can I buy you a drink?
1201	Dating	Asking Someone out	Ni manĝu ekstere hodiaŭ vespere	今夜は外で食事しよう。	今晚我们出去吃吧。	오늘 저녁에는 외식해요.	Давай поедим где-нибудь сегодня вечером.	Let's eat out tonight.
1202	Dating	Asking Someone out	Ĉu vi estas sola?	お一人ですか？	你是一个人吗？	혼자 계신가요?	Вы одна?	Are you on your own?
1203	Dating	Asking Someone out	Ĉu vi ofte venas ĉi tien?	よくここに来るんですか？	你经常来这里吗？	여기 자주 오세요?	Вы часто сюда приходите?	Do you come here often?
1204	Dating	Asking Someone out	Ĉu vi ŝatus iam tagmanĝi kune?	よかったら今度ランチでもいかがですか？	你有兴趣哪天一起吃个午饭吗？	언제 점심 한번 같이 하실래요?	Хочешь как-нибудь пообедать?	Do you fancy lunch sometime?
1205	Dating	Asking Someone out	Mi ŝatus inviti vin al vespermanĝo	ぜひ夕食にご招待したいのですが。	我想邀请你共进晚餐。	저녁 식사에 초대하고 싶어요.	Я бы хотел пригласить вас на ужин.	I would like to invite you to dinner.
1206	Dating	Asking Someone out	Kiel pri hodiaŭ?	今日はどうですか？	今天怎么样？	오늘은 어떠세요?	Как насчёт сегодня?	How about today?
1207	Dating	Asking Someone out	Hm. Mi pensos pri tio	うーん、ちょっと考えてみます。	嗯，我再考虑一下。	음, 좀 더 생각해 볼게요.	Хм. Я подумаю об этом.	Hmm. I'll think about it.
1208	Dating	Asking Someone out	Ĉu vi renkontiĝas kun iu?	お付き合いしている方はいますか？	你现在有在交往的人吗？	혹시 만나고 있는 사람이 있나요?	Ты с кем-нибудь встречаешься?	Are you seeing anyone?
1209	Dating	Asking Someone out	Ĉu ĝenas vin, se mi aliĝos al vi?	ご一緒してもよろしいですか？	你介意我加入你们吗？	제가 함께해도 괜찮을까요?	Вы не против, если я присоединюсь к вам?	Do you mind if I join you?
1210	Dating	Asking Someone out	Mi regalos vin per trinkaĵo	一杯ごちそうします。	我请你喝一杯。	제가 한 잔 살게요.	Я угощу вас напитком.	I'll treat you to a drink.
1211	Dating	Asking Someone out	Ni parolu plu dum la tagmanĝo	お昼にもっと話しましょう。	我们午餐时再详细聊聊。	점심시간에 더 이야기해요.	Давай поговорим ещё за обедом.	Let's talk more at lunch.
1212	Dating	Asking Someone out	Ni trovu agrablan lokon kien iri	どこか素敵な場所を探しましょう。	我们找个好地方去吧。	어디 좋은 곳을 찾아가 봐요.	Давай найдём приятное местечко.	Let's find a nice place to go.
1213	Dating	Asking Someone out	Ĉu vi volus vespermanĝi kun mi?	よろしければ、一緒に夕食をいかがですか？	你愿意和我一起吃晚饭吗？	저와 저녁 식사 함께 하시겠어요?	Вы бы хотели поужинать со мной?	Would you like to join me for dinner?
1214	Dating	Asking Someone out	Ĉu vi volus denove renkontiĝi?	またお会いしませんか？	你愿意再见一面吗？	다시 만날래요?	Ты бы хотела снова встретиться?	Would you like to meet again?
1215	Dating	Asking Someone out	Pardonu, vi ne estas mia tipo	ごめんなさい、あなたは私の好みではありません。	抱歉，你不是我喜欢的类型。	죄송하지만, 제 스타일이 아니에요.	Прости, ты не в моём вкусе.	Sorry, you're not my type.
1216	Dating	Asking Someone out	Ĉu vi pensas, ke mi devus telefoni al li?	彼に電話したほうがいいと思う？	你觉得我应该给他打个电话吗？	제가 그에게 전화해야 할까요?	Думаешь, мне следует ему позвонить?	Do you think I should call him?
1217	Dating	Asking Someone out	Kion vi elpensis?	何してるの？	你在忙什么？	무엇을 하고 계세요?	Что ты задумала?	What are you up to?
1218	Dating	Asking Someone out	Vi povas fidi min	私を信じてください。	你可以相信我。	저를 믿으셔도 됩니다.	Вы можете мне доверять.	You can trust me.
1219	Dating	Asking Someone out	Ĉu vi havas planojn por ĉi-vespere?	今夜、何か予定はありますか？	你今晚有什么安排吗？	오늘 저녁에 특별한 계획 있으세요?	У тебя есть планы на вечер?	Have you got any plans for tonight?
1220	Dating	Asking Someone out	Ĉu vi volus iufoje iri trinki ion?	今度一緒に飲みに行きませんか？	你想哪天一起去喝一杯吗？	언제 한 번 같이 술 한잔할래요?	Хочешь как-нибудь сходить пропустить по бокальчику?	Do you want to go for a drink sometime?
1221	Dating	Asking Someone out	Ĉu vi ŝatus iri al kinejo iam?	今度映画を観に行かない？	你有兴趣哪天一起去看电影吗？	언제 영화 보러 같이 갈래요?	Как насчёт сходить в кино как-нибудь?	Do you fancy going to see a film sometime?
1222	Dating	Asking Someone out	Ĉu vi ŝatus iri manĝeti ion?	何か食べに行かない？	想去吃点东西吗？	뭐 좀 먹으러 갈래요?	Хочешь где-нибудь перекусить?	Do you fancy getting a bite to eat?
1223	Dating	Asking Someone out	Ĉu vi ŝatus iri trinki kafon?	よかったら一緒にコーヒーでもいかがですか？	你想一起去喝杯咖啡吗？	커피 한잔 하러 갈래요?	Вы бы хотели сходить выпить кофе?	Would you like to go and get a coffee?
1224	Dating	Asking Someone out	Ĉu vi ŝatus iri kun mi al la teatro?	一緒に劇場に行きませんか？	你愿意和我一起去看戏吗？	저와 함께 극장에 가실래요?	Вы бы хотели сходить со мной в театр?	Would you like to go to the theatre with me?
1225	Dating	Asking Someone out	Ĉu vi ŝatus iam vespermanĝi kun mi?	よかったら今度一緒に食事でもいかがですか？	你愿意哪天和我一起吃个饭吗？	언제 저와 저녁 식사 함께 하실래요?	Вы бы хотели как-нибудь поужинать со мной?	Would you like to have dinner with me sometime?
1226	Dating	Asking Someone out	Ĉu vi ŝatus spekti filmon ĉe mi?	よかったらうちで映画を観ませんか？	你想来我家看电影吗？	저희 집에서 영화 보실래요?	Ты бы хотел посмотреть кино у меня дома?	Would you like to watch a film at my place?
