"family","семья","familio"
"mother","мама","panjo"
"father","папа","Paĉjo"
"sister","сестра","fratino"
"brother","брат","frato"
"man","мужчина","Viro"
"woman","женщина","virino"
"boy","мальчик","knabo"
"girl","девочка","Knabino"
"friend","друг","amiko"
"name","имя","nomo"
"surname","фамилия","Familinomo"
"age","возраст","aĝo"
"person","персона","Persono"
"baby","младенец","Bebo"
"child","ребёнок","infano"
"teenager","подросток","adoleskanto"
"adult","взрослый","plenkreskulo"
"active","активная","aktiva"
"friendly","дружелюбная","Amika"
"funny","забавный","Amuza"
"kind","добрый","Bonkora"
"smart","умный","inteligenta"
"lazy","ленивый","pigra"
"shy","стеснительная","timida"
"rude","грубый","malĝentila"
"passive","пассивная","pasiva"
"greedy","жадный","avida"
"pretty","хорошенькая","beleta"
"short","низкий","Malalta"
"tall","высокий","Alta"
"cute","милый","ĉarma"
"ugly","уродливый","malbela"
"hungry","голодный","malsata"
"thirsty","испытывающая жажду","soifa"
"tired","уставший","laca"
"dizzy","испытывающая головокружение","kapturna"
"happy","счастливая","Feliĉa"
"unhappy","несчастный","malfeliĉa"
"calm","спокойная","trankvila"
"nervous","нервная","nervoza"
"love","любовь","amo"
"hope","надежда","espero"
"care","забота","zorgo"
"fear","страх","timo"
"anger","злость","kolero"
"good","хороший","bona"
"bad","плохой","malbona"
"easy","лёгкий","facila"
"difficult","трудный","Malfacila"
"important","важный","grava"
"unimportant","неважный","Malgrava"
"dress","платье","Robo"
"shirt","рубашка","Ĉemizo"
"skirt","юбка","Jupo"
"sweater","свитер","Svetero"
"trousers","брюки","Pantalono"
"coat","пальто","Palto"
"shoes","туфли","ŝuoj"
"boots","ботинки","Botoj"
"sandals","босоножки","sandaloj"
"slippers","тапочки","pantofloj"
"bag","сумка","Sako"
"hat","шляпа","ĉapelo"
"belt","ремень","zono"
"ring","кольцо","Ringo"
"scarf","шарф","skarpo"
"head","голова","kapo"
"ear","ухо","orelo"
"eye","глаз","okulo"
"nose","нос","nazo"
"mouth","рот","Buŝo"
"body","тело","Korpo"
"neck","шея","kolo"
"hand","кисть руки","mano"
"foot","ступня","Piedo"
"finger","палец","Fingro"
"organ","орган","organo"
"heart","сердце","koro"
"lungs","лёгкие","Pulmoj"
"stomach","желудок","Stomako"
"blood","кровь","sango"
"eat","есть","manĝi"
"drink","пить","trinki"
"sit","сидеть","sidi"
"jump","прыгать","salti"
"look","глядеть","Rigardi"
"sleep","спать","dormi"
"disease","болезнь","malsano"
"cold","простуда","Malvarmumo"
"allergy","аллергия","Alergio"
"poisoning","отравление","veneniĝo"
"pain","боль","doloro"
"fever","жар","Febro"
"cough","кашель","tuso"
"sneeze","чихать","Terni"
"rash","сыпь","haŭterupcio"
"health","здоровье","sano"
"hospital","больница","hospitalo"
"patient","пациент","Paciento"
"syringe","шприц","Ŝprico"
"treat","лечить","kuraci"
"pharmacy","аптека","Apoteko"
"pill","таблетка","pilolo"
"capsule","капсула","Kapsulo"
"vitamin","витамин","vitamino"
"thermometer","термометр","Termometro"
"house","дом","Domo"
"flat","квартира","loĝejo"
"villa","дача","somerdomo"
"castle","замок","Kastelo"
"room","комната","ĉambro"
"living room","гостиная","Salono"
"bedroom","спальня","Dormoĉambro"
"bathroom","ванная комната","Banĉambro"
"toilet","туалет","necesejo"
"kitchen","кухня","Kuirejo"
"corridor","коридор","koridoro"
"bed","кровать","Lito"
"sofa","диван","Sofo"
"chair","стул","seĝo"
"table","стол","Tablo"
"lamp","лампа","lampo"
"carpet","ковёр","tapiŝo"
"curtains","занавески","kurtenoj"
"vase","ваза","Vazo"
"candle","свеча","kandelo"
"door","дверь","Pordo"
"window","окно","Fenestro"
"wall","стена","Muro"
"floor","пол","Planko"
"garden","сад","Ĝardeno"
"shop","магазин","Butiko"
"market","рынок","merkato"
"supermarket","супермаркет","Superbazaro"
"toy shop","магазин игрушек","ludilvendejo"
"fridge","холодильник","Fridujo"
"clock","часы","Horloĝo"
"iron","утюг","Gladilo"
"camera","фотоаппарат","fotilo"
"washing machine","стиральная машина","Lavmaŝino"
"cup","чашка","taso"
"glass","стакан","Glaso"
"spoon","ложка","Kulero"
"fork","вилка","Forko"
"knife","нож","tranĉilo"
"box","коробка","skatolo"
"brush","щётка","Broso"
"sponge","губка","Spongo"
"broom","метла","Balailo"
"pen","ручка","skribilo"
"pencil","карандаш","krajono"
"rubber","ластик","Gumilo"
"ruler","линейка","Liniilo"
"paper","бумага","papero"
"newspaper","газета","gazeto"
"magazine","журнал","Revuo"
"postcard","почтовая открытка","Poŝtkarto"
"map","карта","mapo"
"toy","игрушка","ludilo"
"doll","кукла","Pupo"
"kite","воздушный змей","Kajto"
"balloon","воздушный шар","Balono"
"teddy bear","плюшевый мишка","pluŝa urseto"
"nappy","подгузник","Vindotuko"
"cream","крем","kremo"
"lipstick","помада","Lipruĝo"
"perfume","духи","Parfumo"
"powder","пудра","Pudro"
"deodorant","дезодорант","Deodoranto"
"soap","мыло","sapo"
"toothpaste","зубная паста","dentpasto"
"toothbrush","зубная щётка","Dentbroso"
"toilet paper","туалетная бумага","neceseja papero"
